robot_name,robot_path,test_name,test_type,hand_path,episodes,max_steps,reward_mean,reward_std,tis_mean,tis_std,zpd_coverage_mean,zpd_coverage_std,episode_length_mean,episode_length_std,catch_rate,too_close_rate,too_far_rate,avg_distance_mean,avg_distance_std
scripted_only,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/baselines/scripted_only_5m/robot/best_model.zip,H8,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_8\hand\hand\best_model.zip,50,100,-37.88160656132274,7.152287187259477,0.1166,0.07827157849436793,0.5397999252623585,0.2516298062159829,20.88,13.531651783873246,1.0,0.314920111792117,0.14527996294552442,4.248483667373657,0.8188046342332322
scripted_only,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/baselines/scripted_only_5m/robot/best_model.zip,H9,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_9\hand\hand\best_model.zip,50,100,-37.775668710661776,6.938620124134997,0.117,0.0758485332752058,0.5452328919011644,0.24463470979109417,20.96,14.198535135710303,1.0,0.31651326128510243,0.1382538468137332,4.236390705108643,0.7717401169136161
scripted_only,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/baselines/scripted_only_5m/robot/best_model.zip,H10,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_10\hand\hand\best_model.zip,50,100,-37.52604332076913,7.228556359642861,0.11780000000000002,0.07566478705448129,0.5561877557481089,0.24754885781132643,20.6,13.206059215375342,1.0,0.3059036485585528,0.1379085956933384,4.239495182037354,0.7629112534481716
single_h10,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/baselines/single_hand_h1_5m/robot/best_model.zip,scripted_slow,scripted,,50,100,54.31989113318559,40.807684344609996,0.753,0.2657762216602531,0.7881794860549424,0.2034455690096305,88.8,28.545402431915377,0.12,0.17574787931948177,0.036072634625575806,4.196268548965454,0.5023963128239796
single_h10,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/baselines/single_hand_h1_5m/robot/best_model.zip,scripted_nominal,scripted,,50,100,-27.89531409829664,13.789199216628456,0.31799999999999995,0.17780888616714294,0.5604011179010692,0.1772212734802591,52.18,27.230637157437208,0.98,0.37956070333577796,0.06003817876315267,3.859713568687439,0.6040235455889991
single_h10,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/baselines/single_hand_h1_5m/robot/best_model.zip,scripted_fast,scripted,,50,100,-43.129023642642636,9.32578361886458,0.10680000000000002,0.08631199221429199,0.40288211008797553,0.21226962985296657,25.06,18.072531643353123,0.98,0.4993427736204439,0.09777511629158055,3.756261081695557,0.7568991575416133
single_h10,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/baselines/single_hand_h1_5m/robot/best_model.zip,scripted_spasm,scripted,,50,100,-4.47714819252261,34.29985631599777,0.4218,0.24013904305630937,0.6623823671189055,0.18243432672318072,59.9,32.187109220928804,0.7,0.282415570996602,0.055202061884492455,4.077719235420227,0.5282855343707963
single_h10,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/baselines/single_hand_h1_5m/robot/best_model.zip,H1,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_1\hand\hand\best_model.zip,50,100,3.944920231305289,53.22482151214463,0.45000000000000007,0.3360714209807195,0.5597846072729247,0.26026375363680854,68.0,38.505584010634095,0.4,0.40062058567778885,0.03959480704928647,3.7713622140884397,0.5879731235721698
single_h10,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/baselines/single_hand_h1_5m/robot/best_model.zip,H2,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_2\hand\hand\best_model.zip,50,100,-36.04487603321217,20.9780240781023,0.17020000000000002,0.19518698727118056,0.46147124688296054,0.244634372219363,28.88,24.96048076460067,0.94,0.4627649263913201,0.07576382672571932,3.7259303522109986,0.7389566851393424
single_h10,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/baselines/single_hand_h1_5m/robot/best_model.zip,H3,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_3\hand\hand\best_model.zip,50,100,-40.43564031286554,15.604193499601253,0.12240000000000001,0.10648117204463894,0.474652379441323,0.2524751689427572,21.36,12.928665824438344,0.92,0.4402950554035882,0.08505256515508881,3.821021671295166,0.767988213886801
single_h10,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux/baselines/single_hand_h1_5m/robot/best_model.zip,H4,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_4\hand\hand\best_model.zip,50,100,-40.44514936092767,15.067622772927297,0.1228,0.10442298597531102,0.4844476210261172,0.26829622338805503,21.12,11.962675286072091,0.92,0.4289049192005195,0.08664745977336324,3.8332347202301027,0.8803351948465904
