robot_name,robot_label,test_group,n_tests,tis_mean,tis_worst,tis_std,zpd_coverage_mean,too_close_rate,too_far_rate
scripted_only,Scripted-only,Scripted tests,4,0.54095,0.3702000000000001,0.15169939848265718,0.6718276042763794,0.22700363885231079,0.10116875687130983
scripted_only,Scripted-only,Learned-hand tests,10,0.14618000000000003,0.1166,0.025944317296857124,0.5532643198706804,0.32403385425235604,0.12270182587696359
single_h10,Single-hand,Scripted tests,4,0.3999,0.10680000000000002,0.23333154523124386,0.6034612702907232,0.3342667318180764,0.06227199789120037
single_h10,Single-hand,Learned-hand tests,10,0.16302000000000003,0.12040000000000001,0.09667088289655786,0.48717035760085736,0.43150758431393077,0.08132205808521174
league,League,Scripted tests,4,0.7205999999999999,0.49520000000000003,0.17697248373687924,0.773545068514187,0.16653856335390557,0.059916368131907274
league,League,Learned-hand tests,10,0.2372,0.16579999999999998,0.06475708455451032,0.6007523277513801,0.325298131129363,0.07394954111925685
