epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0256,1.35526,8.30313,1.0712,0.06477,0.33333,0.03736,0.02351,1.67149,6.5994,1.07437,4e-05,4e-05,4e-05
2,26.7231,1.26214,5.22568,0.98948,0.99446,0.88889,0.93,0.60525,1.45278,2.94631,0.89329,9.901e-05,9.901e-05,9.901e-05
3,36.2385,1.25948,3.77742,0.87405,0.84703,0.77778,0.86029,0.58474,1.05865,2.83951,0.86464,0.000156832,0.000156832,0.000156832
4,45.6281,1.13141,2.87958,0.86903,0.34261,0.88889,0.36265,0.23605,1.39495,4.54691,0.8953,0.000213466,0.000213466,0.000213466
5,54.9665,0.99192,1.8864,0.85875,0.88065,1,0.94,0.60746,1.41145,3.04689,0.90786,0.000268912,0.000268912,0.000268912
6,64.1317,0.99243,1.54723,0.90164,0.56646,0.55556,0.5935,0.40833,1.33933,3.84266,0.90578,0.00032317,0.00032317,0.00032317
7,73.402,1.23507,1.44726,0.91486,0.50537,1,0.60612,0.3941,1.23003,3.93845,0.87272,0.00037624,0.00037624,0.00037624
8,82.7299,1.05934,1.17575,0.89209,0.12185,0.66667,0.12486,0.09003,1.10436,4.50052,0.87659,0.000428122,0.000428122,0.000428122
9,91.8467,1.02353,1.12851,0.8548,0.12752,0.88889,0.12912,0.08471,1.14112,6.77827,0.87328,0.000478816,0.000478816,0.000478816
10,100.902,1.32811,2.40295,0.78254,0.06383,1,0.06489,0.04619,1.11076,9.76116,0.87111,0.000528322,0.000528322,0.000528322
11,110.024,1.36357,1.33426,0.87401,0.0655,1,0.06733,0.04566,1.25584,7.52574,0.88608,0.00057664,0.00057664,0.00057664
12,119.129,1.054,0.92854,0.84462,0.29302,0.88889,0.33401,0.21697,1.31584,4.85904,0.93139,0.00062377,0.00062377,0.00062377
13,128.302,1.20521,0.86874,0.84383,0.49165,0.53886,0.39565,0.2901,1.13384,3.08275,0.86958,0.000669712,0.000669712,0.000669712
14,137.739,1.03254,0.88813,0.86858,0.78836,1,0.81409,0.57434,1.16034,1.90918,0.87417,0.000714466,0.000714466,0.000714466
15,148.55,1.32313,1.02109,0.90274,0.48518,0.94403,0.527,0.36963,1.13585,1.73498,0.85041,0.000758032,0.000758032,0.000758032
16,159.554,1.07503,1.04246,0.85799,0.55109,1,0.597,0.44749,1.1087,1.35298,0.84847,0.00080041,0.00080041,0.00080041
17,169.846,1.28584,1.18209,0.86178,0.26509,0.66667,0.25488,0.17783,1.18419,2.47334,0.89112,0.0008416,0.0008416,0.0008416
18,178.984,1.2397,0.8403,0.89826,0.00611,0.66667,0.00501,0.00341,1.1043,30.054,0.88204,0.000881602,0.000881602,0.000881602
19,188.207,1.28229,2.00764,0.86223,0.0066,0.66667,0.00506,0.00327,1.2634,37.8822,0.90247,0.000920416,0.000920416,0.000920416
20,197.242,1.43425,1.81346,0.89637,0.037,0.55556,0.0243,0.01344,1.32091,13.5061,0.91314,0.000958042,0.000958042,0.000958042
21,206.641,1.37684,0.90498,0.89881,1,0.65802,0.68799,0.50402,1.13162,3.49985,0.86496,0.00099448,0.00099448,0.00099448
22,216.213,1.17714,1.43838,0.85233,0.89445,0.55556,0.68063,0.44918,1.30702,2.79998,0.91027,0.00102973,0.00102973,0.00102973
23,225.526,1.3067,0.9285,0.90738,0.69361,0.55556,0.58678,0.40148,1.28295,2.13232,0.91609,0.00106379,0.00106379,0.00106379
24,234.706,1.09065,1.56564,0.87648,0.95123,0.44444,0.60822,0.37208,1.35176,2.65003,0.90091,0.00109667,0.00109667,0.00109667
25,244.177,1.41329,1.53579,0.85909,0.71773,0.44444,0.53611,0.25771,1.55839,5.43521,0.93983,0.00112835,0.00112835,0.00112835
26,253.221,1.15247,0.80842,0.87768,0.56269,0.44444,0.44907,0.2954,1.57172,5.72713,0.94899,0.00115885,0.00115885,0.00115885
27,262.484,0.96201,0.99371,0.84571,0.79241,0.33333,0.33544,0.24633,1.90844,10.001,1.15238,0.00118816,0.00118816,0.00118816
28,272.117,1.19563,0.83206,0.88056,0.23444,0.22222,0.0914,0.06677,1.79812,8.23898,1.16365,0.00121628,0.00121628,0.00121628
29,282.045,1.02871,1.32168,0.81903,0.23444,0.22222,0.0914,0.06677,1.79812,8.23898,1.16365,0.00124322,0.00124322,0.00124322
30,292.246,1.09283,1.13154,0.92227,0.25292,0.55556,0.39878,0.27371,1.38809,12.7826,0.93747,0.00126896,0.00126896,0.00126896
31,302.374,1.16906,0.86849,0.86664,0.59577,1,0.995,0.67873,1.19056,13.2591,0.86588,0.00129352,0.00129352,0.00129352
32,312.056,1.05947,1.2848,0.82065,0.76592,1,0.995,0.6373,1.16865,9.41387,0.8632,0.00131689,0.00131689,0.00131689
33,321.993,1.1823,0.74911,0.88142,0.76592,1,0.995,0.6373,1.16865,9.41387,0.8632,0.00133907,0.00133907,0.00133907
34,333.089,1.01887,0.87076,0.88205,0.94091,1,0.995,0.64531,1.1942,2.18793,0.86012,0.0013466,0.0013466,0.0013466
35,345.827,1.11009,0.99525,0.84591,0.97133,1,0.995,0.70076,1.26532,1.25094,0.86079,0.0013268,0.0013268,0.0013268
36,357.702,1.09453,0.65518,0.84769,0.92911,1,0.995,0.66848,1.1357,2.07611,0.84266,0.001307,0.001307,0.001307
37,369.47,0.92757,0.6678,0.83672,0.92911,1,0.995,0.66848,1.1357,2.07611,0.84266,0.0012872,0.0012872,0.0012872
38,381.475,0.97699,0.66557,0.79184,0.87609,1,0.984,0.69313,1.16621,1.614,0.84774,0.0012674,0.0012674,0.0012674
39,393.594,1.0615,0.64664,0.87243,0.98672,1,0.995,0.74034,1.03512,1.56386,0.84049,0.0012476,0.0012476,0.0012476
