rollout_id,subject,condition,duration_s,num_control_steps,camera_update_rate_hz_mean,camera_update_rate_hz_median,control_loop_rate_hz_mean,control_loop_rate_hz_median,policy_inference_latency_ms_mean,policy_inference_latency_ms_p95,dead_reckoning_fraction,dead_reckoning_steps,safety_stop_count,distance_cm_mean,distance_cm_median,distance_cm_std,zpd_occupancy_fraction,zpd_occupancy_steps,zpd_low_cm,zpd_high_cm,done_reason,snapshot_path,video_path
20260706_215407_pilot01_r01_zero_shot_physical,pilot01_r01,zero_shot_physical,0.0,0,,,,,,,,0,0,,,,,0,3.5,5.5,exception,,
20260706_215749_pilot01_r01_zero_shot_physical,pilot01_r01,zero_shot_physical,0.0,0,,,,,,,,0,0,,,,,0,3.5,5.5,exception,,
20260706_220328_pilot01_r01_zero_shot_physical,pilot01_r01,zero_shot_physical,29.963289900217205,492,12.001238077487075,11.995758521819921,16.426860011342857,16.138767614030186,2.211298369537524,3.0023548752069473,0.508130081300813,250,0,6.161219951098527,6.264153003692627,1.779058791430122,0.4349593495934959,214,3.5,5.5,timeout,C:\Users\admin\Desktop\huifeng\RL\data\deployment_rollouts\20260706_220328_pilot01_r01_zero_shot_physical\snapshot_annotated.png,C:\Users\admin\Desktop\huifeng\RL\data\deployment_rollouts\20260706_220328_pilot01_r01_zero_shot_physical\annotated_video.mp4
20260706_220437_pilot01_r01_zero_shot_physical,pilot01_r01,zero_shot_physical,29.941626199986786,496,12.146184723681424,12.230441079195002,16.589006911297442,16.163993365177785,2.177227422737727,2.9942250112071633,0.26814516129032256,133,0,4.4609976511809135,4.041595458984375,0.9845114615287694,0.6834677419354839,339,3.5,5.5,timeout,C:\Users\admin\Desktop\huifeng\RL\data\deployment_rollouts\20260706_220437_pilot01_r01_zero_shot_physical\snapshot_annotated.png,C:\Users\admin\Desktop\huifeng\RL\data\deployment_rollouts\20260706_220437_pilot01_r01_zero_shot_physical\annotated_video.mp4
