step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,virtual_hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,virtual_hand_action_x,virtual_hand_action_y,virtual_hand_action_norm,virtual_hand_command_dx_cm,virtual_hand_command_dy_cm,virtual_hand_command_norm_cm,virtual_hand_delayed_dx_cm,virtual_hand_delayed_dy_cm,virtual_hand_delayed_norm_cm,virtual_hand_smoothed_dx_cm,virtual_hand_smoothed_dy_cm,virtual_hand_smoothed_norm_cm,virtual_hand_exec_dx_cm,virtual_hand_exec_dy_cm,virtual_hand_exec_norm_cm,virtual_hand_actual_dx_cm,virtual_hand_actual_dy_cm,virtual_hand_actual_norm_cm,virtual_hand_accel_clipped,virtual_hand_workspace_clipped,virtual_hand_policy_inference_ms,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1787640660.6876223,2.998858690261841e-07,,,False,,,,,False,False,False,,3.012547492980957,4.665980339050293,7.499847888946533,4.999785900115967,,,4.499698638916016,True,0.202364325,0.803824171214,3,1.0,1.0,1.4142135381698608,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,4.341499879956245,0.9575001895427704,0.0,0.0,0.0,0.0,0.0,767.9844360351562,523.9775390625,767.9844360351562,523.9775390625,False,False,-0.22707687045956365,-0.5227301977825779,0.11296889057557462,False,,False,caught
1,1787640660.7465262,0.05891510006040335,0.05891480017453432,16.97366361317552,True,2,0.006324900314211845,0.026640500873327255,37.53683178686818,False,False,False,,3.012547492980957,4.665980339050293,7.499299049377441,4.998620986938477,,,4.499065399169922,True,0.202364325,0.803824171214,3,1.0,1.0,1.4142135381698608,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,2.376900054514408,0.9939000010490417,0.0,0.0,0.0,0.0,0.0,767.9282836914062,523.85546875,767.9282836914062,523.85546875,False,False,-0.2270634641258459,-0.5226653172947704,0.11296987933843498,False,,False,caught
2,1787640660.806495,0.12027169950306416,0.06135659944266081,16.29816530061324,True,4,0.013220499269664288,0.02843210007995367,35.17151378856674,False,False,False,,3.012547492980957,4.665980339050293,7.495859622955322,4.994405746459961,,,4.495325565338135,True,0.202364325,0.803824171214,3,1.0,0.5386494398117065,1.1358447074890137,0.20236432552337646,0.10900343209505081,0.22985444962978363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1.5547005459666252,0.9644003584980965,0.0,0.0,0.0,0.0,0.0,767.5760498046875,523.4136962890625,767.5760498046875,523.4136962890625,False,False,-0.22707010476410516,-0.5223887805266801,0.11293568580577742,False,,False,caught
3,1787640660.867505,0.18124760035425425,0.06097590085119009,16.399921707437677,True,5,0.014447800815105438,0.026043299585580826,38.39759231405768,False,False,False,,3.012547492980957,4.665980339050293,7.494287967681885,4.9928507804870605,,,4.493644714355469,True,0.202364325,0.803824171214,3,1.0,1.0,1.4142135381698608,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.16266533732414246,0.16266533732414246,0.23004353046417236,0.16266533732414246,0.16266533732414246,0.23004353046417236,0.16266536712646484,0.16266536712646484,0.23004357516765594,False,False,1.5780003741383553,1.0224999859929085,0.0,0.0,0.0,0.0,0.0,767.4151000976562,523.2507934570312,767.4151000976562,523.2507934570312,False,False,-0.2270840768099799,-0.5222780374058305,0.11294590671982457,False,,False,caught
4,1787640660.9274836,0.24225169979035854,0.0610040994361043,16.392340994188434,True,6,0.011076199822127819,0.059400999918580055,16.834733445071347,False,False,False,,3.175212860107422,4.828645706176758,7.49312686920166,4.991823196411133,,,4.320996284484863,True,0.202364325,0.803824171214,3,1.0,0.1276695728302002,1.0081168413162231,0.20236432552337646,0.02583576738834381,0.2040068805217743,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.19457635283470154,0.19457635283470154,0.27517253160476685,0.19457635283470154,0.19457635283470154,0.27517253160476685,0.19457626342773438,0.19457626342773438,0.2751723825931549,False,False,1.5532998368144035,0.9380998089909554,0.5,0.0,0.5,0.0,0.0,798.0162353515625,523.14306640625,798.0162353515625,523.14306640625,False,False,-0.22709794514347448,-0.5222012726567934,0.11292931207411921,False,,False,caught
5,1787640660.9899912,0.3037531999871135,0.06150150019675493,16.259765969948877,True,7,0.007692900486290455,0.06437980011105537,15.53282238023412,False,False,False,,3.3697891235351562,5.023221969604492,7.493537902832031,4.991753101348877,,,4.123868942260742,True,0.202364325,0.803824171214,3,1.0,0.6197606325149536,1.1764792203903198,0.20236432552337646,0.12541744112968445,0.23807741701602936,0.20236432552337646,0.10900343209505081,0.22985444962978363,0.20083649456501007,0.1257907599210739,0.23697808384895325,0.20083649456501007,0.1257907599210739,0.23697808384895325,0.2008364200592041,0.12579059600830078,0.2369779348373413,False,False,1.5497999265789986,0.9444998577237129,1.0,0.0,1.0,0.5,0.0,828.7783203125,523.1357421875,828.7783203125,523.1357421875,False,False,-0.22708024918118147,-0.5222101573673165,0.11297063632435866,False,,False,caught
6,1787640661.0514498,0.3652449995279312,0.06149179954081774,16.262331033851243,False,,,,,False,False,False,,3.5706255435943604,5.149012565612793,7.5700531005859375,4.992379665374756,,,4.002493381500244,True,0.202364325,0.803824171214,3,1.0,-0.463725745677948,1.1022891998291016,0.20236432552337646,-0.0938415452837944,0.22306402027606964,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.20206458866596222,0.18734240531921387,0.2755490243434906,0.20206458866596222,0.18734240531921387,0.2755490243434906,0.20206451416015625,0.18734264373779297,0.27554914355278015,False,False,2.330799587070942,0.9572003036737442,1.0,-1.0,1.4142135381698608,1.0,0.0,836.6134643554688,460.3213806152344,836.6134643554688,460.3213806152344,False,False,-0.22418991683006564,-0.5244419961299492,0.11305409313806122,False,,False,caught
7,1787640661.1123936,0.4261545995250344,0.060909599997103214,16.41777322536281,True,8,0.04991639964282513,0.0648851003497839,15.411858725796524,False,False,False,,3.7726900577545166,5.336355209350586,7.777635097503662,4.99316930770874,,,4.019621849060059,True,0.202364325,0.803824171214,3,1.0,0.649937629699707,1.1926521062850952,0.20236432552337646,0.1315241903066635,0.2413502335548401,0.20236432552337646,0.02583576738834381,0.2040068805217743,0.20230551064014435,0.05751951038837433,0.21032358705997467,0.20230551064014435,0.05751951038837433,0.21032358705997467,0.20230555534362793,0.05751943588256836,0.21032361686229706,False,False,2.109600231051445,0.9480994194746017,1.0,-0.5,1.1180340051651,1.0,-1.0,857.8698120117188,491.8441467285156,857.8698120117188,491.8441467285156,False,False,-0.216312219284799,-0.5304659109510931,0.11310706513166284,False,,False,caught
8,1787640661.1738346,0.48660899978131056,0.06045440025627613,16.541393112177705,True,9,0.047690499573946,0.08048509992659092,12.424659979450642,False,False,False,,3.9749956130981445,5.393874645233154,7.9715681076049805,4.794539928436279,,,4.041261196136475,True,0.202364325,0.803824171214,3,1.0,-0.4661809802055359,1.1033244132995605,0.20236432552337646,-0.09433840215206146,0.22327348589897156,0.20236432552337646,0.12541744112968445,0.23807741701602936,0.20235279202461243,0.11209750175476074,0.23132769763469696,0.20235279202461243,0.11209750175476074,0.23132769763469696,0.20235300064086914,0.11209726333618164,0.23132775723934174,False,False,2.1879002451896667,1.0387003421783447,1.0,-0.5,1.1180340051651,1.0,-0.5,877.7286376953125,471.02777099609375,877.7286376953125,471.02777099609375,False,False,-0.20301784776641077,-0.5277018276918978,0.11280085680345729,False,,False,caught
9,1787640661.2343113,0.5475254999473691,0.06091650016605854,16.415913541881057,True,10,0.042289599776268005,0.06235979963093996,16.03597198705314,False,False,False,,4.177348613739014,5.505971908569336,8.12993049621582,4.679010391235352,,,4.038164138793945,True,0.202364325,0.803824171214,3,1.0,-0.30666738748550415,1.0459660291671753,0.20236432552337646,-0.06205853819847107,0.21166619658470154,0.20236432552337646,-0.0938415452837944,0.22306402027606964,0.20236210525035858,-0.053441330790519714,0.20929977297782898,0.20236210525035858,-0.053441330790519714,0.20929977297782898,0.202362060546875,-0.053441524505615234,0.20929978787899017,False,False,2.523600123822689,0.949399545788765,1.0,-0.5,1.1180340051651,1.0,-0.5,893.9449462890625,458.9202575683594,893.9449462890625,458.9202575683594,False,False,-0.19350632061758596,-0.5274085197852239,0.11294758878779308,False,,False,caught
