robot_name,robot_path,test_name,test_type,hand_path,base_seed,max_steps,trial_index,trial_seed,requested_episodes,completed_episodes,is_complete,reward_mean,reward_sample_variance,reward_sample_std,tiz_mean,tiz_sample_variance,tiz_sample_std,zpd_coverage_mean,zpd_coverage_sample_variance,zpd_coverage_sample_std,episode_length_mean,episode_length_sample_variance,episode_length_sample_std,catch_rate,too_close_rate,too_far_rate,avg_distance_mean,avg_distance_sample_variance,avg_distance_sample_std
single_h1,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\baselines\single_hand_h1_5m\robot\best_model.zip,agent_H1,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_1\hand\hand\best_model.zip,2026,100,0,479243620,1000,1000,True,-3.156524025889665,2114.4554422002307,45.98320826345451,0.40848,0.0948227123123123,0.30793296723850844,0.5305556940449994,0.05643185117039885,0.2375538910866308,64.446,1497.7067907907906,38.70021693467351,0.493,0.421726119350548,0.0477181866044527,3.740231515169144,0.30366606077876895,0.5510590356565882
single_h1,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\baselines\single_hand_h1_5m\robot\best_model.zip,agent_H1,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_1\hand\hand\best_model.zip,2026,100,1,454024514,1000,1000,True,-6.0627115104061815,2157.7366328983885,46.45144381930866,0.3913,0.09493464464464464,0.3081146615217209,0.5206426702192801,0.05681492096551366,0.23835880719099442,62.577,1458.955026026026,38.19626979203632,0.523,0.43167504248273975,0.0476822872979801,3.7211892538070677,0.28406265318882234,0.5329752838442158
single_h1,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\baselines\single_hand_h1_5m\robot\best_model.zip,agent_H1,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_1\hand\hand\best_model.zip,2026,100,2,1818751028,1000,1000,True,-6.613356648683689,2149.645445127483,46.36426905632702,0.38870000000000005,0.095083993993994,0.308356926294828,0.5161553052132258,0.05788995261203694,0.2406033096448113,62.21,1504.3502502502504,38.78595429082866,0.52,0.4363471446154323,0.04749755017134189,3.706413410782814,0.29605658338248514,0.5441108190272319
single_h1,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\baselines\single_hand_h1_5m\robot\best_model.zip,agent_H1,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_1\hand\hand\best_model.zip,2026,100,3,2288458700,1000,1000,True,-5.050500492170808,2217.421928148549,47.089509746317695,0.40308999999999995,0.09422717907907908,0.30696445898357533,0.5254599214995896,0.05359391400064899,0.23150359392598852,64.591,1462.5642832832832,38.24348680864865,0.487,0.4248482030176649,0.04969187548274546,3.734850614070892,0.2767534431925615,0.5260736100514466
single_h1,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\baselines\single_hand_h1_5m\robot\best_model.zip,agent_H1,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_1\hand\hand\best_model.zip,2026,100,4,2115331525,1000,1000,True,-5.6547616131823215,2061.0889639698344,45.39921765812528,0.3942,0.09226562562562562,0.3037525730353994,0.5240681107422923,0.054468036014898524,0.23338388122340095,62.855,1483.5935685685686,38.5174449901414,0.509,0.4225169175745309,0.05341497168317682,3.7522680490016938,0.3320828158840608,0.5762662716870222
single_h1,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\baselines\single_hand_h1_5m\robot\best_model.zip,agent_H1,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_1\hand\hand\best_model.zip,2026,100,5,2666256175,1000,1000,True,-6.00221163618418,2122.4068644936992,46.06958719691006,0.38927999999999996,0.0946189005005005,0.30760185386388766,0.5229009803110478,0.05443332235533711,0.23330949906794862,61.897,1511.0033943943943,38.87162711277204,0.512,0.42866893295779246,0.04843008673115982,3.724791860461235,0.29246132265506625,0.5407969329194335
single_h1,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\baselines\single_hand_h1_5m\robot\best_model.zip,agent_H1,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_1\hand\hand\best_model.zip,2026,100,6,975381835,1000,1000,True,-5.616649998197629,2081.635489738393,45.62494372312577,0.39682999999999996,0.09277862972972972,0.3045958465405097,0.5289163298642213,0.0537203160167739,0.2317764354216664,63.191,1459.3338528528527,38.20122842073083,0.523,0.42158019514362666,0.049503474992151957,3.7384950711727143,0.26206903584429403,0.5119267875822616
single_h1,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\baselines\single_hand_h1_5m\robot\best_model.zip,agent_H1,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_1\hand\hand\best_model.zip,2026,100,7,2535166222,1000,1000,True,-5.356428197285897,2120.5111746496405,46.049008400286326,0.39204999999999995,0.09548338088088089,0.3090038525340435,0.5185603943897993,0.05351508753755707,0.23133328238184203,63.032,1508.0610370370368,38.83376156177813,0.506,0.43449662321691346,0.046942982393287265,3.7088468984365464,0.274084344262574,0.5235306526485092
single_h1,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\baselines\single_hand_h1_5m\robot\best_model.zip,agent_H1,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_1\hand\hand\best_model.zip,2026,100,8,1079577930,1000,1000,True,-4.418810533238157,2136.224392988075,46.21930757798168,0.40015999999999996,0.09468405845845845,0.307707748453721,0.5259946223309423,0.05555672547885064,0.23570474216453652,63.518,1497.389065065065,38.69611175641637,0.499,0.4269663158345527,0.04703906183450505,3.725331496477127,0.2937762680197741,0.5420113172432602
single_h1,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\baselines\single_hand_h1_5m\robot\best_model.zip,agent_H1,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_1\hand\hand\best_model.zip,2026,100,9,3715024065,1000,1000,True,-6.2997506349652985,2096.548287940535,45.78808019496488,0.38475,0.09563016766766767,0.30924127743182617,0.515869217449868,0.05384094118252846,0.23203650829670847,61.698,1533.4462422422423,39.159242105054105,0.516,0.435592900717703,0.048537881832428936,3.705267368078232,0.281035758324622,0.5301280584204368
