step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,policy_dt_s,policy_loop_hz_inst,policy_deadline_overrun_s,policy_deadline_overrun,servo_dt_s,servo_loop_hz_inst,servo_target_age_s,servo_interpolation_phase,servo_command_sequence,servo_policy_step,servo_commanded_world_x,servo_commanded_world_y,servo_commanded_world_z,servo_target_world_x,servo_target_world_y,servo_target_world_z,servo_tracking_error_cm,servo_target_error_cm,servo_deadline_overrun_s,servo_deadline_overrun_count,servo_watchdog_stopped,servo_stop_reason,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,virtual_hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,virtual_hand_action_x,virtual_hand_action_y,virtual_hand_action_norm,virtual_hand_command_dx_cm,virtual_hand_command_dy_cm,virtual_hand_command_norm_cm,virtual_hand_delayed_dx_cm,virtual_hand_delayed_dy_cm,virtual_hand_delayed_norm_cm,virtual_hand_smoothed_dx_cm,virtual_hand_smoothed_dy_cm,virtual_hand_smoothed_norm_cm,virtual_hand_exec_dx_cm,virtual_hand_exec_dy_cm,virtual_hand_exec_norm_cm,virtual_hand_actual_dx_cm,virtual_hand_actual_dy_cm,virtual_hand_actual_norm_cm,virtual_hand_accel_clipped,virtual_hand_workspace_clipped,virtual_hand_policy_inference_ms,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1787667250.1562054,2.998858690261841e-07,,,,,2.998858690261841e-07,False,,,,0.0,0,-1,-0.22711227847800755,-0.5227237021790713,0.113,-0.22711227847800755,-0.5227237021790713,0.113,0.0024308021692710465,0.0024308021692710465,0.0,0,False,,False,,,,,False,False,False,,7.171126842498779,9.488128662109375,7.499129295349121,5.000235080718994,,,4.499864101409912,True,0.152322427,0.558178210011,0,-1.0,-1.0,1.4142135381698608,-0.1523224264383316,-0.1523224264383316,0.21541644632816315,-0.1523224264383316,-0.1523224264383316,0.21541644632816315,-0.08502305299043655,-0.08502305299043655,0.12024075537919998,-0.08502305299043655,-0.08502305299043655,0.12024075537919998,-0.0850229263305664,-0.0850229263305664,0.12024057656526566,False,False,1.2771999463438988,2.5209998711943626,0.48503273725509644,-0.5874053239822388,0.7617753744125366,0.0,0.0,797.711181640625,487.08856201171875,797.711181640625,487.08856201171875,False,False,-0.22711742106389526,-0.5227283983129545,0.11297671094558485,False,,False,caught
1,1787667250.2142215,0.057336400263011456,0.05733610037714243,17.44101871983361,0.05733610037714243,17.44101871983361,0.0073364004492759705,True,0.008094199933111668,123.54525564771517,0.04728170018643141,0.9456340037286282,1,0,-0.21795677162861024,-0.5198363687499987,0.113,-0.20583270718678756,-0.5160128538823965,0.113,0.8756089368297683,2.1468107144000514,0.0036474978551268578,4,False,,True,1,0.026579299941658974,,,False,False,False,,7.086103916168213,9.403105735778809,7.507637023925781,4.985096454620361,,,4.438073635101318,True,0.152322427,0.558178210011,0,-1.0,-1.0,1.4142135381698608,-0.1523224264383316,-0.1523224264383316,0.21541644632816315,-0.1523224264383316,-0.1523224264383316,0.21541644632816315,-0.12258803844451904,-0.12258803844451904,0.17336566746234894,-0.12258803844451904,-0.12258803844451904,0.17336566746234894,-0.1225881576538086,-0.1225881576538086,0.17336583137512207,False,False,1.278500072658062,1.8658004701137543,1.0,-1.0,1.4142135381698608,0.48503273725509644,-0.5874053239822388,830.2220458984375,459.55810546875,830.2220458984375,459.55810546875,False,False,-0.2263484305723359,-0.5223362009509075,0.11299959366930909,False,,False,caught
2,1787667250.2625163,0.10362030006945133,0.04628389980643988,21.60578525539158,0.04628389980643988,21.60578525539158,0.003620300441980362,True,0.008121400140225887,123.13147766810886,0.03750950004905462,0.7501900009810925,2,1,-0.20854751560518395,-0.5179939049517466,0.113,-0.1854798232709488,-0.5140107317523744,0.113,1.3894594686040427,3.7295409919855005,0.004522895440459251,10,False,,True,3,0.014166399836540222,0.028547700494527817,35.0290910538201,False,False,False,,6.963515758514404,9.280517578125,7.563571929931641,4.913946151733398,,,4.407608509063721,True,0.152322427,0.558178210011,0,-0.07838249206542969,-1.0,1.0030672550201416,-0.01193941105157137,-0.1523224264383316,0.1527896374464035,-0.01193941105157137,-0.1523224264383316,0.1527896374464035,-0.060826435685157776,-0.13918517529964447,0.1518959105014801,-0.060826435685157776,-0.13918517529964447,0.1518959105014801,-0.06082630157470703,-0.13918495178222656,0.1518956571817398,False,False,2.0093005150556564,2.4411994963884354,0.6591634154319763,-1.0,1.1977046728134155,1.0,-1.0,815.0087890625,452.1015625,815.0087890625,452.1015625,False,False,-0.2221237844849031,-0.520951013886005,0.1129861599912872,False,,False,caught
3,1787667250.3219833,0.16463680006563663,0.0610164999961853,16.38900953123367,0.0610164999961853,16.38900953123367,0.01463680062443018,True,0.008041700348258018,124.35181077303118,0.04676629975438118,0.9353259950876236,3,2,-0.19875610482238804,-0.5127539614852551,0.113,-0.1891115556097711,-0.5069216208294953,0.113,1.677087039768546,2.795810995642545,0.005113393068313599,17,False,,True,5,0.012760300189256668,0.03283619973808527,30.454194089949567,False,False,False,,6.902689456939697,9.141332626342773,7.675304412841797,4.793022632598877,,,4.416416645050049,True,0.152322427,0.558178210011,0,-0.3306378722190857,-1.0,1.0532432794570923,-0.05036356300115585,-0.1523224264383316,0.1604325771331787,-0.05036356300115585,-0.1523224264383316,0.1604325771331787,-0.05498622730374336,-0.14651799201965332,0.15649603307247162,-0.05498622730374336,-0.14651799201965332,0.15649603307247162,-0.054986000061035156,-0.14651775360107422,0.15649573504924774,False,False,1.271500252187252,1.5942994505167007,0.30322545766830444,-1.0,1.0449620485305786,0.6591634154319763,-1.0,804.5813598632812,439.42877197265625,804.5813598632812,439.42877197265625,False,False,-0.21429105981152624,-0.5190726095146996,0.11304420929098996,False,,False,caught
4,1787667250.3677936,0.21092760004103184,0.0462907999753952,21.602564667958358,0.0462907999753952,21.602564667958358,0.010927600786089897,True,0.008098499849438667,123.47965902219696,0.03609300032258034,0.7218600064516068,4,3,-0.19355839662180419,-0.5054004587628244,0.113,-0.1895227505764182,-0.4985219830831821,0.113,1.7061734445305037,2.4648248866300118,0.005864790640771389,23,False,,True,6,0.013542000204324722,0.029573699459433556,33.81382844482162,False,False,False,,6.847703456878662,8.9948148727417,7.76127290725708,4.658766269683838,,,4.431244373321533,True,0.152322427,0.558178210011,0,-1.0,-1.0,1.4142135381698608,-0.1523224264383316,-0.1523224264383316,0.21541644632816315,-0.1523224264383316,-0.1523224264383316,0.21541644632816315,-0.10931706428527832,-0.14975778758525848,0.18541201949119568,-0.10931706428527832,-0.14975778758525848,0.18541201949119568,-0.10931730270385742,-0.14975738525390625,0.18541182577610016,False,False,1.1864006519317627,1.668100245296955,0.008433826267719269,-1.0,1.0000355243682861,0.30322545766830444,-1.0,795.2725219726562,425.35870361328125,795.2725219726562,425.35870361328125,False,False,-0.20702306393390427,-0.5158792528406683,0.11298022297506423,False,,False,caught
5,1787667250.4136467,0.256734199821949,0.04580659978091717,21.83091530003927,0.04580659978091717,21.83091530003927,0.00673420075327158,True,0.008100500330328941,123.44916477022012,0.03862380050122738,0.7724760100245476,5,4,-0.19059019073084968,-0.4963171515103672,0.113,-0.18889539708238004,-0.4902688599884676,0.113,1.757208793508994,2.3585746713246962,0.006297788582742214,29,False,,False,,,,,False,False,False,,6.738386154174805,8.845057487487793,7.806612491607666,4.50517463684082,,,4.469417095184326,True,0.152322427,0.558178210011,0,0.9577361941337585,-1.0,1.3846510648727417,0.145884707570076,-0.1523224264383316,0.21091341972351074,0.145884707570076,-0.1523224264383316,0.21091341972351074,0.03313089534640312,-0.15118911862373352,0.15477663278579712,0.03313089907169342,-0.15118911862373352,0.15477663278579712,0.03313112258911133,-0.15118885040283203,0.1547764241695404,False,False,1.512099988758564,2.270500175654888,-0.1979159712791443,-1.0,1.019397258758545,0.008433826267719269,-1.0,787.2371826171875,409.2622985839844,787.2371826171875,409.2622985839844,False,False,-0.20071306335071395,-0.5106801048095111,0.11289371337267888,False,,False,caught
6,1787667250.4587297,0.30289930012077093,0.046165100298821926,21.661384758770225,0.046165100298821926,21.661384758770225,0.0028993012383580208,True,0.00805129949003458,124.20355263616023,0.03338539972901344,0.6677079945802689,6,5,-0.18913342989411486,-0.48970926605796433,0.113,-0.18731622967194847,-0.4814664230261111,0.113,1.5898460815316748,2.4188474446874175,0.006521286442875862,34,False,,True,7,0.039655799977481365,0.045221300795674324,22.11347268665159,False,False,False,,6.771517276763916,8.693868637084961,7.806115627288818,4.3487772941589355,,,4.46656608581543,True,0.152322427,0.558178210011,0,-1.0,-1.0,1.4142135381698608,-0.1523224264383316,-0.1523224264383316,0.21541644632816315,-0.1523224264383316,-0.1523224264383316,0.21541644632816315,-0.07038500159978867,-0.1518215835094452,0.16734348237514496,-0.07038500159978867,-0.1518215835094452,0.16734348237514496,-0.07038497924804688,-0.15182113647460938,0.16734306514263153,False,False,1.118500716984272,1.5735998749732971,-0.23932161927223206,-1.0,1.0282386541366577,-0.1979159712791443,-1.0,784.642333984375,392.87188720703125,784.642333984375,392.87188720703125,False,False,-0.19606017945652945,-0.5040186481047101,0.11284906214516707,False,,False,caught
7,1787667250.5202513,0.363896899856627,0.060997599735856056,16.394087707227808,0.060997599735856056,16.394087707227808,0.013896901160478592,True,0.00805980060249567,124.07254835688563,0.05191079992800951,1.0,7,6,-0.18518868274624864,-0.47816458724469585,0.113,-0.18355985670222147,-0.4736484835869638,0.113,1.8330951783345322,2.312931676768668,0.007254583761096001,42,False,,True,8,0.01989670004695654,0.06614759936928749,15.117706606663381,False,False,False,,6.701132297515869,8.542047500610352,7.76942253112793,4.166343688964844,,,4.504223346710205,True,0.152322427,0.558178210011,0,-0.5880575180053711,-1.0,1.1600911617279053,-0.08957434445619583,-0.1523224264383316,0.1767079085111618,-0.08957434445619583,-0.1523224264383316,0.1767079085111618,-0.08109606057405472,-0.15210093557834625,0.1723695695400238,-0.08109606057405472,-0.15210093557834625,0.1723695695400238,-0.08109617233276367,-0.1521005630493164,0.17236928641796112,False,False,1.1400999501347542,1.8231002613902092,-0.31492072343826294,-1.0,1.0484155416488647,-0.23932161927223206,-1.0,776.2401123046875,373.7528381347656,776.2401123046875,373.7528381347656,False,False,-0.1920062906368612,-0.495179679389898,0.1128249136685265,False,,False,caught
8,1787667250.5660264,0.4101571002975106,0.046260200440883636,21.61685402288539,0.046260200440883636,21.61685402288539,0.010157101787626743,True,0.008113699965178967,123.24833359523205,0.03892919979989529,0.7785839959979057,8,7,-0.18255724171325366,-0.46893694020921933,0.113,-0.18110655342526202,-0.4635730452910081,0.113,1.9676472066105672,2.5223674520828068,0.007826780900359154,48,False,,True,9,0.0026895999908447266,0.08045800030231476,12.428844816457987,False,False,False,,6.6200361251831055,8.389946937561035,7.730726718902588,4.0141754150390625,,,4.514533042907715,True,0.152322427,0.558178210011,0,0.23372742533683777,-1.0,1.0269510746002197,0.03560192883014679,-0.1523224264383316,0.15642768144607544,0.03560192883014679,-0.1523224264383316,0.15642768144607544,-0.01595783419907093,-0.15222439169883728,0.15305854380130768,-0.01595783233642578,-0.15222439169883728,0.15305854380130768,-0.01595783233642578,-0.15222454071044922,0.15305869281291962,False,False,1.0951999574899673,1.5358999371528625,-0.3457081615924835,-1.0,1.0580708980560303,-0.31492072343826294,-1.0,770.3860473632812,357.80560302734375,770.3860473632812,357.80560302734375,False,False,-0.18892769047678445,-0.4875531948512377,0.11287351433680104,False,,False,caught
9,1787667250.6138108,0.45596700068563223,0.045809900388121605,21.829342380742165,0.045809900388121605,21.829342380742165,0.005967002362012863,True,0.008083400316536427,123.71031507053702,0.041596400551497936,0.8319280110299587,9,8,-0.18031640859399856,-0.46088232277628083,0.113,-0.1787569173023318,-0.4552767711462022,0.113,1.9505481691184072,2.532165481158064,0.00822467915713787,54,False,,False,,,,,False,False,False,,6.60407829284668,8.237722396850586,7.682558536529541,3.8589842319488525,,,4.509597301483154,True,0.152322427,0.558178210011,0,-0.48513519763946533,-1.0,1.1114658117294312,-0.07389696687459946,-0.1523224264383316,0.16930116713047028,-0.07389696687459946,-0.1523224264383316,0.16930116713047028,-0.0482981912791729,-0.15227916836738586,0.15975500643253326,-0.0482981912791729,-0.15227916836738586,0.15975500643253326,-0.04829835891723633,-0.15227890014648438,0.15975479781627655,False,False,1.9648997113108635,2.824299968779087,-0.3587530255317688,-1.0,1.0624046325683594,-0.3457081615924835,-1.0,764.6522216796875,341.5415344238281,764.6522216796875,341.5415344238281,False,False,-0.18611635105831317,-0.4795047758792597,0.1128305189004368,False,,False,caught
10,1787667250.657973,0.5011138003319502,0.04514679964631796,22.149964290581938,0.04514679964631796,22.149964290581938,0.001113802194595337,True,0.008058199658989906,124.09719817309042,0.03518489934504032,0.7036979869008064,10,9,-0.17835631702697013,-0.4539118173323114,0.113,-0.17640209556274702,-0.4469621872312338,0.113,1.9755584476060608,2.697421659715971,0.008565076626837254,59,False,,True,10,0.03035719972103834,0.06346930004656315,15.755648782425006,False,False,False,,6.555779933929443,8.085443496704102,7.640704154968262,3.7327096462249756,,,4.485905647277832,True,0.152322427,0.558178210011,0,-0.5262442231178284,-1.0,1.1300145387649536,-0.08015879988670349,-0.1523224264383316,0.17212656140327454,-0.08015879988670349,-0.1523224264383316,0.17212656140327454,-0.06608216464519501,-0.15230318903923035,0.1660214215517044,-0.06608216464519501,-0.15230318903923035,0.1660214215517044,-0.06608200073242188,-0.15230321884155273,0.16602139174938202,False,False,1.2749005109071732,1.618100330233574,-0.3577016592025757,-1.0,1.0620501041412354,-0.3587530255317688,-1.0,760.430908203125,328.3079528808594,760.430908203125,328.3079528808594,False,False,-0.18392682954628933,-0.4728651190815573,0.11284232608044938,False,,False,caught
11,1787667250.7189264,0.5620400002226233,0.06092619989067316,16.41330005472874,0.06092619989067316,16.41330005472874,0.012040002271533012,True,0.008048400282859802,124.24829343163266,0.055317800492048264,1.0,11,10,-0.17454855264411612,-0.4416920527931183,0.113,-0.17415298483273858,-0.4404402274105718,0.113,2.0765823420702554,2.207850924177815,0.009080174379050732,67,False,,True,11,0.012187999673187733,0.0635895999148488,15.725841982636693,False,False,False,,6.4896979331970215,7.933140277862549,7.563604354858398,3.522463798522949,,,4.539531230926514,True,0.152322427,0.558178210011,0,-0.06284371018409729,-1.0,1.0019726753234863,-0.009572506882250309,-0.1523224264383316,0.15262290835380554,-0.009572506882250309,-0.1523224264383316,0.15262290835380554,-0.03453963249921799,-0.1523139327764511,0.15618105232715607,-0.03453963249921799,-0.1523139327764511,0.15618105232715607,-0.03453969955444336,-0.1523137092590332,0.15618084371089935,False,False,1.2151999399065971,1.587599515914917,-0.3784027397632599,-0.8961784243583679,0.9727920889854431,-0.3577016592025757,-1.0,751.2639770507812,312.8025207519531,751.2639770507812,312.8025207519531,False,False,-0.1805591777567959,-0.46156798292276796,0.11280198591992857,False,,False,caught
12,1787667250.765113,0.608207100071013,0.046167099848389626,21.660446579576114,0.046167099848389626,21.660446579576114,0.008207102306187153,True,0.008097399957478046,123.49643160166345,0.034554099664092064,0.6910819932818413,12,11,-0.1734924791019533,-0.4348841443397563,0.113,-0.17292796717222625,-0.4312450554079932,0.113,1.865614559855422,2.232612043610415,0.009390272200107574,72,False,,False,,,,,False,False,False,,6.455158233642578,7.780826568603516,7.5053629875183105,3.363107204437256,,,4.540833950042725,True,0.152322427,0.558178210011,0,-1.0,-1.0,1.4142135381698608,-0.1523224264383316,-0.1523224264383316,0.21541644632816315,-0.1523224264383316,-0.1523224264383316,0.21541644632816315,-0.10028344392776489,-0.1523185670375824,0.1823669821023941,-0.10028344392776489,-0.1523185670375824,0.1823669821023941,-0.10028362274169922,-0.15231847763061523,0.1823669970035553,False,False,1.2384997680783272,2.0545003935694695,-0.3498835265636444,-0.801318883895874,0.8743743300437927,-0.3784027397632599,-0.8961784243583679,747.0523681640625,302.06671142578125,747.0523681640625,302.06671142578125,False,False,-0.17799213628060243,-0.4529878545427097,0.112753970008805,False,,False,caught
