step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1785760689.2664356,2.998858690261841e-07,,,False,,,,,False,False,False,,3.0116753578186035,4.666674613952637,7.499528884887695,5.000292778015137,,,4.500236511230469,True,2.522699534893036,0.2611730694770813,-0.41601380705833435,0.4912014305591583,0.0,0.0,776.0232372283936,510.9205255508423,776.0232372283936,510.9205255508423,False,False,-0.22710391506284883,-0.5227423075744208,0.11397253809151449,False,,False,keyboard_interrupt
1,1785760689.3106048,0.05903750006109476,0.059037200175225735,16.938472641519986,False,,,,,False,False,False,,3.2116754055023193,4.866674423217773,7.508663654327393,4.980777263641357,,,4.2985029220581055,True,1.7208000645041466,-0.19310849905014038,-1.0,1.018474817276001,0.2611730694770813,-0.41601380705833435,770.090943813324,479.48052310943604,770.090943813324,479.48052310943604,False,False,-0.2261822431203307,-0.5221838745522049,0.11399303760169532,False,,False,keyboard_interrupt
2,1785760689.3734417,0.12090730015188456,0.061869800090789795,16.162974480805932,False,,,,,False,False,False,,3.411675453186035,5.06667423248291,7.542636394500732,4.918820381164551,,,4.13360595703125,True,1.72519963234663,-0.14375492930412292,-0.8917245864868164,0.9032376408576965,-0.19310849905014038,-1.0,765.6747922897339,451.4447011947632,765.6747922897339,451.4447011947632,False,False,-0.22306433604381956,-0.5205527984834453,0.11402211106064881,False,,False,keyboard_interrupt
3,1785760689.4345727,0.18302759993821383,0.06212029978632927,16.097797393760626,False,,,,,False,False,False,,3.611675500869751,5.151246070861816,7.544427394866943,4.791126251220703,,,3.9492053985595703,True,1.7193006351590157,0.0009633675217628479,-0.8553605079650879,0.8553610444068909,-0.14375492930412292,-0.8917245864868164,765.7043869420886,424.5521650314331,765.7043869420886,424.5521650314331,False,False,-0.21922578957651914,-0.5152156847627476,0.11398515414955637,False,,False,keyboard_interrupt
4,1785760689.4955473,0.24400730058550835,0.06097970064729452,16.398899787717585,False,,,,,False,False,False,,3.811675548553467,5.325855255126953,7.517556190490723,4.600681781768799,,,3.776165723800659,True,1.9366005435585976,0.12887150049209595,-0.9683037996292114,0.976841926574707,0.0009633675217628479,-0.8553605079650879,769.6633195802569,394.10869121551514,769.6633195802569,394.10869121551514,False,False,-0.21461320237825407,-0.5063810464278774,0.11387559196325697,False,,False,keyboard_interrupt
5,1785760689.5565157,0.3054651999846101,0.061457899399101734,16.2713013262314,False,,,,,False,False,False,,4.0116753578186035,5.251835823059082,7.492417812347412,4.355884552001953,,,3.594203233718872,True,1.8188003450632095,0.22649872303009033,-1.0,1.0253300666809082,0.12887150049209595,-0.9683037996292114,776.621360771358,362.6686887741089,776.621360771358,362.6686887741089,False,False,-0.20830299667784324,-0.49525575226606067,0.1137914158207699,False,,False,keyboard_interrupt
6,1785760689.6173315,0.36635399982333183,0.06088879983872175,16.42338168347437,False,,,,,False,False,False,,4.21167516708374,5.244042873382568,7.496750354766846,4.08926248550415,,,3.482131242752075,False,1.7970995977520943,0.3981328010559082,-1.0,1.076340913772583,0.22649872303009033,-1.0,788.852001182735,331.22868633270264,788.852001182735,331.22868633270264,False,False,-0.20018233049507186,-0.48400224604336833,0.11374568515656652,False,,False,keyboard_interrupt
7,1785760689.68022,0.42816360015422106,0.061809600330889225,16.178716488161015,False,,,,,False,False,False,,4.411674976348877,5.044043064117432,7.524848461151123,3.8338685035705566,,,3.340115547180176,False,1.8001003190875053,0.49683985114097595,-1.0,1.1166242361068726,0.3981328010559082,-1.0,804.1149215623736,299.7886838912964,804.1149215623736,299.7886838912964,False,False,-0.19144423699706287,-0.47386452250396305,0.1137162162938073,False,,False,keyboard_interrupt
8,1785760689.7406068,0.48906970024108887,0.06090610008686781,16.41871665684951,False,,,,,False,False,False,,4.611674785614014,5.025618076324463,7.595972537994385,3.531343698501587,,,3.3374974727630615,False,1.925099641084671,0.5591337084770203,-1.0,1.1457009315490723,0.49683985114097595,-1.0,821.2915096208453,268.34868144989014,821.2915096208453,268.34868144989014,False,False,-0.1795745293757836,-0.46288825730145394,0.11366255433999176,False,,False,keyboard_interrupt
9,1785760689.8014197,0.5508824000135064,0.061812699772417545,16.177905247332788,False,,,,,False,False,False,,4.81167459487915,4.825618267059326,7.70829439163208,3.221696615219116,,,3.31103777885437,False,1.6885995864868164,0.5624231100082397,-1.0,1.1473097801208496,0.5591337084770203,-1.0,838.5691490098834,236.9086790084839,838.5691490098834,236.9086790084839,False,False,-0.16581400075207417,-0.45273091670052684,0.11366049205310401,False,,False,keyboard_interrupt
