step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,policy_dt_s,policy_loop_hz_inst,policy_deadline_overrun_s,policy_deadline_overrun,policy_schedule_resynced,policy_step_start_perf,servo_publish_perf,servo_publish_latency_ms,servo_endpoint_deadline_perf,servo_endpoint_lateness_s,servo_dt_s,servo_loop_hz_inst,servo_target_age_s,servo_interpolation_phase,servo_command_sequence,servo_policy_step,servo_commanded_world_x,servo_commanded_world_y,servo_commanded_world_z,servo_target_world_x,servo_target_world_y,servo_target_world_z,servo_segment_start_world_x,servo_segment_start_world_y,servo_segment_start_world_z,servo_segment_end_world_x,servo_segment_end_world_y,servo_segment_end_world_z,servo_segment_start_perf,servo_segment_end_perf,servo_segment_elapsed_s,servo_segment_duration_s,servo_pending_segment_count,servo_command_step_limited,servo_command_step_limited_count,servo_publish_rejected_count,servo_tracking_error_cm,servo_target_error_cm,servo_deadline_overrun_s,servo_deadline_overrun_count,servo_watchdog_stopped,servo_stop_reason,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,virtual_hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,virtual_hand_action_x,virtual_hand_action_y,virtual_hand_action_norm,virtual_hand_command_dx_cm,virtual_hand_command_dy_cm,virtual_hand_command_norm_cm,virtual_hand_delayed_dx_cm,virtual_hand_delayed_dy_cm,virtual_hand_delayed_norm_cm,virtual_hand_smoothed_dx_cm,virtual_hand_smoothed_dy_cm,virtual_hand_smoothed_norm_cm,virtual_hand_exec_dx_cm,virtual_hand_exec_dy_cm,virtual_hand_exec_norm_cm,virtual_hand_actual_dx_cm,virtual_hand_actual_dy_cm,virtual_hand_actual_norm_cm,virtual_hand_accel_clipped,virtual_hand_workspace_clipped,virtual_hand_policy_inference_ms,mpc_prediction_mode,mpc_tracking_alpha,mpc_command_actual_lag_cm,mpc_predicted_first_command_x_cm,mpc_predicted_first_command_y_cm,mpc_predicted_first_actual_x_cm,mpc_predicted_first_actual_y_cm,mpc_predicted_min_hand_distance_cm,mpc_hand_velocity_x_cm_step,mpc_hand_velocity_y_cm_step,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,planned_anchor_x_cm,planned_anchor_y_cm,planned_target_x_cm,planned_target_y_cm,planned_delta_dx_cm,planned_delta_dy_cm,planned_delta_norm_cm,actual_robot_move_dx_cm,actual_robot_move_dy_cm,actual_robot_move_norm_cm,actual_to_planned_step_projection,planned_endpoint_actual_lag_cm,planned_endpoint_actual_lag_excess_cm,servo_follower_lag_allowance_cm,servo_lag_warning_cm,servo_lag_hard_limit_cm,servo_publish_accepted,servo_publish_reject_reason,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1787745315.353791,2.998858690261841e-07,,,,,2.998858690261841e-07,False,False,7286520.1055897,7286520.110532,4.942299798130989,7286520.1555897,0.0,,,0.0004366999492049217,1.0,0,-1,-0.29912668732895364,-0.5454746701044463,0.113,-0.29912668732895364,-0.5454746701044463,0.113,-0.29912668732895364,-0.5454746701044463,0.113,-0.29912668732895364,-0.5454746701044463,0.113,7286520.1046226,7286520.1046226,0.0004366999492049217,0.0,1,False,0,0,0.003395007972489403,0.003395007972489403,0.0,0,False,,False,,,,,False,False,False,,3.278301239013672,6.560904502868652,7.499507427215576,5.000256061553955,,,4.500467300415039,True,0.188728447,0.606274056977,0,1.0,-1.0,1.4142135381698608,0.1887284517288208,-0.1887284517288208,0.2669023275375366,0.1887284517288208,-0.1887284517288208,0.2669023275375366,0.11442116647958755,-0.11442116647958755,0.16181597113609314,0.11442116647958755,-0.11442116647958755,0.16181597113609314,0.11442112922668457,-0.11442136764526367,0.1618160754442215,False,False,2.1497998386621475,,,,,,,,,,,2.4896999821066856,0.29840677976608276,-0.39998859167099,0.4990365505218506,0.0,0.0,783.1868896484375,503.09503173828125,783.1868896484375,503.09503173828125,7.499106407165527,5.000519275665283,7.648309707641602,4.800525188446045,0.14920330047607422,-0.19999408721923828,0.24951805174350739,0.0,0.0,0.0,,0.0004796861030627042,0.0,2.0,1.5,3.0,True,,False,False,-0.29910398392194504,-0.5454723155122052,0.11302513203372007,False,,False,timeout
1,1787745315.405107,0.05059130024164915,0.050591000355780125,19.766361466812704,0.050591000355780125,19.766361466812704,0.0005913004279136658,False,False,7286520.1555897,7286520.1612697,5.68000040948391,7286520.2055897,0.0,0.008135699667036533,122.9150584370397,0.051738400012254715,1.0,1,0,-0.28819116593992555,-0.539955470479617,0.113,-0.28819116593992555,-0.539955470479617,0.113,-0.29912668732895364,-0.5454746701044463,0.113,-0.28819116593992555,-0.539955470479617,0.113,7286520.1055897,7286520.1555897,0.051738400012254715,0.049999999813735485,1,False,1,0,1.1573660695433163,1.1573660695433163,0.0001356996670365332,1,False,,True,2,0.002326500602066517,0.028478600084781647,35.1140855597877,False,False,False,,3.3927223682403564,6.446483135223389,7.5076375007629395,4.98963737487793,,,4.365194797515869,True,0.188728447,0.606274056977,0,1.0,-0.9206142425537109,1.3592389822006226,0.1887284517288208,-0.17374609410762787,0.2565270662307739,0.1887284517288208,-0.17374609410762787,0.2565270662307739,0.15947173535823822,-0.1503884196281433,0.2191983312368393,0.15947173535823822,-0.1503884196281433,0.2191983312368393,0.15947175025939941,-0.15038824081420898,0.21919822692871094,False,False,2.3813005536794662,,,,,,,,,,,1.6691004857420921,-0.19457271695137024,-1.0,1.0187534093856812,0.29840677976608276,-0.39998859167099,773.2247924804688,450.69500732421875,773.2247924804688,450.69500732421875,7.648309707641602,4.800525188446045,7.551023483276367,4.300525188446045,-0.09728622436523438,-0.5,0.5093767046928406,0.008130073547363281,-0.01061868667602539,0.01337365247309208,0.053593773394823074,0.23569490015506744,0.0,2.0,1.5,3.0,True,,False,False,-0.29851369320498977,-0.5451893900862846,0.113033738790144,False,,False,timeout
2,1787745315.4548564,0.10000250022858381,0.04941119998693466,20.238326538607048,0.04941119998693466,20.238326538607048,2.50060111284256e-06,False,False,7286520.2055897,7286520.2111333,5.543600767850876,7286520.255589699,0.0,0.008032300509512424,124.49733408451645,0.0498392004519701,0.9967840127527118,2,1,-0.28319766957244114,-0.5254298175157082,0.113,-0.2795429295173351,-0.5147984919259967,0.113,-0.28819116593992555,-0.539955470479617,0.113,-0.2795429295173351,-0.5147984919259967,0.113,7286520.1555897,7286520.2055897,0.0498392004519701,0.049999999813735485,1,True,7,0,1.665338227380707,2.7796708739138705,3.23005095124243e-05,1,False,,True,3,0.020277000032365322,0.029305700212717056,34.12305431166784,False,False,False,,3.552194118499756,6.29609489440918,7.590687274932861,4.830490589141846,,,4.296210289001465,True,0.188728447,0.606274056977,0,0.5858495235443115,-1.0,1.1589735746383667,0.11056647449731827,-0.1887284517288208,0.21873128414154053,0.11056647449731827,-0.1887284517288208,0.21873128414154053,0.1298217475414276,-0.1736329197883606,0.21679963171482086,0.1298217475414276,-0.1736329197883606,0.21679963171482086,0.12982177734375,-0.17363309860229492,0.2167997807264328,False,False,1.9009001553058624,,,,,,,,,,,2.0281001925468445,-0.1115841194987297,-1.0,1.0062062740325928,-0.19457271695137024,-1.0,767.51171875,398.2950439453125,767.51171875,398.2950439453125,7.551023483276367,4.300525188446045,7.495231628417969,3.800525188446045,-0.05579185485839844,-0.5,0.5031030774116516,0.08304977416992188,-0.15914678573608398,0.1795131266117096,0.27554354071617126,0.5314475893974304,0.0,2.0,1.5,3.0,True,,False,False,-0.29121965383269943,-0.5400236294487946,0.11305969042992545,False,,False,timeout
3,1787745315.5026283,0.15000110026448965,0.04999860003590584,20.0005600013173,0.04999860003590584,20.0005600013173,1.1008232831954956e-06,False,False,7286520.255589699,7286520.2595487,3.9590010419487953,7286520.305589699,0.0,0.008014700375497341,124.77072793104213,0.047906700521707535,0.9581340140034781,3,2,-0.277653429797872,-0.5111064227344673,0.113,-0.26941439555503305,-0.49067629486646097,0.113,-0.2795429295173351,-0.5147984919259967,0.113,-0.26941439555503305,-0.49067629486646097,0.113,7286520.2055897,7286520.255589699,0.047906700521707535,0.049999999813735485,1,True,13,0,1.8352792069395159,4.037640589922168,1.470037549734099e-05,1,False,,True,5,0.005002200603485107,0.03024870064109564,33.059271268049386,False,False,False,,3.682015895843506,6.122461795806885,7.605545520782471,4.563002109527588,,,4.222084999084473,True,0.188728447,0.606274056977,0,1.0,0.05876868963241577,1.001725435256958,0.1887284517288208,0.011091323569417,0.18905407190322876,0.1887284517288208,0.011091323569417,0.18905407190322876,0.1655353605747223,-0.06163947284221649,0.176639124751091,0.1655353605747223,-0.06163947284221649,0.176639124751091,0.16553544998168945,-0.06163930892944336,0.1766391545534134,False,False,1.1600004509091377,,,,,,,,,,,1.5011997893452644,0.0072402432560920715,-1.0,1.0000262260437012,-0.1115841194987297,-1.0,767.8824462890625,345.8950500488281,767.8824462890625,345.8950500488281,7.495231628417969,3.800525188446045,7.498851776123047,3.300525188446045,0.003620147705078125,-0.5,0.5000131130218506,0.014858245849609375,-0.2674884796142578,0.26790082454681396,0.5251228213310242,0.7704156637191772,0.0,2.0,1.5,3.0,True,,False,False,-0.2839658300712207,-0.5283393350092829,0.11292710240065339,False,,False,timeout
4,1787745315.5564294,0.2039505997672677,0.05394949950277805,18.53585314444866,0.05394949950277805,18.53585314444866,0.003950600512325764,True,False,7286520.305589699,7286520.3133495,7.759801112115383,7286520.355589699,0.0,0.008498799987137318,117.66367034328027,0.05444820038974285,1.0,4,3,-0.270111757678025,-0.4948547083906841,0.113,-0.2564796502437763,-0.46719527557892876,0.113,-0.26941439555503305,-0.49067629486646097,0.113,-0.2564796502437763,-0.46719527557892876,0.113,7286520.255589699,7286520.305589699,0.05444820038974285,0.049999999813735485,1,True,20,0,2.007630066464924,5.088803379948514,0.0004987999871373175,1,False,,False,,,,,False,False,False,,3.8475513458251953,6.060822486877441,7.566249847412109,4.253853797912598,,,4.134471416473389,True,0.188728447,0.606274056977,0,1.0,-1.0,1.4142135381698608,0.1887284517288208,-0.1887284517288208,0.2669023275375366,0.1887284517288208,-0.1887284517288208,0.2669023275375366,0.17959676682949066,-0.13869015872478485,0.22691398859024048,0.17959676682949066,-0.13869015872478485,0.22691398859024048,0.1795969009399414,-0.13868999481201172,0.22691398859024048,False,False,1.262899488210678,,,,,,,,,,,2.245199866592884,0.0852501168847084,-1.0,1.0036271810531616,0.0072402432560920715,-1.0,772.2471923828125,293.49505615234375,772.2471923828125,293.49505615234375,7.498851776123047,3.300525188446045,7.541476726531982,2.800525188446045,0.04262495040893555,-0.5,0.5018135905265808,-0.03929567337036133,-0.30914831161499023,0.31163573265075684,0.617695152759552,0.9557080268859863,0.0,2.0,1.5,3.0,True,,False,False,-0.27782540198341166,-0.513389960184355,0.11304450677015249,False,,False,timeout
5,1787745315.6057706,0.2507362999022007,0.046785700134932995,21.374052266310755,0.046785700134932995,21.374052266310755,0.0007363008335232735,False,False,7286520.355589699,7286520.3623024,6.712701171636581,7286520.405589699,0.0,0.008084399625658989,123.69502329228145,0.05257090087980032,1.0,5,4,-0.26266502436711925,-0.4814225775252516,0.113,-0.24158085688948777,-0.4450255069671165,0.113,-0.2564796502437763,-0.46719527557892876,0.113,-0.24158085688948777,-0.4450255069671165,0.113,7286520.305589699,7286520.355589699,0.05257090087980032,0.049999999813735485,1,True,26,0,2.002939786794448,6.208300674923587,8.439962565898879e-05,1,False,,True,6,0.04250769969075918,0.03535890020430088,28.281422618409522,False,False,False,,4.027148246765137,5.92213249206543,7.526813507080078,3.9618844985961914,,,4.011262893676758,True,0.188728447,0.606274056977,0,1.0,-0.06747305393218994,1.002273678779602,0.1887284517288208,-0.012734085321426392,0.18915757536888123,0.1887284517288208,-0.012734085321426392,0.18915757536888123,0.18513312935829163,-0.06232619285583496,0.19534285366535187,0.18513312935829163,-0.06232619285583496,0.19534285366535187,0.1851329803466797,-0.06232643127441406,0.1953427791595459,False,False,1.8126005306839943,,,,,,,,,,,2.5624996051192284,0.1855313777923584,-1.0,1.017065405845642,0.0852501168847084,-1.0,781.7463989257812,241.0950469970703,781.7463989257812,241.0950469970703,7.541476726531982,2.800525188446045,7.634242534637451,2.300525188446045,0.09276580810546875,-0.5,0.508532702922821,-0.03943634033203125,-0.29196929931640625,0.2946206033229828,0.5730500221252441,1.1614519357681274,0.0,2.0,1.5,3.0,True,,False,False,-0.2720751903280897,-0.49910288853204077,0.11317932719431617,False,,False,timeout
6,1787745315.652477,0.3000022005289793,0.0492659006267786,20.298015204789486,0.0492659006267786,20.298015204789486,2.201646566390991e-06,False,False,7286520.405589699,7286520.4096837,4.094000905752182,7286520.455589699,0.0,0.008004499599337578,124.92973328186015,0.050603700801730156,1.0,6,5,-0.25445610017629067,-0.46844198295109857,0.113,-0.2248395861399967,-0.4235054464938432,0.113,-0.24158085688948777,-0.4450255069671165,0.113,-0.2248395861399967,-0.4235054464938432,0.113,7286520.355589699,7286520.405589699,0.050603700801730156,0.049999999813735485,1,True,32,0,1.8710924914309635,7.2528854334121915,4.499599337577653e-06,1,False,,True,7,0.02736690081655979,0.06330289971083403,15.797064661618561,False,False,False,,4.212281227111816,5.859806060791016,7.510958671569824,3.645014524459839,,,3.9732322692871094,True,0.188728447,0.606274056977,0,1.0,-1.0,1.4142135381698608,0.1887284517288208,-0.1887284517288208,0.2669023275375366,0.1887284517288208,-0.1887284517288208,0.2669023275375366,0.18731281161308289,-0.13896070420742035,0.233229860663414,0.18731281161308289,-0.13896070420742035,0.233229860663414,0.18731260299682617,-0.1389608383178711,0.23322975635528564,False,False,1.16720050573349,,,,,,,,,,,1.5452001243829727,0.23823058605194092,-1.0,1.0279853343963623,0.1855313777923584,-1.0,793.9439086914062,188.69503784179688,793.9439086914062,188.69503784179688,7.634242534637451,2.300525188446045,7.753357887268066,1.800525188446045,0.11911535263061523,-0.5,0.5139926671981812,-0.015854835510253906,-0.31686997413635254,0.3172663748264313,0.6069639325141907,1.3501298427581787,0.0,2.0,1.5,3.0,True,,False,False,-0.26467355134666704,-0.4841162574556533,0.11313971931066787,False,,False,timeout
7,1787745315.7027228,0.35000270046293736,0.050000499933958054,19.99980002841623,0.050000499933958054,19.99980002841623,2.701766788959503e-06,False,False,7286520.455589699,7286520.4597162,4.126501269638538,7286520.505589698,0.0,0.008020400069653988,124.68205966228584,0.04864640161395073,0.972928035903454,7,6,-0.24563254566181827,-0.45587057270483783,0.113,-0.2063725461767888,-0.40194420109649914,0.113,-0.2248395861399967,-0.4235054464938432,0.113,-0.2063725461767888,-0.40194420109649914,0.113,7286520.405589699,7286520.455589699,0.04864640161395073,0.049999999813735485,1,True,38,0,1.915394169016669,8.585737057783659,2.0400069653987718e-05,1,False,,False,,,,,False,False,False,,4.399593830108643,5.7208452224731445,7.525491714477539,3.363581895828247,,,3.9150898456573486,True,0.188728447,0.606274056977,0,1.0,-0.7131631374359131,1.2282514572143555,0.1887284517288208,-0.1345941722393036,0.23180599510669708,0.1887284517288208,-0.1345941722393036,0.23180599510669708,0.18817099928855896,-0.13631343841552734,0.23235678672790527,0.18817099928855896,-0.13631343841552734,0.23235678672790527,0.1881709098815918,-0.13631343841552734,0.2323567122220993,False,False,1.9488995894789696,,,,,,,,,,,1.9160006195306778,0.289472758769989,-1.0,1.0410544872283936,0.23823058605194092,-1.0,808.7648315429688,136.2950439453125,808.7648315429688,136.2950439453125,7.753357887268066,1.800525188446045,7.898094177246094,1.300525188446045,0.14473628997802734,-0.5,0.5205272436141968,0.014533042907714844,-0.2814326286315918,0.2818076014518738,0.5391886830329895,1.5795788764953613,0.0,2.0,1.5,3.0,True,,False,False,-0.25686323844517683,-0.47138598242158747,0.11313070270660693,False,,False,timeout
8,1787745315.7605984,0.40557129960507154,0.05556859914213419,17.995774869943816,0.05556859914213419,17.995774869943816,0.005571301095187664,True,False,7286520.505589698,7286520.5168678,11.278101243078709,7286520.555589698,0.0,0.008000600151717663,124.99062333283938,0.05467870179563761,1.0,8,7,-0.2346952487482968,-0.44167712373848483,0.113,-0.18665884393800183,-0.38127140938083215,0.113,-0.2063725461767888,-0.40194420109649914,0.113,-0.18665884393800183,-0.38127140938083215,0.113,7286520.455589699,7286520.505589698,0.05467870179563761,0.049999999813735485,1,True,45,0,1.9051292333257137,9.622850615927819,6.001517176626447e-07,1,False,,True,8,0.05208219960331917,0.0640014000236988,15.624658204816054,False,False,False,,4.587764739990234,5.584531784057617,7.56422233581543,3.027536153793335,,,3.9239680767059326,True,0.188728447,0.606274056977,0,0.7903323173522949,-1.0,1.2746078968048096,0.14915819466114044,-0.1887284517288208,0.24055476486682892,0.14915819466114044,-0.1887284517288208,0.24055476486682892,0.16451850533485413,-0.1680912971496582,0.23520421981811523,0.16451850533485413,-0.1680912971496582,0.23520421981811523,0.1645183563232422,-0.1680912971496582,0.23520411550998688,False,False,1.948399469256401,,,,,,,,,,,2.2675003856420517,0.30344268679618835,-0.972551703453064,1.018790602684021,0.289472758769989,-1.0,824.301025390625,85.33332824707031,824.301025390625,85.33332824707031,7.898094177246094,1.300525188446045,8.04981517791748,0.8142493367195129,0.15172100067138672,-0.486275851726532,0.509395182132721,0.038730621337890625,-0.3360457420349121,0.33827030658721924,0.6408175230026245,1.758987545967102,0.0,2.0,1.5,3.0,True,,False,False,-0.24657090136936535,-0.4565738917816723,0.1130831640451089,False,,False,timeout
9,1787745315.8068793,0.4518314003944397,0.04626010078936815,21.616900588980723,0.04626010078936815,21.616900588980723,0.0018314020708203316,True,False,7286520.555589698,7286520.5618844,6.2947021797299385,7286520.605589698,0.0,0.008009499870240688,124.851740583142,0.05270310118794441,1.0,9,8,-0.22487928221417006,-0.42986346005534654,0.113,-0.16651706931246732,-0.3610280744988541,0.113,-0.18665884393800183,-0.38127140938083215,0.113,-0.16651706931246732,-0.3610280744988541,0.113,7286520.505589698,7286520.555589698,0.05270310118794441,0.049999999813735485,1,True,51,0,1.89054491667403,10.915146102456776,9.499870240688157e-06,1,False,,True,9,0.035455900244414806,0.08117069955915213,12.319716417760606,False,False,False,,4.752283096313477,5.416440486907959,7.6116533279418945,2.7422192096710205,,,3.915029764175415,True,0.188728447,0.606274056977,0,1.0,-1.0,1.4142135381698608,0.1887284517288208,-0.1887284517288208,0.2669023275375366,0.1887284517288208,-0.1887284517288208,0.2669023275375366,0.1791963130235672,-0.18060307204723358,0.2544185221195221,0.1791963130235672,-0.18060307204723358,0.2544185221195221,0.17919635772705078,-0.18060302734375,0.2544185221195221,False,False,1.147400587797165,,,,,,,,,,,1.7416002228856087,0.33618736267089844,-0.826842188835144,0.8925749063491821,0.30344268679618835,-0.972551703453064,841.5138549804688,52.400001525878906,841.5138549804688,42.006797790527344,8.04981517791748,0.8142493367195129,8.21790885925293,0.5,0.16809368133544922,-0.31424933671951294,0.35638201236724854,0.047430992126464844,-0.28531694412231445,0.2892325520515442,0.5624213218688965,1.9771326780319214,0.0,2.0,1.5,3.0,True,,True,False,-0.23715133662681473,-0.444243554794106,0.11315988744038424,False,,False,timeout
