step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,virtual_hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,virtual_hand_action_x,virtual_hand_action_y,virtual_hand_action_norm,virtual_hand_command_dx_cm,virtual_hand_command_dy_cm,virtual_hand_command_norm_cm,virtual_hand_delayed_dx_cm,virtual_hand_delayed_dy_cm,virtual_hand_delayed_norm_cm,virtual_hand_smoothed_dx_cm,virtual_hand_smoothed_dy_cm,virtual_hand_smoothed_norm_cm,virtual_hand_exec_dx_cm,virtual_hand_exec_dy_cm,virtual_hand_exec_norm_cm,virtual_hand_actual_dx_cm,virtual_hand_actual_dy_cm,virtual_hand_actual_norm_cm,virtual_hand_accel_clipped,virtual_hand_workspace_clipped,virtual_hand_policy_inference_ms,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1787640216.4703739,2.998858690261841e-07,,,False,,,,,False,False,False,,3.011512279510498,4.666153430938721,7.4991044998168945,5.000094890594482,,,4.5,True,0.202364325,0.803824171214,3,1.0,1.0,1.4142135381698608,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,4.026900045573711,1.021900214254856,0.0,0.0,0.0,0.0,0.0,767.9083251953125,524.0099487304688,767.9083251953125,524.0099487304688,False,False,-0.22711423723175894,-0.5227217642667472,0.11297715713339376,False,,False,caught
1,1787640216.5250385,0.05881179962307215,0.05881149973720312,17.00347728706904,True,1,0.01882639992982149,,,False,False,False,,3.011512279510498,4.666153430938721,7.498807430267334,5.0001397132873535,,,4.499707221984863,True,0.202364325,0.803824171214,3,1.0,1.0,1.4142135381698608,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1.8857000395655632,0.9790994226932526,0.0,0.0,0.0,0.0,0.0,767.8778686523438,524.0146484375,767.8778686523438,524.0146484375,False,False,-0.22712681593720888,-0.5227151042803808,0.11297849865188501,False,,False,caught
2,1787640216.5872185,0.11987989954650402,0.06106809992343187,16.375161520561726,True,3,0.01390410028398037,0.034679300151765347,28.835645345314013,False,False,False,,3.011512279510498,4.666153430938721,7.49669885635376,5.00033712387085,,,4.497619152069092,True,0.202364325,0.803824171214,3,1.0,0.5407731533050537,1.1368534564971924,0.20236432552337646,0.10943319648504257,0.23005856573581696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,2.884100191295147,0.9016003459692001,0.0,0.0,0.0,0.0,0.0,767.6619873046875,524.0353393554688,767.6619873046875,524.0353393554688,False,False,-0.22721276949849822,-0.5226626427739294,0.11298373849741324,False,,False,caught
3,1787640216.647222,0.18102480005472898,0.061144900508224964,16.354593624131976,True,4,0.03487460035830736,0.03154949937015772,31.696224027753914,False,False,False,,3.011512279510498,4.666153430938721,7.495156288146973,5.000319957733154,,,4.496079444885254,True,0.202364325,0.803824171214,3,1.0,1.0,1.4142135381698608,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.16266533732414246,0.16266533732414246,0.23004353046417236,0.16266533732414246,0.16266533732414246,0.23004353046417236,0.16266536712646484,0.16266536712646484,0.23004357516765594,False,False,1.5011997893452644,0.9239008650183678,0.0,0.0,0.0,0.0,0.0,767.5040283203125,524.0335693359375,767.5040283203125,524.0335693359375,False,False,-0.22727089170095804,-0.5226174426317999,0.1129734091362681,False,,False,caught
4,1787640216.7076952,0.2419998999685049,0.06097509991377592,16.400137128337416,True,5,0.016315700486302376,0.03992670029401779,25.045896421093175,False,False,False,,3.174177646636963,4.8288187980651855,7.494509220123291,5.000340461730957,,,4.323734760284424,True,0.202364325,0.803824171214,3,1.0,0.130695641040802,1.0085045099258423,0.20236432552337646,0.02644813433289528,0.2040853351354599,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.19457635283470154,0.19457635283470154,0.27517253160476685,0.19457635283470154,0.19457635283470154,0.27517253160476685,0.19457626342773438,0.19457626342773438,0.2751723825931549,False,False,1.5241000801324844,0.9266994893550873,0.5,0.0,0.5,0.0,0.0,798.1577758789062,524.0357055664062,798.1577758789062,524.0357055664062,False,False,-0.22729607472415622,-0.5225997135585072,0.11297306111829786,False,,False,caught
5,1787640216.769698,0.3034703992307186,0.06147049926221371,16.267966130132056,True,6,0.013710199855268002,0.07953719981014729,12.572733291930914,False,False,False,,3.3687539100646973,5.02339506149292,7.493546962738037,4.999951362609863,,,4.124859809875488,True,0.202364325,0.803824171214,3,1.0,0.6230800747871399,1.1782312393188477,0.20236432552337646,0.1260891854763031,0.23843196034431458,0.20236432552337646,0.10943319648504257,0.23005856573581696,0.20083649456501007,0.12613621354103088,0.23716163635253906,0.20083649456501007,0.12613621354103088,0.23716163635253906,0.2008364200592041,0.12613630294799805,0.23716162145137787,False,False,1.5599997714161873,0.9782994166016579,1.0,0.0,1.0,0.5,0.0,828.7791748046875,523.9949340820312,828.7791748046875,523.9949340820312,False,False,-0.22732120133054035,-0.5225556190130272,0.1129541541363487,False,,False,caught
6,1787640216.831581,0.3654021993279457,0.0619318000972271,16.146793705819857,True,7,0.00968529935926199,0.06407580059021711,15.606515888818668,False,False,False,,3.5695903301239014,5.149531364440918,7.572237968444824,5.001201152801514,,,4.00539493560791,True,0.202364325,0.803824171214,3,1.0,-0.4613040089607239,1.1012725830078125,0.20236432552337646,-0.09335147589445114,0.2228582799434662,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.20206458866596222,0.18741023540496826,0.27559515833854675,0.20206458866596222,0.18741023540496826,0.27559515833854675,0.20206451416015625,0.1874103546142578,0.27559518814086914,False,False,1.4922991394996643,0.9339004755020142,1.0,-1.0,1.4142135381698608,1.0,0.0,836.8372192382812,461.24591064453125,836.8372192382812,461.24591064453125,False,False,-0.2243667747850411,-0.5248763388225517,0.11301873175398189,False,,False,caught
7,1787640216.8916273,0.4263652991503477,0.060963099822402,16.40336536221427,False,,,,,False,False,False,,3.7716548442840576,5.336941719055176,7.778838634490967,4.999568939208984,,,4.021360874176025,True,0.202364325,0.803824171214,3,1.0,0.6518877744674683,1.1937159299850464,0.20236432552337646,0.13191883265972137,0.2415655106306076,0.20236432552337646,0.02644813433289528,0.2040853351354599,0.20230551064014435,0.05802503228187561,0.21046240627765656,0.20230551064014435,0.05802503228187561,0.21046240627765656,0.20230555534362793,0.05802488327026367,0.21046240627765656,False,False,2.09950003772974,1.1034999042749405,1.0,-0.5,1.1180340051651,1.0,-1.0,857.9931030273438,492.5148010253906,857.9931030273438,492.5148010253906,False,False,-0.2164555291126353,-0.5307699539414448,0.11308929249814771,False,,False,caught
8,1787640216.9546928,0.48736289981752634,0.06099760066717863,16.394087456919866,True,8,0.05369450058788061,0.06595829967409372,15.16109428140349,False,False,False,,3.9739603996276855,5.3949666023254395,7.952286720275879,4.839901447296143,,,4.016861438751221,True,0.202364325,0.803824171214,3,1.0,-0.42028337717056274,1.084729552268982,0.20236432552337646,-0.08505035936832428,0.21951055526733398,0.20236432552337646,0.1260891854763031,0.23843196034431458,0.20235279202461243,0.11273661255836487,0.2316380739212036,0.20235279202461243,0.11273661255836487,0.2316380739212036,0.20235300064086914,0.11273670196533203,0.23163829743862152,False,False,2.0781997591257095,0.9522996842861176,1.0,-1.0,1.4142135381698608,1.0,-0.5,875.754150390625,444.3417053222656,875.754150390625,444.3417053222656,False,False,-0.20510416639121948,-0.5290579974508649,0.11282079344574994,False,,False,caught
9,1787640217.0161152,0.5488826995715499,0.06151979975402355,16.25492937230501,True,9,0.05209270026534796,0.07818800024688244,12.789686356505488,False,False,False,,4.176313400268555,5.5077033042907715,8.13127613067627,4.6862053871154785,,,4.039379596710205,True,0.202364325,0.803824171214,3,1.0,-0.30788126587867737,1.0463225841522217,0.20236432552337646,-0.06230418384075165,0.21173834800720215,0.20236432552337646,-0.09335147589445114,0.2228582799434662,0.20236210525035858,-0.05292195826768875,0.20916776359081268,0.20236210525035858,-0.052921950817108154,0.20916776359081268,0.202362060546875,-0.05292177200317383,0.20916767418384552,False,False,2.399500459432602,0.9455997496843338,1.0,-0.5,1.1180340051651,1.0,-1.0,894.0827026367188,459.67431640625,894.0827026367188,459.67431640625,False,False,-0.19366974618147306,-0.5277517787064645,0.11298496615330171,False,,False,caught
