step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,virtual_hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,virtual_hand_action_x,virtual_hand_action_y,virtual_hand_action_norm,virtual_hand_command_dx_cm,virtual_hand_command_dy_cm,virtual_hand_command_norm_cm,virtual_hand_delayed_dx_cm,virtual_hand_delayed_dy_cm,virtual_hand_delayed_norm_cm,virtual_hand_smoothed_dx_cm,virtual_hand_smoothed_dy_cm,virtual_hand_smoothed_norm_cm,virtual_hand_exec_dx_cm,virtual_hand_exec_dy_cm,virtual_hand_exec_norm_cm,virtual_hand_actual_dx_cm,virtual_hand_actual_dy_cm,virtual_hand_actual_norm_cm,virtual_hand_accel_clipped,virtual_hand_workspace_clipped,virtual_hand_policy_inference_ms,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1787640636.7344806,2.998858690261841e-07,,,False,,,,,False,False,False,,3.012864112854004,4.6662983894348145,7.5004563331604,5.000239849090576,,,4.5,True,0.202364325,0.803824171214,3,1.0,1.0,1.4142135381698608,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1.1664004996418953,2.4939002469182014,0.2707406282424927,-0.41067638993263245,0.4918898046016693,0.0,0.0,784.6810302734375,498.2017517089844,784.6810302734375,498.2017517089844,False,False,-0.22706712844473056,-0.5227668016465519,0.11299425046163782,False,,False,caught
1,1787640636.793561,0.05812209937721491,0.05812179949134588,17.20524843951014,True,1,0.03013989981263876,,,False,False,False,,3.012864112854004,4.6662983894348145,7.52014684677124,4.965327262878418,,,4.517190933227539,True,0.202364325,0.803824171214,3,1.0,1.0,1.4142135381698608,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1.434500329196453,2.067999914288521,-0.24695301055908203,-1.0,1.0300416946411133,0.2707406282424927,-0.41067638993263245,754.8902587890625,457.486328125,754.8902587890625,457.486328125,False,False,-0.22529062252279264,-0.5218641820483882,0.1130036474711893,False,,False,caught
2,1787640636.8559837,0.11955069936811924,0.06142859999090433,16.279062198195447,True,2,0.04724089987576008,0.0287408996373415,34.79362207231516,False,False,False,,3.012864112854004,4.6662983894348145,7.592679500579834,4.852468967437744,,,4.583597660064697,True,0.202364325,0.803824171214,3,1.0,0.41550886631011963,1.0828884840011597,0.20236432552337646,0.0840841680765152,0.2191380113363266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1.8786005675792694,2.315100282430649,-0.16379114985466003,-1.0,1.0133249759674072,-0.24695301055908203,-1.0,767.4270629882812,445.65875244140625,767.4270629882812,445.65875244140625,False,False,-0.2192000633004603,-0.519197626022599,0.11303731135853276,False,,False,caught
3,1787640636.9159122,0.1805002996698022,0.06094960030168295,16.406998488099813,True,3,0.04159360006451607,0.04432250000536442,22.561904221985866,False,False,False,,3.012864112854004,4.6662983894348145,7.5503315925598145,4.6949896812438965,,,4.537558555603027,True,0.202364325,0.803824171214,3,1.0,0.9494514465332031,1.3789336681365967,0.20236432552337646,0.19213509559631348,0.2790469527244568,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.16266533732414246,0.16266533732414246,0.23004353046417236,0.16266533732414246,0.16266533732414246,0.23004353046417236,0.16266536712646484,0.16266536712646484,0.23004357516765594,False,False,1.6237003728747368,1.9207000732421875,-0.1246340200304985,-1.0,1.0077369213104248,-0.16379114985466003,-1.0,765.4963989257812,429.1549377441406,765.4963989257812,429.1549377441406,False,False,-0.21615630213560874,-0.5113210278506022,0.1128779026538619,False,,False,caught
4,1787640636.9762862,0.24190269969403744,0.06140240002423525,16.28600835806588,True,4,0.041889400221407413,0.06659880001097918,15.015285558225441,False,False,False,,3.1755294799804688,4.828963756561279,7.486815452575684,4.480251789093018,,,4.3253655433654785,True,0.202364325,0.803824171214,3,1.0,-0.136796236038208,1.0093132257461548,0.20236432552337646,-0.027682678773999214,0.20424897968769073,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.19457635283470154,0.19457635283470154,0.27517253160476685,0.19457635283470154,0.19457635283470154,0.27517253160476685,0.19457626342773438,0.19457626342773438,0.2751723825931549,False,False,1.1285999789834023,1.6099000349640846,-0.03435342758893967,-1.0,1.0005899667739868,-0.1246340200304985,-1.0,764.5391845703125,406.650390625,764.5391845703125,406.650390625,False,False,-0.21221468771708124,-0.5003834208749205,0.11285497798725458,False,,False,caught
5,1787640637.0372753,0.3028833996504545,0.060980699956417084,16.398631054000695,True,5,0.022918500006198883,0.061103600077331066,16.36564782982389,False,False,False,,3.370105743408203,5.023540019989014,7.479031085968018,4.321133136749268,,,4.168529987335205,True,0.202364325,0.803824171214,3,1.0,0.24797409772872925,1.0302869081497192,0.20236432552337646,0.050181109458208084,0.20849332213401794,0.20236432552337646,0.0840841680765152,0.2191380113363266,0.20083649456501007,0.10576005280017853,0.2269812375307083,0.20083649456501007,0.10576005280017853,0.2269812375307083,0.2008364200592041,0.10576009750366211,0.22698120772838593,False,False,1.169600524008274,1.5931995585560799,0.019781358540058136,-0.9866475462913513,0.9868457913398743,-0.03435342758893967,-1.0,767.0681762695312,390.8143615722656,767.0681762695312,390.8143615722656,False,False,-0.2077812293491766,-0.49338933784277494,0.1128037707705785,False,,False,caught
6,1787640637.088659,0.35425909981131554,0.051375700160861015,19.464454924583567,True,6,0.011358600109815598,0.07995530031621456,12.506988230237498,False,False,False,,3.5709421634674072,5.129300117492676,7.475525856018066,4.159597396850586,,,4.023194789886475,True,0.202364325,0.803824171214,3,1.0,-0.912338376045227,1.3536474704742432,0.20236432552337646,-0.18462474644184113,0.2739299535751343,0.20236432552337646,0.19213509559631348,0.2790469527244568,0.20206458866596222,0.17519040405750275,0.26743555068969727,0.20206458866596222,0.17519040405750275,0.26743555068969727,0.20206451416015625,0.17519044876098633,0.2674355208873749,False,False,1.126900315284729,1.6120998188853264,0.09017793089151382,-1.0,1.004057765007019,0.019781358540058136,-0.9866475462913513,771.0343627929688,373.04583740234375,771.0343627929688,373.04583740234375,False,False,-0.20309916921217488,-0.48639632292540314,0.11287280951305582,False,,False,caught
7,1787640637.144021,0.41016760002821684,0.0559085002169013,17.8863678353099,True,7,0.0024574007838964462,0.062937599606812,15.888753404121974,False,False,False,,3.7730066776275635,5.304490566253662,7.47617244720459,3.9898321628570557,,,3.929600954055786,True,0.202364325,0.803824171214,3,1.0,0.09254597127437592,1.0042731761932373,0.20236432552337646,0.018728002905845642,0.20322908461093903,0.20236432552337646,-0.027682678773999214,0.20424897968769073,0.20230551064014435,0.012116124853491783,0.2026679962873459,0.20230551064014435,0.012116119265556335,0.2026679962873459,0.20230555534362793,0.012115955352783203,0.20266804099082947,False,False,1.225300133228302,1.6195997595787048,0.13785046339035034,-1.0,1.0094566345214844,0.09017793089151382,-1.0,774.029541015625,355.25439453125,774.029541015625,355.25439453125,False,False,-0.19799779272962997,-0.47915077329351524,0.11284839693180353,False,,False,caught
8,1787640637.2071767,0.47177999932318926,0.06161239929497242,16.230499241109737,False,,,,,False,False,False,,3.9753122329711914,5.316606521606445,7.489108562469482,3.828866481781006,,,3.815774440765381,True,0.202364325,0.803824171214,3,1.0,-0.9714676141738892,1.3941841125488281,0.20236432552337646,-0.196590393781662,0.2821331322193146,0.20236432552337646,0.050181109458208084,0.20849332213401794,0.20235279202461243,0.04271364584565163,0.20681177079677582,0.20235279202461243,0.04271364584565163,0.20681177079677582,0.20235300064086914,0.04271364212036133,0.20681196451187134,False,False,1.6818000003695488,2.5655003264546394,0.23342567682266235,-1.0,1.0268824100494385,0.13785046339035034,-1.0,781.2263793945312,338.38519287109375,781.2263793945312,338.38519287109375,False,False,-0.19267167381444367,-0.47261669384004235,0.11290551199342455,False,,False,caught
9,1787640637.2686465,0.5332026993855834,0.06142270006239414,16.280625875843693,True,8,0.045585899613797665,0.06480740010738373,15.430336633517669,False,False,False,,4.1776652336120605,5.359320163726807,7.518712043762207,3.6363582611083984,,,3.7591476440429688,True,0.202364325,0.803824171214,3,1.0,-0.862808346748352,1.3207718133926392,0.20236432552337646,-0.17460162937641144,0.2672770917415619,0.20236432552337646,-0.18462474644184113,0.2739299535751343,0.20236210525035858,-0.14002645015716553,0.2460850030183792,0.20236210525035858,-0.14002645015716553,0.2460850030183792,0.202362060546875,-0.14002656936645508,0.2460850328207016,False,False,1.5341006219387054,1.8966998904943466,0.30501094460487366,-1.0,1.045481562614441,0.23342567682266235,-1.0,788.656005859375,318.2103576660156,788.656005859375,318.2103576660156,False,False,-0.18573495401974688,-0.4651853728142774,0.112892792678896,False,,False,caught
