step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,virtual_hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,virtual_hand_action_x,virtual_hand_action_y,virtual_hand_action_norm,virtual_hand_command_dx_cm,virtual_hand_command_dy_cm,virtual_hand_command_norm_cm,virtual_hand_delayed_dx_cm,virtual_hand_delayed_dy_cm,virtual_hand_delayed_norm_cm,virtual_hand_smoothed_dx_cm,virtual_hand_smoothed_dy_cm,virtual_hand_smoothed_norm_cm,virtual_hand_exec_dx_cm,virtual_hand_exec_dy_cm,virtual_hand_exec_norm_cm,virtual_hand_actual_dx_cm,virtual_hand_actual_dy_cm,virtual_hand_actual_norm_cm,virtual_hand_accel_clipped,virtual_hand_workspace_clipped,virtual_hand_policy_inference_ms,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1787640424.5077133,2.998858690261841e-07,,,False,,,,,False,False,False,,9.024036407470703,0.7664017677307129,7.499638080596924,5.00033712387085,,,4.5,True,0.261000585,0.730207180583,0,-1.0,1.0,1.4142135381698608,-0.2610005736351013,0.2610005736351013,0.3691105544567108,-0.2610005736351013,0.2610005736351013,0.3691105544567108,-0.19058449566364288,0.19058449566364288,0.2695271670818329,-0.19058449566364288,0.19058449566364288,0.2695271670818329,-0.1905841827392578,0.1905844807624817,0.2695269286632538,False,False,2.0268000662326813,2.5101006031036377,-0.09875097125768661,-0.001889985054731369,0.09876905381679535,0.0,0.0,761.8956909179688,523.91650390625,761.8956909179688,523.91650390625,False,False,-0.22710108211620023,-0.5227473218112498,0.11298284995776668,False,,False,caught
1,1787640424.5658083,0.05826800037175417,0.05826770048588514,17.162166889394264,True,1,0.02978720050305128,,,False,False,False,,8.833452224731445,0.9569862484931946,7.488949298858643,4.99748420715332,,,4.258322238922119,True,0.261000585,0.730207180583,0,-1.0,1.0,1.4142135381698608,-0.2610005736351013,0.2610005736351013,0.3691105544567108,-0.2610005736351013,0.2610005736351013,0.3691105544567108,-0.24200274050235748,0.24200281500816345,0.34224361181259155,-0.24200274050235748,0.24200281500816345,0.34224361181259155,-0.2420024871826172,0.24200278520584106,0.34224340319633484,False,False,1.7232000827789307,2.2419998422265053,-1.0,-0.029475968331098557,1.0004342794418335,-0.09875097125768661,-0.001889985054731369,705.4284057617188,521.8829345703125,705.4284057617188,521.8829345703125,False,False,-0.22742329791331878,-0.5223192381244603,0.11298243524283863,False,,False,caught
2,1787640424.6292708,0.11969750002026558,0.06142949964851141,16.278823785344514,True,2,0.051919699646532536,0.02926630061119795,34.168992292021265,False,False,False,,8.591449737548828,1.1989890336990356,7.461207866668701,4.993173122406006,,,3.958949327468872,True,0.261000585,0.730207180583,0,-1.0,1.0,1.4142135381698608,-0.2610005736351013,0.2610005736351013,0.3691105544567108,-0.2610005736351013,0.2610005736351013,0.3691105544567108,-0.25587502121925354,0.2558751106262207,0.3618620038032532,-0.25587502121925354,0.2558751106262207,0.3618620038032532,-0.2558746337890625,0.2558751106262207,0.3618617057800293,False,False,2.0217997953295708,2.711700275540352,-1.0,0.7587385177612305,1.2552624940872192,-1.0,-0.029475968331098557,702.5877075195312,570.9940185546875,702.5877075195312,570.9940185546875,False,False,-0.2283505079333653,-0.52133852092961,0.11295455366763311,False,,False,caught
3,1787640424.6892934,0.18072590045630932,0.06102840043604374,16.38581370075356,True,3,0.04807609971612692,0.03927120007574558,25.463953178696297,False,False,False,,8.335575103759766,1.4548641443252563,7.303576946258545,4.986147880554199,,,3.678992509841919,True,0.261000585,0.730207180583,0,-1.0,1.0,1.4142135381698608,-0.2610005736351013,0.2610005736351013,0.3691105544567108,-0.2610005736351013,0.2610005736351013,0.3691105544567108,-0.2596176266670227,0.25961777567863464,0.3671548664569855,-0.2596176266670227,0.25961777567863464,0.3671548664569855,-0.25961780548095703,0.25961780548095703,0.3671550154685974,False,False,1.6176002100110054,1.9156001508235931,-1.0,1.0,1.4142135381698608,-1.0,0.7587385177612305,686.4462890625,585.4282836914062,686.4462890625,585.4282836914062,False,False,-0.23412907438364167,-0.5165049502995219,0.11295272453403223,False,,False,caught
4,1787640424.7488408,0.24228510074317455,0.061559200286865234,16.244525519175205,True,4,0.045498200692236423,0.06487239990383387,15.414875994758773,False,False,False,,8.075957298278809,1.7144819498062134,7.072574138641357,5.123786449432373,,,3.5538902282714844,True,0.261000585,0.730207180583,0,-1.0,1.0,1.4142135381698608,-0.2610005736351013,0.2610005736351013,0.3691105544567108,-0.2610005736351013,0.2610005736351013,0.3691105544567108,-0.26062750816345215,0.26062750816345215,0.36858296394348145,-0.26062750816345215,0.26062750816345215,0.36858296394348145,-0.26062774658203125,0.26062750816345215,0.36858314275741577,False,False,1.2707002460956573,1.726500689983368,-1.0,1.0,1.4142135381698608,-1.0,1.0,662.7916259765625,599.8528442382812,662.7916259765625,599.8528442382812,False,False,-0.24690563823627687,-0.5156587728269005,0.11306659337941363,False,,False,caught
5,1787640424.8103843,0.3038031002506614,0.06151799950748682,16.255405052277403,True,5,0.027582500129938126,0.06414369959384203,15.589995686747116,False,False,False,,7.815329551696777,1.9751094579696655,6.923908710479736,5.315767765045166,,,3.4575464725494385,False,0.261000585,0.730207180583,0,-1.0,1.0,1.4142135381698608,-0.2610005736351013,0.2610005736351013,0.3691105544567108,-0.2610005736351013,0.2610005736351013,0.3691105544567108,-0.26089999079704285,0.26089993119239807,0.36896824836730957,-0.26089999079704285,0.26089993119239807,0.36896824836730957,-0.26090002059936523,0.2608999013900757,0.36896824836730957,False,False,1.2767994776368141,1.5745004639029503,-1.0,1.0,1.4142135381698608,-1.0,1.0,647.5682373046875,619.9724731445312,647.5682373046875,619.9724731445312,False,False,-0.25810068111764034,-0.519453238595911,0.11293222699055977,False,,False,caught
6,1787640424.8613114,0.354734200052917,0.05093109980225563,19.634368860727253,True,6,0.01529889926314354,0.07943450007587671,12.588988399811026,False,False,False,,7.554429531097412,2.236009359359741,6.763768672943115,5.478200912475586,,,3.337207078933716,False,0.261000585,0.730207180583,0,-0.8348539471626282,1.0,1.3026822805404663,-0.21789735555648804,0.2610005736351013,0.34000080823898315,-0.21789735555648804,0.2610005736351013,0.34000080823898315,-0.22949916124343872,0.26097342371940613,0.3475298583507538,-0.22949916124343872,0.26097342371940613,0.3475298583507538,-0.22949934005737305,0.2609734535217285,0.34752997756004333,False,False,1.2028003111481667,1.8274998292326927,-1.0,1.0,1.4142135381698608,-1.0,1.0,631.169921875,636.9954833984375,631.169921875,636.9954833984375,False,False,-0.2688224930605285,-0.5216672276151995,0.1130171565308575,False,,False,caught
7,1787640424.9177203,0.4111899007111788,0.056455700658261776,17.713003086317364,True,7,0.007408699952065945,0.06321510020643473,15.819005217652238,False,False,False,,7.324930191040039,2.4969828128814697,6.59508752822876,5.631658554077148,,,3.2185184955596924,False,0.261000585,0.730207180583,0,0.0641821026802063,1.0,1.0020575523376465,0.016751565039157867,0.2610005736351013,0.2615376114845276,0.016751565039157867,0.2610005736351013,0.2615376114845276,-0.04968516156077385,0.26099327206611633,0.2656804621219635,-0.04968516528606415,0.26099327206611633,0.2656804621219635,-0.049685001373291016,0.26099324226379395,0.2656804025173187,False,False,1.1910004541277885,1.5671998262405396,-1.0,1.0,1.4142135381698608,-1.0,1.0,613.8970336914062,653.0777587890625,613.8970336914062,653.0777587890625,False,False,-0.27956142248120974,-0.5232539252978256,0.11295075625592656,False,,False,caught
8,1787640424.9787323,0.4721905002370477,0.06100059952586889,16.39328150497806,False,,,,,False,False,False,,7.275245189666748,2.7579760551452637,6.436809539794922,5.793268203735352,,,3.148963689804077,False,0.261000585,0.730207180583,0,-1.0,1.0,1.4142135381698608,-0.2610005736351013,0.2610005736351013,0.3691105544567108,-0.2610005736351013,0.2610005736351013,0.3691105544567108,-0.2039891481399536,0.26099860668182373,0.33125796914100647,-0.2039891481399536,0.26099860668182373,0.33125796914100647,-0.20398902893066406,0.2609987258911133,0.33125799894332886,False,False,1.6620997339487076,2.278500236570835,-1.0,1.0,1.4142135381698608,-1.0,1.0,597.6893310546875,670.0145263671875,597.6893310546875,670.0145263671875,False,False,-0.2901010972041297,-0.5254696718872945,0.11294436791358638,False,,False,caught
9,1787640425.0423286,0.5337586002424359,0.06156810000538826,16.242177359906883,True,8,0.04616239946335554,0.06434519961476326,15.541174881530115,False,False,False,,7.071256160736084,3.018974781036377,6.24662446975708,5.985569953918457,,,3.079075336456299,False,0.261000585,0.730207180583,0,-0.09914658963680267,1.0,1.004902958869934,-0.025877317413687706,0.2610005736351013,0.26228025555610657,-0.025877317413687706,0.2610005736351013,0.26228025555610657,-0.07393057644367218,0.2610000967979431,0.2712688446044922,-0.07393057644367218,0.2610000967979431,0.2712688446044922,-0.07393074035644531,0.2610001564025879,0.27126893401145935,False,False,2.0930003374814987,2.1417001262307167,-0.9272893071174622,1.0,1.3637688159942627,-1.0,1.0,582.6817016601562,690.167724609375,582.6817016601562,690.167724609375,False,False,-0.30265426408586216,-0.5280417460475247,0.1129593275828276,False,,False,caught
