epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,306.126,0.85886,0.65095,0.81846,0.05672,0.5,0.03623,0.02944,1.13078,16.3447,0.9422,0.00099314,0.00099314,0.00099314
44,313.502,0.94342,0.69383,0.7936,0.16571,0.5,0.09703,0.07516,1.079,10.3568,0.85455,0.000999282,0.000999282,0.000999282
45,320.655,0.82589,0.73439,0.85887,0.16571,0.5,0.09703,0.07516,1.079,10.3568,0.85455,0.00100463,0.00100463,0.00100463
46,327.8,0.8044,0.69627,0.83545,0.59363,0.5,0.56281,0.41457,1.07201,3.56905,0.89413,0.00100919,0.00100919,0.00100919
47,334.906,0.84246,0.59796,0.85749,0.59363,0.5,0.56281,0.41457,1.07201,3.56905,0.89413,0.00101296,0.00101296,0.00101296
48,341.975,0.8676,0.73775,0.84983,0.96258,0.5,0.51726,0.38534,1.05525,2.60781,0.89639,0.00101593,0.00101593,0.00101593
49,349.129,0.98471,0.66098,0.85604,0.96258,0.5,0.51726,0.38534,1.05525,2.60781,0.89639,0.00101811,0.00101811,0.00101811
50,356.222,0.96006,0.61766,0.86646,0.11119,0.2,0.08623,0.06642,1.078,8.21321,0.8821,0.0010195,0.0010195,0.0010195
51,363.28,0.65841,0.50677,0.88471,0.11119,0.2,0.08623,0.06642,1.078,8.21321,0.8821,0.00101,0.00101,0.00101
52,370.411,0.81859,0.52818,0.78793,1,0.57831,0.59823,0.42843,1.17717,2.09515,0.88595,0.0009902,0.0009902,0.0009902
53,377.627,0.91043,0.63767,0.86679,1,0.57831,0.59823,0.42843,1.17717,2.09515,0.88595,0.0009704,0.0009704,0.0009704
54,384.867,0.80742,0.58338,0.85972,0.97916,0.5,0.60647,0.44996,1.11572,1.50947,0.87268,0.0009506,0.0009506,0.0009506
55,391.939,0.91609,0.51886,0.82916,0.97916,0.5,0.60647,0.44996,1.11572,1.50947,0.87268,0.0009308,0.0009308,0.0009308
56,399.123,0.8757,0.55502,0.81632,0.98398,0.6,0.68252,0.53717,1.04807,1.40167,0.86064,0.000911,0.000911,0.000911
57,406.323,0.86932,0.67292,0.87018,0.98398,0.6,0.68252,0.53717,1.04807,1.40167,0.86064,0.0008912,0.0008912,0.0008912
58,413.407,0.894,0.77407,0.86399,0.92724,0.9,0.9018,0.67769,0.94331,1.06856,0.85028,0.0008714,0.0008714,0.0008714
59,420.426,0.9412,0.56598,0.8634,0.92724,0.9,0.9018,0.67769,0.94331,1.06856,0.85028,0.0008516,0.0008516,0.0008516
60,427.432,0.83615,0.52289,0.85153,0.89427,0.9,0.92948,0.69838,1.02381,1.71767,0.89476,0.0008318,0.0008318,0.0008318
61,434.405,0.93797,0.57517,0.84048,0.89427,0.9,0.92948,0.69838,1.02381,1.71767,0.89476,0.000812,0.000812,0.000812
62,441.501,0.87171,0.58166,0.8436,0.93337,0.9,0.93667,0.72672,1.01506,1.70831,0.88853,0.0007922,0.0007922,0.0007922
63,448.505,0.88111,0.52263,0.83853,0.93337,0.9,0.93667,0.72672,1.01506,1.70831,0.88853,0.0007724,0.0007724,0.0007724
64,455.466,1.00602,0.60162,0.82699,1,0.87932,0.93667,0.69879,1.06482,0.99468,0.8685,0.0007526,0.0007526,0.0007526
65,462.383,0.87838,0.5273,0.82664,1,0.87932,0.93667,0.69879,1.06482,0.99468,0.8685,0.0007328,0.0007328,0.0007328
66,469.295,0.73696,0.5856,0.81822,0.97887,0.8,0.88573,0.65315,1.04543,0.75988,0.85309,0.000713,0.000713,0.000713
67,476.313,0.85566,0.51797,0.86098,0.97887,0.8,0.88573,0.65315,1.04543,0.75988,0.85309,0.0006932,0.0006932,0.0006932
68,483.29,0.90407,0.51457,0.81371,0.9786,0.8,0.89128,0.65856,1.00179,0.74773,0.85623,0.0006734,0.0006734,0.0006734
69,490.176,0.82505,0.51593,0.88503,0.9786,0.8,0.89128,0.65856,1.00179,0.74773,0.85623,0.0006536,0.0006536,0.0006536
70,497.123,0.79444,0.51633,0.85685,1,0.79614,0.93262,0.73083,1.00196,0.69118,0.87993,0.0006338,0.0006338,0.0006338
71,504.352,0.98565,0.57135,0.86224,1,0.79614,0.93262,0.73083,1.00196,0.69118,0.87993,0.000614,0.000614,0.000614
72,511.391,0.7848,0.49686,0.80191,0.92582,0.9,0.98591,0.73323,1.00066,0.59003,0.88495,0.0005942,0.0005942,0.0005942
73,518.338,0.77633,0.47373,0.81742,0.92582,0.9,0.98591,0.73323,1.00066,0.59003,0.88495,0.0005744,0.0005744,0.0005744
74,525.274,0.79967,0.47637,0.78866,0.95947,0.9,0.97833,0.70261,1.04666,0.64847,0.87095,0.0005546,0.0005546,0.0005546
75,532.215,0.59326,0.43397,0.793,0.95947,0.9,0.97833,0.70261,1.04666,0.64847,0.87095,0.0005348,0.0005348,0.0005348
76,539.166,0.71842,0.47119,0.78773,1,0.89944,0.97192,0.67434,1.09584,0.67856,0.86221,0.000515,0.000515,0.000515
77,545.961,0.75039,0.48065,0.80983,1,0.89944,0.97192,0.67434,1.09584,0.67856,0.86221,0.0004952,0.0004952,0.0004952
78,552.814,0.65616,0.44797,0.827,0.99374,0.9,0.96643,0.67508,1.1199,0.71151,0.8624,0.0004754,0.0004754,0.0004754
79,559.81,0.81585,0.47009,0.79657,0.99374,0.9,0.96643,0.67508,1.1199,0.71151,0.8624,0.0004556,0.0004556,0.0004556
80,567.201,0.76112,0.45962,0.82441,0.98426,0.9,0.95382,0.68281,1.11814,0.72952,0.86169,0.0004358,0.0004358,0.0004358
81,574.244,0.628,0.40661,0.78646,0.98426,0.9,0.95382,0.68281,1.11814,0.72952,0.86169,0.000416,0.000416,0.000416
82,581.375,0.68344,0.38316,0.8193,1,0.8943,0.945,0.68028,1.07531,0.72058,0.85713,0.0003962,0.0003962,0.0003962
83,588.994,0.63083,0.39821,0.80796,1,0.8943,0.945,0.68028,1.07531,0.72058,0.85713,0.0003764,0.0003764,0.0003764
84,596.224,0.59839,0.36128,0.83535,0.99189,0.8,0.92227,0.68401,1.01397,0.71959,0.84455,0.0003566,0.0003566,0.0003566
85,603.979,0.58989,0.35938,0.84019,0.99189,0.8,0.92227,0.68401,1.01397,0.71959,0.84455,0.0003368,0.0003368,0.0003368
86,611.15,0.6279,0.37195,0.85403,1,0.78778,0.91545,0.69311,0.99874,0.73349,0.83376,0.000317,0.000317,0.000317
87,618.136,0.59134,0.37195,0.77765,1,0.78778,0.91545,0.69311,0.99874,0.73349,0.83376,0.0002972,0.0002972,0.0002972
88,625.192,0.60562,0.43359,0.80151,1,0.79523,0.91348,0.66131,0.99812,0.71635,0.82568,0.0002774,0.0002774,0.0002774
89,632.175,0.57304,0.39563,0.79952,1,0.79523,0.91348,0.66131,0.99812,0.71635,0.82568,0.0002576,0.0002576,0.0002576
90,639.243,0.69976,0.42335,0.77938,0.99028,0.8,0.92305,0.67008,0.99934,0.68535,0.81987,0.0002378,0.0002378,0.0002378
91,646.31,0.55921,0.38537,0.78003,0.99028,0.8,0.92305,0.67008,0.99934,0.68535,0.81987,0.000218,0.000218,0.000218
92,654.005,0.52393,0.37715,0.78325,0.96972,0.8,0.9069,0.65292,0.99682,0.68459,0.81747,0.0001982,0.0001982,0.0001982
93,661.457,0.54366,0.37705,0.78124,0.96972,0.8,0.9069,0.65292,0.99682,0.68459,0.81747,0.0001784,0.0001784,0.0001784
94,668.61,0.53577,0.38663,0.76187,0.98859,0.8,0.90262,0.6625,0.98702,0.70961,0.81529,0.0001586,0.0001586,0.0001586
95,675.541,0.62061,0.41048,0.78579,0.98859,0.8,0.90262,0.6625,0.98702,0.70961,0.81529,0.0001388,0.0001388,0.0001388
96,682.571,0.54182,0.40305,0.79507,0.99097,0.8,0.905,0.66634,0.96373,0.70926,0.81152,0.000119,0.000119,0.000119
97,689.751,0.46556,0.35512,0.77492,0.99097,0.8,0.905,0.66634,0.96373,0.70926,0.81152,9.92e-05,9.92e-05,9.92e-05
98,696.96,0.49608,0.36734,0.79431,0.9963,0.8,0.91484,0.67256,0.95442,0.6992,0.81149,7.94e-05,7.94e-05,7.94e-05
99,703.689,0.55633,0.3661,0.8774,0.9963,0.8,0.91484,0.67256,0.95442,0.6992,0.81149,5.96e-05,5.96e-05,5.96e-05
100,710.779,0.49443,0.32401,0.80777,0.98404,0.8,0.91484,0.67289,0.95006,0.68736,0.81188,3.98e-05,3.98e-05,3.98e-05
