robot_name,episodes,tiz_mean,tiz_sample_variance,tiz_sample_sd,tiz_95ci_halfwidth,episode_length_mean,episode_length_sample_variance,episode_length_sample_sd,episode_length_95ci_halfwidth,catch_rate
scripted_only,20,0.22900000000000004,0.03949368421052632,0.1987301794155239,0.0870973413093528,43.3,1043.0631578947366,32.29648832140635,14.154560090953764,0.8
single_h1,20,0.2875,0.05986184210526315,0.24466679812607012,0.10722995211963374,54.55,1358.4710526315787,36.8574422963881,16.15348630449395,0.7
league,20,0.518,0.09645894736842106,0.31057840776271145,0.13611698869180994,71.3,1162.2210526315787,34.091363314358354,14.94119874004337,0.5
