robot_name,robot_path,test_name,test_type,hand_path,base_seed,max_steps,trial_index,trial_seed,requested_episodes,completed_episodes,is_complete,reward_mean,reward_sample_variance,reward_sample_std,tiz_mean,tiz_sample_variance,tiz_sample_std,zpd_coverage_mean,zpd_coverage_sample_variance,zpd_coverage_sample_std,episode_length_mean,episode_length_sample_variance,episode_length_sample_std,catch_rate,too_close_rate,too_far_rate,avg_distance_mean,avg_distance_sample_variance,avg_distance_sample_std
scripted_only,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\baselines\scripted_only_5m\robot\best_model.zip,mouse_hand,mouse,,2026,100,0,479243620,20,20,True,-29.8969104987099,948.900491182134,30.804228462698656,0.22900000000000004,0.03949368421052632,0.1987301794155239,0.5047304084119628,0.03683655278185918,0.19192850955983373,43.3,1043.0631578947366,32.29648832140635,0.8,0.38109562720224327,0.11417396438579393,4.01081131696701,0.3223092362465415,0.5677228516155938
single_h1,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\baselines\single_hand_h1_5m\robot\best_model.zip,mouse_hand,mouse,,2026,100,0,479243620,20,20,True,-20.978103663679015,1109.7571839729735,33.3130182357134,0.2875,0.05986184210526315,0.24466679812607012,0.4606012224894943,0.046561551935850515,0.21578125946395466,54.55,1358.4710526315787,36.8574422963881,0.7,0.46308668110896445,0.07631209640154125,3.744876742362976,0.26814752066223946,0.5178296251299644
league,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_10\robot\robot\best_model.zip,mouse_hand,mouse,,2026,100,0,479243620,20,20,True,16.165884751318227,2497.4284353879407,49.974277737531544,0.518,0.09645894736842106,0.31057840776271145,0.6702052179334154,0.029041872927125508,0.17041676245934703,71.3,1162.2210526315787,34.091363314358354,0.5,0.2280687000391864,0.1017260820273983,4.240316188335418,0.16495809004430703,0.40615032936624224
