run_id,pair_id,trial_index,internal_seed,hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,policy_freq_target_hz,servo_mode,servo_freq_target_hz,servo_target_timeout_s,order_in_pair,controller,status,rollout_dir,done_reason,caught,duration_s,duration_target_s,num_control_steps,zpd_time_s,tiz_fixed_horizon_fraction,zpd_observed_occupancy_fraction,zpd_occupancy_fraction,distance_cm_mean,distance_cm_std,distance_cm_min,distance_cm_final,too_close_fraction,too_far_fraction,min_boundary_clearance_cm,boundary_occupancy_fraction,target_clipped_fraction,target_step_limited_fraction,control_loop_rate_hz_mean,policy_loop_rate_hz_mean,servo_loop_rate_hz_mean,servo_target_age_s_mean,servo_tracking_error_cm_mean,servo_tracking_error_cm_p95,servo_target_error_cm_mean,servo_deadline_overrun_count,servo_watchdog_stop_count,policy_deadline_overrun_count,camera_update_rate_hz_mean,policy_inference_latency_ms_mean,policy_inference_latency_ms_p95,safety_stop_count,microrobot_detection_fraction,microrobot_tcp_error_cm_mean,microrobot_tcp_error_cm_p95,virtual_hand_actual_move_cm_mean,virtual_hand_actual_move_cm_p95,virtual_hand_actual_to_stride_ratio_mean,virtual_hand_accel_clipped_fraction,virtual_hand_workspace_clipped_fraction,virtual_hand_policy_latency_ms_mean,virtual_hand_policy_latency_ms_p95
trial001_league,trial001,1,1,0.202364325,0.803824171214,3,20.0,interpolated,125.0,0.15,1,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_204256_physical_dr40_trial001_league_virtual_h1_trial001,caught,True,3.7503203991800547,60.0,76,0.6076009999960661,0.010126683333267768,0.15789473684210525,0.15789473684210525,2.5369159014601457,0.7917209989133626,1.481557846069336,1.481557846069336,0.8421052631578947,0.0,1.3222480535507202,0.0,0.0,0.0,20.338820362319684,20.338820362319684,123.93566780605947,0.039688618339009975,1.6757430353792433,2.0297867610557594,2.2005717736005996,460.0,0,68,16.39353725292551,1.9107573355237644,2.5436698459088802,0,,,,0.2264761667450269,0.2858483284711838,1.1191506543706597,0.02666666666666667,0.02666666666666667,1.4332346866528194,2.1355995908379555
trial001_cv_mpc,trial001,1,1,0.202364325,0.803824171214,3,20.0,interpolated,125.0,0.15,2,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_204316_physical_dr40_trial001_cv_mpc_virtual_h1_trial001,caught,True,3.5630638003349304,60.0,72,0.762724899686873,0.012712081661447883,0.20833333333333334,0.20833333333333334,2.561821950806512,0.9180906723172295,1.4957554340362549,1.4957554340362549,0.7916666666666666,0.0,1.1230566024780266,0.0,0.0,0.0,20.33426543690352,20.33426543690352,123.85141384827247,0.04120264498805496,1.7176182229644987,2.111744993018421,3.1162707436230996,437.0,0,64,17.523456358705204,1.0580197763694843,1.728349830955267,0,,,,0.23448421207951828,0.2855507731437683,1.1587230707760285,0.014084507042253521,0.0,1.812612624760245,2.7161999605596066
trial002_cv_mpc,trial002,2,2,0.152322427,0.558178210011,0,20.0,interpolated,125.0,0.15,1,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_204336_physical_dr40_trial002_cv_mpc_virtual_h1_trial002,caught,True,4.0034227995201945,60.0,81,1.700671499595046,0.028344524993250766,0.41975308641975306,0.41975308641975306,3.0179866802545243,0.9699997196139873,1.4795629978179932,1.4795629978179932,0.5802469135802469,0.0,0.9374647855758667,0.0,0.0,0.0,20.374779949335483,20.374779949335483,123.68218567931115,0.0398004975537827,1.6337354447595756,2.0051487485410737,2.5931270593577254,491.0,0,68,17.34424616144271,1.058695011306554,1.7434251960366962,0,,,,0.17803925732150674,0.21228729337453842,1.1688315425902893,0.0,0.0,1.808673667255789,2.3442550096660852
trial002_league,trial002,2,2,0.152322427,0.558178210011,0,20.0,interpolated,125.0,0.15,2,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_204358_physical_dr40_trial002_league_virtual_h1_trial002,caught,True,3.3651060992851853,60.0,68,1.6025930996984243,0.02670988499497374,0.47058823529411764,0.47058823529411764,3.2518080630723167,1.0740622211275463,1.4545466899871826,1.4545466899871826,0.5294117647058824,0.0,1.1489405155181884,0.0,0.0,0.0,20.253326734310864,20.253326734310864,123.89849899998721,0.039812307352857554,1.2840802177973436,1.9225759049176818,1.5481709050516248,412.0,0,62,16.93718908488208,1.8482478057493026,2.424230147153139,0,,,,0.16863168142179943,0.2119300365447998,1.1070706050514774,0.0,0.0,1.4012492776139458,2.1620902232825756
trial003_league,trial003,3,3,0.117129833,0.837225530542,1,20.0,interpolated,125.0,0.15,1,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_204418_physical_dr40_trial003_league_virtual_h1_trial003,caught,True,8.907178299501538,60.0,179,3.012728599831462,0.050212143330524366,0.33519553072625696,0.33519553072625696,3.2100496764955575,0.5905148933936784,1.4556816816329956,1.4556816816329956,0.664804469273743,0.0,0.6491563439369201,0.0,0.0,0.0,20.331700526091314,20.331700526091314,123.92732342922935,0.04019625137388373,1.4398085461307641,1.9903751207456482,1.7066089991169942,1098.0,0,166,16.66600537783751,1.9136028406157921,2.583634853363037,0,,,,0.14276225490265348,0.16564593389630317,1.218837688453406,0.0056179775280898875,0.028089887640449437,1.4179999929633034,2.0933993626385927
trial003_cv_mpc,trial003,3,3,0.117129833,0.837225530542,1,20.0,interpolated,125.0,0.15,2,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_204443_physical_dr40_trial003_cv_mpc_virtual_h1_trial003,timeout,False,59.95623969938606,60.0,1200,36.41162060108036,0.6068603433513393,0.6075,0.6075,3.5899734952052436,0.47396806687501913,2.1458754539489746,3.374403715133667,0.3925,0.0,0.8867771148681634,0.0,0.0,0.0,20.322695243671365,20.322695243671365,122.61730718069752,0.041359853373065254,1.6618085251326977,2.000839129633421,2.2686576577366537,7353.0,0,1115,15.612690877816286,1.7230996644745271,2.051029587164521,0,,,,0.14117725865915418,0.16563112512230874,1.2053057282097737,0.03833333333333333,0.034166666666666665,2.553734346292913,2.883705636486411
trial004_cv_mpc,trial004,4,4,0.288611221,0.554899431908,2,20.0,interpolated,125.0,0.15,1,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_204600_physical_dr40_trial004_cv_mpc_virtual_h1_trial004,caught,True,3.502782699652016,60.0,71,0.3640591995790601,0.006067653326317668,0.09859154929577464,0.09859154929577464,2.4831726248835175,0.713240987331552,1.3676854372024536,1.3676854372024536,0.9014084507042254,0.0,1.0595956563949585,0.0,0.0,0.0,20.337209485747067,20.337209485747067,123.99170275079112,0.040507592806326494,1.6116517162990387,2.106039310999552,3.1132992683059877,430.0,0,64,17.300282598861415,1.0786042548716068,1.940284576267004,0,,,,0.27367009084139554,0.38456188440322875,0.9482309450518402,0.0,0.0,1.823278609663248,2.4747301358729596
trial004_league,trial004,4,4,0.288611221,0.554899431908,2,20.0,interpolated,125.0,0.15,2,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_204621_physical_dr40_trial004_league_virtual_h1_trial004,caught,True,4.252124099992216,60.0,86,0.3506935006007552,0.005844891676679254,0.08139534883720931,0.08139534883720931,2.5108290675074554,0.6133839862485065,1.486262559890747,1.486262559890747,0.9186046511627907,0.0,0.6415467977523803,0.0,0.0,0.0,20.328127181340633,20.328127181340633,123.87241132652704,0.04097411880160079,1.5711132482625025,1.9908428476856346,1.9183958745661849,522.0,0,73,16.44114057836326,1.9161411725422914,2.6040202006697655,0,,,,0.24762885877314736,0.38164718151092525,0.8580014938959954,0.0,0.17647058823529413,1.405009430120973,1.9203001633286476
trial005_league,trial005,5,5,0.261000585,0.730207180583,0,20.0,interpolated,125.0,0.15,1,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_204642_physical_dr40_trial005_league_virtual_h1_trial005,caught,True,1.1497517004609108,60.0,24,0.21072370000183582,0.0035120616666972637,0.16666666666666666,0.16666666666666666,2.7061749398708344,0.8162616039923337,1.3375329971313477,1.3375329971313477,0.8333333333333334,0.0,1.8313991546630852,0.0,0.0,0.0,20.546060358575836,20.546060358575836,123.77713191792883,0.038897225012381874,1.605652906759665,2.0437809130418683,2.368304883069022,138.0,0,18,22.015048316599092,1.9459956447067468,2.7631401084363456,0,,,,0.3170429500548736,0.3673264890909195,1.2147212239193776,0.0,0.0,1.4857174828648567,2.4445003829896446
trial005_cv_mpc,trial005,5,5,0.261000585,0.730207180583,0,20.0,interpolated,125.0,0.15,2,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_204659_physical_dr40_trial005_cv_mpc_virtual_h1_trial005,caught,True,1.1569749005138874,60.0,24,0.20060520060360432,0.003343420010060072,0.16666666666666666,0.16666666666666666,2.7241644908984504,0.8336963687412366,1.3263643980026245,1.3263643980026245,0.8333333333333334,0.0,1.9192745208740227,0.0,0.0,0.0,20.24625845498566,20.24625845498566,123.70987492910956,0.03841175003132472,1.6404497166074254,2.106091453476085,2.8303909586607046,139.0,0,20,17.62765460960454,1.0577608304827109,1.7537595704197875,0,,,,0.32171444659647735,0.3672713965177536,1.2326196379846328,0.0,0.0,1.871465259919996,2.397539839148521
trial006_cv_mpc,trial006,6,6,0.20763287,0.896048271913,1,20.0,interpolated,125.0,0.15,1,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_204717_physical_dr40_trial006_cv_mpc_virtual_h1_trial006,caught,True,3.2563052996993065,60.0,66,0.4099085992202163,0.006831809987003604,0.12121212121212122,0.12121212121212122,2.5669888998522903,0.7193494583612589,1.3769735097885132,1.3769735097885132,0.8787878787878788,0.0,0.46970958709716726,0.030303030303030304,0.0,0.0,20.321347051867996,20.321347051867996,124.05544232275987,0.03955584095621651,1.4591807435035324,2.0561874692951636,2.552593783857942,399.0,0,57,18.234727147796868,1.1008430558901567,1.7472604289650917,0,,,,0.2225102067566835,0.2921986937522888,1.0716521269329058,0.07692307692307693,0.0,1.8285414920403407,2.346239797770977
trial006_league,trial006,6,6,0.20763287,0.896048271913,1,20.0,interpolated,125.0,0.15,2,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_204737_physical_dr40_trial006_league_virtual_h1_trial006,caught,True,1.558860699646175,60.0,32,0.30261070001870394,0.005043511666978399,0.1875,0.1875,2.648049622774124,0.8862129384070974,1.4540120363235474,1.4540120363235474,0.8125,0.0,1.7144271850585937,0.0,0.0,0.0,20.270408646628642,20.270408646628642,124.01326090215761,0.03907546872505918,1.6130640886315586,2.005045206496743,2.106293364339643,189.0,0,26,20.024994684592883,1.8366838715249492,2.6453002355992794,0,,,,0.24277064684898622,0.29294654726982117,1.169230319115592,0.06451612903225806,0.0,1.3706580465359073,2.188350073993206
trial007_league,trial007,7,7,0.225019093,0.524416225548,0,20.0,interpolated,125.0,0.15,1,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_204755_physical_dr40_trial007_league_virtual_h1_trial007,caught,True,1.0046814000234008,60.0,21,0.20802180003374815,0.003467030000562469,0.19047619047619047,0.19047619047619047,2.6713469596136186,0.9188524357474498,1.472830057144165,1.472830057144165,0.8095238095238095,0.0,2.211323928833007,0.0,0.0,0.0,20.19119845352272,20.19119845352272,123.64147627923364,0.040257320180535315,1.5767981376196423,2.013704940716336,2.3611971374218785,122.0,0,19,18.904448788273154,1.9817349035292864,2.539174910634756,0,,,,0.29216584414243696,0.3182019263505936,1.2984046831192098,0.0,0.0,1.585844997316599,2.2018856368958954
trial007_cv_mpc,trial007,7,7,0.225019093,0.524416225548,0,20.0,interpolated,125.0,0.15,2,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_204812_physical_dr40_trial007_cv_mpc_virtual_h1_trial007,caught,True,1.1617244994267821,60.0,24,0.30262270011007786,0.005043711668501298,0.25,0.25,2.72735703488191,0.9308615866560688,1.409598469734192,1.409598469734192,0.75,0.0,2.029964637756347,0.0,0.0,0.0,20.137923844851166,20.137923844851166,123.9238493170874,0.03880637088635316,1.6611667852565273,2.042076387134917,2.932593353720781,140.0,0,22,17.978205016303733,1.0713652667144071,1.4761596918106077,0,,,,0.2953332843987838,0.31822340190410614,1.3124810008845953,0.0,0.0,1.8795870001549306,2.4988303892314434
trial008_cv_mpc,trial008,8,8,0.165394455,0.740052880468,0,20.0,interpolated,125.0,0.15,1,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_204830_physical_dr40_trial008_cv_mpc_virtual_h1_trial008,caught,True,4.602370800450444,60.0,93,1.4034061003476381,0.023390101672460636,0.3010752688172043,0.3010752688172043,2.5351947379368607,0.9429770597939643,1.4871958494186401,1.4871958494186401,0.6989247311827957,0.0,0.9517337799072259,0.0,0.0,0.0,20.376015109896294,20.376015109896294,123.90148403595634,0.04025333697664673,1.7722497364602205,2.0509587101290436,2.960633746638148,565.0,0,78,16.335953614558736,1.074010921318246,1.732979342341423,0,,,,0.19814996652143158,0.23381835892796515,1.1980447985480018,0.010869565217391304,0.0,1.8090423621723186,2.324839774519205
trial008_league,trial008,8,8,0.165394455,0.740052880468,0,20.0,interpolated,125.0,0.15,2,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_204850_physical_dr40_trial008_league_virtual_h1_trial008,caught,True,2.21466420032084,60.0,45,1.404080900363624,0.023401348339393734,0.6222222222222222,0.6222222222222222,3.4472153239780003,0.8554744762804033,1.4787418842315674,1.4787418842315674,0.37777777777777777,0.0,0.7908570289611816,0.0,0.0,0.0,20.241391650359272,20.241391650359272,123.97857138845713,0.03907719767755932,1.2868730951541705,1.8846755569203615,1.5683952837866924,270.0,0,38,17.55146167010816,1.864568182182583,2.5569645687937737,0,,,,0.19168716872280295,0.23331038579344748,1.1589697412939446,0.045454545454545456,0.0,1.4190408824519678,2.0002701319754124
trial009_league,trial009,9,9,0.274049841,0.588468752896,3,20.0,interpolated,125.0,0.15,1,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_204909_physical_dr40_trial009_league_virtual_h1_trial009,caught,True,0.9002505000680685,60.0,19,0.36390400025993586,0.006065066670998931,0.3684210526315789,0.3684210526315789,3.0331200988669145,1.0775275901031576,1.3644429445266724,1.3644429445266724,0.631578947368421,0.0,3.7687384605407708,0.0,0.0,0.0,20.347353832755957,20.347353832755957,123.48492476448097,0.03793705249891469,1.543581555621656,2.0545966798595603,2.099435992371086,108.0,0,14,18.151533330257354,1.961055677384138,2.6332502253353596,0,,,,0.3079134871562322,0.3875636294484138,1.123567472371685,0.0,0.0,1.517072319984436,2.074619848281145
trial009_cv_mpc,trial009,9,9,0.274049841,0.588468752896,3,20.0,interpolated,125.0,0.15,2,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_204926_physical_dr40_trial009_cv_mpc_virtual_h1_trial009,caught,True,0.8543347995728254,60.0,18,0.36398790031671524,0.0060664650052785875,0.3888888888888889,0.3888888888888889,3.112167066997952,1.0514749598838966,1.4240710735321045,1.4240710735321045,0.6111111111111112,0.0,3.4278499603271477,0.0,0.0,0.0,20.204657405200606,20.204657405200606,123.43623740651607,0.03884852217096421,1.2289127066432561,2.104248107830381,2.192744554942066,102.0,0,17,16.261669028375767,1.1294824345146908,1.852240413427353,0,,,,0.29851808442788963,0.38688174486160276,1.0892839176209907,0.0,0.0,1.9925352843368755,2.993080392479896
trial010_cv_mpc,trial010,10,10,0.291200342,0.701817807453,2,20.0,interpolated,125.0,0.15,1,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_204942_physical_dr40_trial010_cv_mpc_virtual_h1_trial010,caught,True,1.5092307003214955,60.0,31,0.35017129965126514,0.005836188327521086,0.22580645161290322,0.22580645161290322,2.790847155355638,0.9047825587269572,1.4612709283828735,1.4612709283828735,0.7741935483870968,0.0,3.7450072288513176,0.0,0.0,0.0,20.23000119710163,20.23000119710163,123.71219474619521,0.039970219942430656,1.4781836531708454,2.0595816516034566,2.89503336894671,183.0,0,24,16.605056225009672,1.0084900384147961,1.2620299588888877,0,,,,0.3254928201436996,0.410344286262989,1.1177624926817553,0.0,0.0,1.7497433039049308,2.317620068788528
trial010_league,trial010,10,10,0.291200342,0.701817807453,2,20.0,interpolated,125.0,0.15,2,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_205000_physical_dr40_trial010_league_virtual_h1_trial010,caught,True,3.9606080008670688,60.0,80,0.354186100885272,0.005903101681421201,0.0875,0.0875,2.433841146528721,0.6547396756025936,1.3439879417419434,1.3439879417419434,0.9125,0.0,0.7255236625671386,0.0,0.0,0.0,20.310643946334928,20.310643946334928,124.03068657802889,0.040065736253745855,1.6447800251773372,1.9577765643955194,2.047275760178011,488.0,0,72,16.190693808319118,1.8790898184421696,2.546669729053974,0,,,,0.2772538988744911,0.4048191159963608,0.9521070510092021,0.012658227848101266,0.0,1.3822430768344975,2.0874998532235622
trial011_league,trial011,11,11,0.125714041,0.674260143601,3,20.0,interpolated,125.0,0.15,1,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_205021_physical_dr40_trial011_league_virtual_h1_trial011,caught,True,8.752003300003707,60.0,176,2.7989242002367973,0.04664873667061329,0.3181818181818182,0.3181818181818182,3.323743040588769,0.6556681939500174,1.4198328256607056,1.4198328256607056,0.6818181818181818,0.0,0.6396129250526428,0.0,0.0,0.0,20.386597858344192,20.386597858344192,123.99935712214081,0.04005996229925326,1.4468922177924084,1.9398969653626281,1.7304325109537713,1079.0,0,154,16.619088532121083,1.9044160257492746,2.5924493558704853,0,,,,0.15049224306430137,0.1777680918574333,1.197099718274917,0.0,0.08,1.383178329893521,2.010689862072468
trial011_cv_mpc,trial011,11,11,0.125714041,0.674260143601,3,20.0,interpolated,125.0,0.15,2,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_205046_physical_dr40_trial011_cv_mpc_virtual_h1_trial011,timeout,False,59.96968400012702,60.0,1199,36.58396059926599,0.6097326766544332,0.609674728940784,0.609674728940784,3.5921609745709673,0.4663660511440253,2.3529655933380127,2.4240498542785645,0.390325271059216,0.0,0.8867460012435913,0.0,0.0,0.0,20.331351489191128,20.331351489191128,123.26729206675253,0.040211757684658234,1.6355552088206724,1.9725731276543121,2.2611456236715064,7381.0,0,1130,15.898240110438378,1.521544538755234,2.017619926482439,0,,,,0.14650489783863707,0.1773523584008217,1.1653821376932514,0.0008340283569641367,0.05004170141784821,2.313371298770988,2.8515296988189216
trial012_cv_mpc,trial012,12,12,0.150164892,0.616798830561,2,20.0,interpolated,125.0,0.15,1,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260825_204245_physical_dr40_virtual_pair\rollouts\20260825_205203_physical_dr40_trial012_cv_mpc_virtual_h1_trial012,caught,True,13.664063199423254,60.0,274,1.8020747993141413,0.03003457998856902,0.13138686131386862,0.13138686131386862,2.688997040264798,0.7440818739022901,1.439983606338501,1.439983606338501,0.8686131386861314,0.0,0.9063436508178704,0.0,0.0,0.0,20.341936930284383,20.341936930284383,123.85465113924458,0.04040642345713063,1.7433340255304346,2.0602584589342516,2.771431029315859,1687.0,0,256,16.495006941706528,1.1024175675742791,1.8799001350998878,0,,,,0.1767633746449764,0.21202073693275453,1.177128503811506,0.0,0.0,1.8166725186037493,2.5238404050469394
