controller,n_completed,policy_freq_target_hz,servo_mode,servo_freq_target_hz,servo_target_timeout_s,servo_lookahead_time_s,servo_interpolation_mode,servo_trajectory_mode,servo_lag_warning_cm,servo_lag_hard_limit_cm,trial_indices,internal_seeds,hand_strides_cm,virtual_hand_smoothing_alphas,virtual_hand_delay_counts,catch_rate,safety_stop_count,done_reason_counts,hand_stride_cm_mean,hand_stride_cm_std,virtual_hand_smoothing_alpha_mean,virtual_hand_smoothing_alpha_std,virtual_hand_delay_frames_mean,virtual_hand_delay_frames_std,tiz_fixed_horizon_fraction_mean,tiz_fixed_horizon_fraction_std,zpd_time_s_mean,zpd_time_s_std,zpd_observed_occupancy_fraction_mean,zpd_observed_occupancy_fraction_std,zpd_occupancy_fraction_mean,zpd_occupancy_fraction_std,duration_s_mean,duration_s_std,distance_cm_mean_mean,distance_cm_mean_std,too_close_fraction_mean,too_close_fraction_std,too_far_fraction_mean,too_far_fraction_std,min_boundary_clearance_cm_mean,min_boundary_clearance_cm_std,boundary_occupancy_fraction_mean,boundary_occupancy_fraction_std,target_clipped_fraction_mean,target_clipped_fraction_std,target_step_limited_fraction_mean,target_step_limited_fraction_std,control_loop_rate_hz_mean_mean,control_loop_rate_hz_mean_std,policy_loop_rate_hz_mean_mean,policy_loop_rate_hz_mean_std,servo_loop_rate_hz_mean_mean,servo_loop_rate_hz_mean_std,servo_target_age_s_mean_mean,servo_target_age_s_mean_std,servo_tracking_error_cm_mean_mean,servo_tracking_error_cm_mean_std,servo_target_error_cm_mean_mean,servo_target_error_cm_mean_std,planned_endpoint_actual_lag_cm_mean_mean,planned_endpoint_actual_lag_cm_mean_std,planned_endpoint_actual_lag_cm_p95_mean,planned_endpoint_actual_lag_cm_p95_std,planned_endpoint_actual_lag_cm_max_mean,planned_endpoint_actual_lag_cm_max_std,planned_endpoint_actual_lag_excess_cm_p95_mean,planned_endpoint_actual_lag_excess_cm_p95_std,planned_endpoint_actual_lag_excess_cm_max_mean,planned_endpoint_actual_lag_excess_cm_max_std,servo_follower_lag_allowance_cm_mean,servo_follower_lag_allowance_cm_std,actual_to_planned_step_projection_mean_mean,actual_to_planned_step_projection_mean_std,actual_to_planned_step_projection_p50_mean,actual_to_planned_step_projection_p50_std,servo_command_step_limited_count_mean,servo_command_step_limited_count_std,servo_publish_rejected_count_mean,servo_publish_rejected_count_std,servo_deadline_overrun_count_mean,servo_deadline_overrun_count_std,servo_publish_latency_ms_mean_mean,servo_publish_latency_ms_mean_std,servo_publish_latency_ms_p95_mean,servo_publish_latency_ms_p95_std,servo_endpoint_lateness_s_p95_mean,servo_endpoint_lateness_s_p95_std,servo_endpoint_late_count_mean,servo_endpoint_late_count_std,servo_watchdog_stop_count_mean,servo_watchdog_stop_count_std,policy_deadline_overrun_count_mean,policy_deadline_overrun_count_std,policy_schedule_resync_count_mean,policy_schedule_resync_count_std,mpc_command_actual_lag_cm_mean_mean,mpc_command_actual_lag_cm_mean_std,mpc_command_actual_lag_cm_p95_mean,mpc_command_actual_lag_cm_p95_std,mpc_predicted_min_hand_distance_cm_mean_mean,mpc_predicted_min_hand_distance_cm_mean_std,camera_update_rate_hz_mean_mean,camera_update_rate_hz_mean_std,policy_inference_latency_ms_mean_mean,policy_inference_latency_ms_mean_std,microrobot_detection_fraction_mean,microrobot_detection_fraction_std,microrobot_tcp_error_cm_mean_mean,microrobot_tcp_error_cm_mean_std,virtual_hand_actual_move_cm_mean_mean,virtual_hand_actual_move_cm_mean_std,virtual_hand_actual_to_stride_ratio_mean_mean,virtual_hand_actual_to_stride_ratio_mean_std,virtual_hand_accel_clipped_fraction_mean,virtual_hand_accel_clipped_fraction_std,virtual_hand_workspace_clipped_fraction_mean,virtual_hand_workspace_clipped_fraction_std,virtual_hand_policy_latency_ms_mean_mean,virtual_hand_policy_latency_ms_mean_std,virtual_hand_policy_latency_ms_p95_mean,virtual_hand_policy_latency_ms_p95_std
league,0,,,,,,,,,,[],[],[],[],{},,0,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cv_mpc,0,,,,,,,,,,[],[],[],[],{},,0,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
