iteration,timesteps,iteration_progress,opponent_index,opponent,probability,pool_size,uniform_probability,preference_ratio,opponent_age
2,420000,0.14,0,Scr,0.2,2,0.5,0.4,
2,420000,0.14,1,H1,0.8,2,0.5,1.6,0
2,430000,0.14333333333333334,0,Scr,0.2,2,0.5,0.4,
2,430000,0.14333333333333334,1,H1,0.8,2,0.5,1.6,0
2,440000,0.14666666666666667,0,Scr,0.2,2,0.5,0.4,
2,440000,0.14666666666666667,1,H1,0.8,2,0.5,1.6,0
2,450000,0.15,0,Scr,0.2,2,0.5,0.4,
2,450000,0.15,1,H1,0.8,2,0.5,1.6,0
2,460000,0.15333333333333332,0,Scr,0.2,2,0.5,0.4,
2,460000,0.15333333333333332,1,H1,0.8,2,0.5,1.6,0
2,470000,0.15666666666666668,0,Scr,0.2,2,0.5,0.4,
2,470000,0.15666666666666668,1,H1,0.8,2,0.5,1.6,0
2,480000,0.16,0,Scr,0.2,2,0.5,0.4,
2,480000,0.16,1,H1,0.8,2,0.5,1.6,0
2,490000,0.16333333333333333,0,Scr,0.2,2,0.5,0.4,
2,490000,0.16333333333333333,1,H1,0.8,2,0.5,1.6,0
2,500000,0.16666666666666666,0,Scr,0.2,2,0.5,0.4,
2,500000,0.16666666666666666,1,H1,0.8,2,0.5,1.6,0
2,510000,0.17,0,Scr,0.2,2,0.5,0.4,
2,510000,0.17,1,H1,0.8,2,0.5,1.6,0
2,520000,0.17333333333333334,0,Scr,0.2,2,0.5,0.4,
2,520000,0.17333333333333334,1,H1,0.8,2,0.5,1.6,0
2,530000,0.17666666666666667,0,Scr,0.2,2,0.5,0.4,
2,530000,0.17666666666666667,1,H1,0.8,2,0.5,1.6,0
2,540000,0.18,0,Scr,0.2,2,0.5,0.4,
2,540000,0.18,1,H1,0.8,2,0.5,1.6,0
2,550000,0.18333333333333332,0,Scr,0.2,2,0.5,0.4,
2,550000,0.18333333333333332,1,H1,0.8,2,0.5,1.6,0
2,560000,0.18666666666666668,0,Scr,0.2,2,0.5,0.4,
2,560000,0.18666666666666668,1,H1,0.8,2,0.5,1.6,0
2,570000,0.19,0,Scr,0.2,2,0.5,0.4,
2,570000,0.19,1,H1,0.8,2,0.5,1.6,0
2,580000,0.19333333333333333,0,Scr,0.2,2,0.5,0.4,
2,580000,0.19333333333333333,1,H1,0.8,2,0.5,1.6,0
2,590000,0.19666666666666666,0,Scr,0.2,2,0.5,0.4,
2,590000,0.19666666666666666,1,H1,0.8,2,0.5,1.6,0
2,600000,0.2,0,Scr,0.2,2,0.5,0.4,
2,600000,0.2,1,H1,0.8,2,0.5,1.6,0
2,610000,0.20333333333333334,0,Scr,0.2,2,0.5,0.4,
2,610000,0.20333333333333334,1,H1,0.8,2,0.5,1.6,0
2,620000,0.20666666666666667,0,Scr,0.2,2,0.5,0.4,
2,620000,0.20666666666666667,1,H1,0.8,2,0.5,1.6,0
2,630000,0.21,0,Scr,0.2,2,0.5,0.4,
2,630000,0.21,1,H1,0.8,2,0.5,1.6,0
