step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,policy_dt_s,policy_loop_hz_inst,policy_deadline_overrun_s,policy_deadline_overrun,policy_schedule_resynced,policy_step_start_perf,servo_publish_perf,servo_publish_latency_ms,servo_endpoint_deadline_perf,servo_endpoint_lateness_s,servo_dt_s,servo_loop_hz_inst,servo_target_age_s,servo_interpolation_phase,servo_command_sequence,servo_policy_step,servo_commanded_world_x,servo_commanded_world_y,servo_commanded_world_z,servo_target_world_x,servo_target_world_y,servo_target_world_z,servo_segment_start_world_x,servo_segment_start_world_y,servo_segment_start_world_z,servo_segment_end_world_x,servo_segment_end_world_y,servo_segment_end_world_z,servo_segment_start_perf,servo_segment_end_perf,servo_segment_elapsed_s,servo_segment_duration_s,servo_pending_segment_count,servo_command_step_limited,servo_command_step_limited_count,servo_publish_rejected_count,servo_tracking_error_cm,servo_target_error_cm,servo_deadline_overrun_s,servo_deadline_overrun_count,servo_watchdog_stopped,servo_stop_reason,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,virtual_hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,virtual_hand_action_x,virtual_hand_action_y,virtual_hand_action_norm,virtual_hand_command_dx_cm,virtual_hand_command_dy_cm,virtual_hand_command_norm_cm,virtual_hand_delayed_dx_cm,virtual_hand_delayed_dy_cm,virtual_hand_delayed_norm_cm,virtual_hand_smoothed_dx_cm,virtual_hand_smoothed_dy_cm,virtual_hand_smoothed_norm_cm,virtual_hand_exec_dx_cm,virtual_hand_exec_dy_cm,virtual_hand_exec_norm_cm,virtual_hand_actual_dx_cm,virtual_hand_actual_dy_cm,virtual_hand_actual_norm_cm,virtual_hand_accel_clipped,virtual_hand_workspace_clipped,virtual_hand_policy_inference_ms,mpc_prediction_mode,mpc_tracking_alpha,mpc_command_actual_lag_cm,mpc_predicted_first_command_x_cm,mpc_predicted_first_command_y_cm,mpc_predicted_first_actual_x_cm,mpc_predicted_first_actual_y_cm,mpc_predicted_min_hand_distance_cm,mpc_hand_velocity_x_cm_step,mpc_hand_velocity_y_cm_step,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,planned_anchor_x_cm,planned_anchor_y_cm,planned_target_x_cm,planned_target_y_cm,planned_delta_dx_cm,planned_delta_dy_cm,planned_delta_norm_cm,actual_robot_move_dx_cm,actual_robot_move_dy_cm,actual_robot_move_norm_cm,actual_to_planned_step_projection,planned_endpoint_actual_lag_cm,planned_endpoint_actual_lag_excess_cm,servo_follower_lag_allowance_cm,servo_lag_warning_cm,servo_lag_hard_limit_cm,servo_publish_accepted,servo_publish_reject_reason,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1787745217.031959,2.0023435354232788e-07,,,,,2.0023435354232788e-07,False,False,7286421.7858679,7286421.7903027,4.434800706803799,7286421.8358678995,0.0,,,0.00047110021114349365,1.0,0,-1,-0.29907786153698235,-0.5454778819628288,0.113,-0.29907786153698235,-0.5454778819628288,0.113,-0.29907786153698235,-0.5454778819628288,0.113,-0.29907786153698235,-0.5454778819628288,0.113,7286421.7848718,7286421.7848718,0.00047110021114349365,0.0,1,False,0,0,0.0033904065585260144,0.0033904065585260144,0.0,0,False,,False,,,,,False,False,False,,11.19261646270752,2.4281327724456787,7.500011444091797,4.999950408935547,,,4.499953269958496,True,0.280634362,0.544216290717,0,-1.0,1.0,1.4142135381698608,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.15272578597068787,0.15272578597068787,0.21598687767982483,-0.15272578597068787,0.15272578597068787,0.21598687767982483,-0.1527261734008789,0.1527256965637207,0.21598708629608154,False,False,2.5909999385476112,dual_command_actual,0.5,0.00014816367183811963,7.500053405761719,5.000092506408691,7.500032424926758,5.000021457672119,4.499976634979248,0.0,0.0,1.409800723195076,0.0,0.0,0.0,0.0,0.0,768.0054931640625,524.0097045898438,768.0054931640625,524.0097045898438,7.500053405761719,5.000092506408691,7.500053405761719,5.000092506408691,0.0,0.0,0.0,0.0,0.0,0.0,,0.00014816367183811963,0.0,2.0,1.5,3.0,True,,False,False,-0.2990760500379649,-0.5454705589697852,0.11296694583373607,False,,False,caught
1,1787745217.0822997,0.05000160075724125,0.05000140052288771,19.99943980653619,0.05000140052288771,19.99943980653619,1.6009435057640076e-06,False,False,7286421.8358678995,7286421.8400264,4.158500581979752,7286421.885867899,0.0,0.008025300689041615,124.60592303606515,0.04960290063172579,0.9920580163302198,1,0,-0.2990777482055948,-0.5454725303595368,0.113,-0.29907774729831316,-0.5454724875169356,0.113,-0.29907786153698235,-0.5454778819628288,0.113,-0.29907774729831316,-0.5454724875169356,0.113,7286421.7858679,7286421.8358678995,0.04960290063172579,0.049999999813735485,1,False,0,0,0.0055314485048991325,0.005533239309452124,2.5300689041614366e-05,1,False,,True,1,0.030662400647997856,,,False,False,False,,11.03989028930664,2.5808584690093994,7.500475883483887,5.000274181365967,,,4.2873101234436035,True,0.280634362,0.544216290717,0,-1.0,1.0,1.4142135381698608,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.22233587503433228,0.22233566641807556,0.31443026661872864,-0.22233587503433228,0.22233566641807556,0.31443026661872864,-0.2223358154296875,0.2223355770111084,0.3144301772117615,False,False,1.6699004918336868,dual_command_actual,0.5,0.0004598839150276035,7.000053405761719,5.500092506408691,7.250264644622803,5.25018310546875,4.422703742980957,-0.1527261734008789,0.1527256965637207,1.1702999472618103,-1.0,1.0,1.4142135381698608,0.0,0.0,716.8054809570312,576.4097290039062,716.8054809570312,576.4097290039062,7.500053405761719,5.000092506408691,7.000053405761719,5.500092506408691,-0.5,0.5,0.7071067690849304,0.00046443939208984375,0.0003237724304199219,0.000566155940759927,,0.0004598839150276035,0.0,2.0,1.5,3.0,True,,False,False,-0.29906524623995584,-0.5454958986724949,0.11295144781095678,False,,False,caught
2,1787745217.1319613,0.10000130068510771,0.04999969992786646,20.000120029573768,0.04999969992786646,20.000120029573768,1.3010576367378235e-06,False,False,7286421.885867899,7286421.8900241,4.156201146543026,7286421.935867899,0.0,0.008005400188267231,124.9156789769994,0.047644500620663166,0.9528900159630552,2,1,-0.31374188739099224,-0.5500433751337211,0.113,-0.33161188009446046,-0.5556135283571997,0.113,-0.29907774729831316,-0.5454724875169356,0.113,-0.33161188009446046,-0.5556135283571997,0.113,7286421.8358678995,7286421.885867899,0.047644500620663166,0.049999999813735485,1,True,6,0,1.453186834775787,3.3249767670936605,5.400188267230821e-06,1,False,,True,2,0.018400900065898895,0.030483700335025787,32.80441642614494,False,False,False,,10.817554473876953,2.803194046020508,7.486921310424805,5.011279582977295,,,3.9960930347442627,True,0.280634362,0.544216290717,0,-1.0,1.0,1.4142135381698608,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.25406283140182495,0.2540627121925354,0.3592990040779114,-0.25406283140182495,0.2540627121925354,0.3592990040779114,-0.2540626525878906,0.2540626525878906,0.35929885506629944,False,False,1.4319000765681267,dual_command_actual,0.5,0.6899119019508362,6.750053405761719,6.000092506408691,7.118487358093262,5.505685806274414,4.319250106811523,-0.1875309944152832,0.18753063678741455,1.1204006150364876,-0.5,1.0,1.1180340051651,-1.0,1.0,691.2054443359375,628.8096923828125,691.2054443359375,628.8096923828125,7.000053405761719,5.500092506408691,6.750053405761719,6.000092506408691,-0.25,0.5,0.55901700258255,-0.013554573059082031,0.011005401611328125,0.017459820955991745,0.024559974670410156,0.6899119019508362,0.0,2.0,1.5,3.0,True,,False,False,-0.2998842930344334,-0.545668415926534,0.11295518637389015,False,,False,caught
3,1787745217.182232,0.15011550020426512,0.05011419951915741,19.954424286827628,0.05011419951915741,19.954424286827628,0.00011550076305866241,False,False,7286421.935867899,7286421.9402206,4.352700896561146,7286421.985867899,0.0,0.008005700074136257,124.91099975512023,0.05372630059719086,1.0,3,2,-0.3297630051933748,-0.5579954395647104,0.113,-0.35319425009292255,-0.5717453949827846,0.113,-0.33161188009446046,-0.5556135283571997,0.113,-0.35319425009292255,-0.5717453949827846,0.113,7286421.885867899,7286421.935867899,0.05372630059719086,0.049999999813735485,1,True,13,0,2.356675257311302,5.064497810796897,5.700074136257005e-06,1,False,,True,3,2.9100105166435242e-05,0.06225989945232868,16.061702778137033,False,False,False,,10.563491821289062,3.0572566986083984,7.361479759216309,5.142334461212158,,,3.8210508823394775,True,0.280634362,0.544216290717,0,-1.0,1.0,1.4142135381698608,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2685233950614929,0.2685233950614929,0.3797494173049927,-0.2685233950614929,0.2685233950614929,0.3797494173049927,-0.2685232162475586,0.2685234546661377,0.3797493577003479,False,False,1.6828998923301697,dual_command_actual,0.5,1.0533713102340698,6.250053405761719,6.250092506408691,6.805766582489014,5.696213722229004,4.299962043762207,-0.20970821380615234,0.20970797538757324,1.089499332010746,-1.0,0.5,1.1180340051651,-0.5,1.0,640.0054931640625,655.0097045898438,640.0054931640625,655.0097045898438,6.750053405761719,6.000092506408691,6.250053405761719,6.250092506408691,-0.5,0.25,0.55901700258255,-0.1254415512084961,0.13105487823486328,0.18141379952430725,0.31004104018211365,1.0533713102340698,0.0,2.0,1.5,3.0,True,,False,False,-0.3081666344410795,-0.5485634902525387,0.11316410162813406,False,,False,caught
4,1787745217.2370722,0.20334700029343367,0.05323150008916855,18.785869237667384,0.05323150008916855,18.785869237667384,0.003347001038491726,True,False,7286421.985867899,7286421.9939637,8.095800876617432,7286422.035867899,0.0,0.00800270028412342,124.95782229704426,0.05175760108977556,1.0,4,3,-0.3442837092652837,-0.5628972791630871,0.113,-0.37904793683679733,-0.5714408161237939,0.113,-0.35319425009292255,-0.5717453949827846,0.113,-0.37904793683679733,-0.5714408161237939,0.113,7286421.935867899,7286421.985867899,0.05175760108977556,0.049999999813735485,1,True,19,0,2.0716272582373367,5.64038063541465,2.700284123420549e-06,1,False,,False,,,,,False,False,False,,10.294968605041504,3.325780153274536,7.115316867828369,5.426089763641357,,,3.810706853866577,True,0.280634362,0.544216290717,0,-1.0,1.0,1.4142135381698608,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2751142978668213,0.27511438727378845,0.38907042145729065,-0.2751142978668213,0.27511438727378845,0.38907042145729065,-0.2751140594482422,0.2751142978668213,0.38907021284103394,False,False,2.1957997232675552,dual_command_actual,0.5,1.194847822189331,5.750053405761719,6.500092506408691,6.432684898376465,5.963090896606445,4.332223892211914,-0.2483072280883789,0.2483072280883789,2.2214995697140694,-1.0,0.5,1.1180340051651,-1.0,0.5,588.8054809570312,681.209716796875,588.8054809570312,681.209716796875,6.250053405761719,6.250092506408691,5.750053405761719,6.500092506408691,-0.5,0.25,0.55901700258255,-0.24616289138793945,0.2837553024291992,0.37565040588378906,0.6208648681640625,1.194847822189331,0.0,2.0,1.5,3.0,True,,False,False,-0.3249759510461914,-0.5553919989479287,0.11321258210701297,False,,False,caught
5,1787745217.282217,0.25000290013849735,0.046655899845063686,21.43351651818591,0.046655899845063686,21.43351651818591,2.9010698199272156e-06,False,False,7286422.035867899,7286422.0397235,3.855600953102112,7286422.085867899,0.0,0.00800469983369112,124.92660821472438,0.04977630078792572,0.9955260194671378,5,4,-0.3594478484952554,-0.5652936499186177,0.113,-0.4048887220973107,-0.5704985894997445,0.113,-0.37904793683679733,-0.5714408161237939,0.113,-0.4048887220973107,-0.5704985894997445,0.113,7286421.985867899,7286422.035867899,0.04977630078792572,0.049999999813735485,1,True,25,0,1.948702665011862,6.517964603810228,4.699833691119981e-06,1,False,,True,4,0.039318899624049664,0.06848319992423058,14.602121412352144,False,False,False,,10.019854545593262,3.6008944511413574,6.887731075286865,5.685382843017578,,,3.7623515129089355,True,0.280634362,0.544216290717,0,-1.0,1.0,1.4142135381698608,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2781182825565338,0.27811840176582336,0.3933187425136566,-0.2781182825565338,0.27811840176582336,0.3933187425136566,-0.2781181335449219,0.278118371963501,0.3933185935020447,False,False,1.4549000188708305,dual_command_actual,0.5,1.3993078470230103,5.250053405761719,6.500092506408691,6.068892478942871,6.092737674713135,4.305172443389893,-0.26589998602867126,0.2659001350402832,1.0896995663642883,-1.0,0.0,1.0,-1.0,0.5,537.60546875,681.209716796875,537.60546875,681.209716796875,5.750053405761719,6.500092506408691,5.250053405761719,6.500092506408691,-0.5,0.0,0.5,-0.2275857925415039,0.2592930793762207,0.3450046181678772,0.5715717077255249,1.3993078470230103,0.0,2.0,1.5,3.0,True,,False,False,-0.3403302140145853,-0.5615247650349069,0.11323614880745497,False,,False,caught
6,1787745217.3319583,0.3000023001804948,0.04999940004199743,20.000239986080658,0.04999940004199743,20.000239986080658,2.3012980818748474e-06,False,False,7286422.085867899,7286422.0898869,4.0190014988183975,7286422.135867898,0.0,0.008003300055861473,124.94845788864532,0.04781930148601532,0.956386033283122,6,5,-0.37477407310561284,-0.5649173292403289,0.113,-0.4246065700234456,-0.5590090924865457,0.113,-0.4048887220973107,-0.5704985894997445,0.113,-0.4246065700234456,-0.5590090924865457,0.113,7286422.035867899,7286422.085867899,0.04781930148601532,0.049999999813735485,1,True,31,0,1.8921301117208067,6.903293217545614,3.300055861472917e-06,1,False,,True,5,0.010394100099802017,0.0608839001506567,16.424703370275367,False,False,False,,9.74173641204834,3.8790128231048584,6.630594730377197,5.906439304351807,,,3.7134432792663574,True,0.280634362,0.544216290717,0,-1.0,1.0,1.4142135381698608,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2794874906539917,0.27948760986328125,0.39525508880615234,-0.2794874906539917,0.27948760986328125,0.39525508880615234,-0.27948760986328125,0.27948784828186035,0.39525532722473145,False,False,1.471400260925293,dual_command_actual,0.5,1.5027703046798706,4.750053405761719,6.500092506408691,5.690323829650879,6.203266143798828,4.298061847686768,-0.273918479681015,0.2739187180995941,1.0906001552939415,-1.0,0.0,1.0,-1.0,0.0,486.40545654296875,681.209716796875,486.40545654296875,681.209716796875,5.250053405761719,6.500092506408691,4.750053405761719,6.500092506408691,-0.5,0.0,0.5,-0.25713634490966797,0.22105646133422852,0.33909446001052856,0.5142726898193359,1.5027703046798706,0.0,2.0,1.5,3.0,True,,False,False,-0.3558567546544428,-0.5652516634511903,0.11319727954918778,False,,False,caught
7,1787745217.382034,0.35000350046902895,0.050001200288534164,19.999519896111597,0.050001200288534164,19.999519896111597,3.5017728805541992e-06,False,False,7286422.135867898,7286422.139524,3.6561014130711555,7286422.185867898,0.0,0.008007099851965904,124.88916317866074,0.04586310125887394,0.9172620285945461,7,6,-0.38982737295487285,-0.5619192030218383,0.113,-0.4443164143600342,-0.5475242591272372,0.113,-0.4246065700234456,-0.5590090924865457,0.113,-0.4443164143600342,-0.5475242591272372,0.113,7286422.085867899,7286422.135867898,0.04586310125887394,0.049999999813735485,1,True,37,0,1.8857757311889534,7.52006915533804,7.099851965904069e-06,1,False,,False,,,,,False,False,False,,9.462248802185059,4.158500671386719,6.340155601501465,6.074921607971191,,,3.6633503437042236,True,0.280634362,0.544216290717,0,-0.4450962543487549,1.0,1.094582438468933,-0.12490931153297424,0.2806343734264374,0.30717745423316956,-0.12490931153297424,0.2806343734264374,0.30717745423316956,-0.1953635811805725,0.28011178970336914,0.34151068329811096,-0.1953635811805725,0.28011178970336914,0.34151068329811096,-0.19536399841308594,0.28011178970336914,0.34151092171669006,False,False,1.5577999874949455,dual_command_actual,0.5,1.6459633111953735,4.500053405761719,6.750092506408691,5.420104503631592,6.412507057189941,4.251855850219727,-0.27757325768470764,0.27757349610328674,1.7642006278038025,-0.5,0.5,0.7071067690849304,-1.0,0.0,460.80548095703125,707.4097290039062,460.80548095703125,707.4097290039062,4.750053405761719,6.500092506408691,4.500053405761719,6.750092506408691,-0.25,0.25,0.3535533845424652,-0.2904391288757324,0.16848230361938477,0.33576953411102295,0.5808782577514648,1.6459633111953735,0.0,2.0,1.5,3.0,True,,False,False,-0.3713917998954249,-0.5658853716154161,0.11311901046675818,False,,False,caught
8,1787745217.4352138,0.4025057004764676,0.05250220000743866,19.04682089242579,0.05250220000743866,19.04682089242579,0.002505701966583729,True,False,7286422.185867898,7286422.1929703,7.102401927113533,7286422.235867898,0.0,0.00800270028412342,124.95782229704426,0.05188590195029974,1.0,8,7,-0.4074452013770462,-0.5587352883968841,0.113,-0.45982679581097896,-0.5525013259778817,0.113,-0.4443164143600342,-0.5475242591272372,0.113,-0.45982679581097896,-0.5525013259778817,0.113,7286422.135867898,7286422.185867898,0.05188590195029974,0.049999999813735485,1,True,44,0,1.8786333023029123,7.145965957191708,2.700284123420549e-06,1,False,,True,6,0.04768630024045706,0.07864310033619404,12.71567366653993,False,False,False,,9.266884803771973,4.438612461090088,5.969402313232422,6.203606128692627,,,3.7401328086853027,True,0.280634362,0.544216290717,0,-1.0,1.0,1.4142135381698608,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.24176950752735138,0.28039616346359253,0.37023574113845825,-0.24176950752735138,0.28039616346359253,0.37023574113845825,-0.24176979064941406,0.2803959846496582,0.370235800743103,False,False,2.0048003643751144,dual_command_actual,0.5,1.5676841735839844,4.250053405761719,7.000092506408691,5.10972785949707,6.601849555969238,4.336771488189697,-0.2509899139404297,0.27923932671546936,1.101899892091751,-0.5,0.5,0.7071067690849304,-0.5,0.5,435.2054748535156,733.6097412109375,435.2054748535156,733.6097412109375,4.500053405761719,6.750092506408691,4.250053405761719,7.000092506408691,-0.25,0.25,0.3535533845424652,-0.37075328826904297,0.12868452072143555,0.39245089888572693,0.998875617980957,1.5676841735839844,0.0,2.0,1.5,3.0,True,,False,False,-0.38913044336561886,-0.562918058413286,0.11301955568719912,False,,False,caught
9,1787745217.4813468,0.45000170078128576,0.04749600030481815,21.054404446316223,0.04749600030481815,21.054404446316223,1.7024576663970947e-06,False,False,7286422.235867898,7286422.2398838,4.015902057290077,7286422.285867898,0.0,0.008004199713468552,124.93441390740344,0.049901701509952545,0.9980340339170174,9,8,-0.4227799714702396,-0.557984900673119,0.113,-0.47485156949340324,-0.5576694101816042,0.113,-0.45982679581097896,-0.5525013259778817,0.113,-0.47485156949340324,-0.5576694101816042,0.113,7286422.185867898,7286422.235867898,0.049901701509952545,0.049999999813735485,1,True,50,0,1.8718161930199428,7.074574957529528,4.199713468551469e-06,1,False,,True,7,0.03256890084594488,0.06548979971557856,15.269553492955978,False,False,False,,9.025115013122559,4.719008445739746,5.646726131439209,6.298773765563965,,,3.7295000553131104,True,0.280634362,0.544216290717,0,-1.0,1.0,1.4142135381698608,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2629204988479614,0.28052568435668945,0.38447606563568115,-0.2629204988479614,0.28052568435668945,0.38447606563568115,-0.2629203796386719,0.28052568435668945,0.384475976228714,False,False,1.402299851179123,dual_command_actual,0.5,1.5628635883331299,4.000053405761719,7.000092506408691,4.823390007019043,6.649433135986328,4.2927961349487305,-0.23887379467487335,0.2799985408782959,1.0721003636717796,-0.5,0.0,0.5,-0.5,0.5,409.60546875,733.6097412109375,409.60546875,733.6097412109375,4.250053405761719,7.000092506408691,4.000053405761719,7.000092506408691,-0.25,0.0,0.25,-0.3226761817932129,0.09516763687133789,0.3364175856113434,0.8356876373291016,1.5628635883331299,0.0,2.0,1.5,3.0,True,,False,False,-0.4041324181330934,-0.5596091002002901,0.11298221013230444,False,,False,caught
