robot_name,robot_path,test_name,test_type,hand_path,base_seed,max_steps,trial_index,trial_seed,requested_episodes,completed_episodes,is_complete,reward_mean,reward_sample_variance,reward_sample_std,tiz_mean,tiz_sample_variance,tiz_sample_std,zpd_coverage_mean,zpd_coverage_sample_variance,zpd_coverage_sample_std,episode_length_mean,episode_length_sample_variance,episode_length_sample_std,catch_rate,too_close_rate,too_far_rate,avg_distance_mean,avg_distance_sample_variance,avg_distance_sample_std
scripted_only,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\baselines\scripted_only_5m\robot\best_model.zip,agent_H1,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_1\hand\hand\best_model.zip,2026,100,0,479243620,1000,1000,True,-33.21010019136996,457.3854698664577,21.386572185987582,0.1542,0.028697457457457456,0.1694032392177241,0.5706341899157037,0.043367176516857,0.20824787277870813,24.668,460.22399999999993,21.452831980883083,0.951,0.2962501109971898,0.13311569908710646,4.2099801163673405,0.5356871595829915,0.7319065238013606
scripted_only,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\baselines\scripted_only_5m\robot\best_model.zip,agent_H1,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_1\hand\hand\best_model.zip,2026,100,1,454024514,1000,1000,True,-35.402225581191075,330.5898437534368,18.182129791458337,0.13717000000000001,0.019403094194194195,0.13929498983881006,0.5699021069109901,0.04203192600795507,0.20501689200637851,22.711,317.9153943943944,17.83018211893514,0.964,0.29051253967129376,0.13958535341771622,4.252817171573639,0.5736462907598272,0.7573944089837389
scripted_only,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\baselines\scripted_only_5m\robot\best_model.zip,agent_H1,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_1\hand\hand\best_model.zip,2026,100,2,1818751028,1000,1000,True,-34.60466649537152,349.49931851843604,18.69490086944662,0.14318999999999998,0.022800324224224223,0.15099776231528805,0.5673885625771228,0.04362246864038273,0.20885992588426994,23.189,369.59086986986995,19.224746288829664,0.964,0.29986879691084095,0.13274264051203627,4.214812258243561,0.5759834299361916,0.7589357218738564
scripted_only,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\baselines\scripted_only_5m\robot\best_model.zip,agent_H1,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_1\hand\hand\best_model.zip,2026,100,3,2288458700,1000,1000,True,-34.39624992275557,352.45102292498757,18.773678992807657,0.14721,0.024019735635635635,0.1549830172491026,0.571990185121079,0.04141699567290229,0.2035116597959495,23.872,398.9425585585586,19.97354646923171,0.963,0.29060809243870955,0.13740172244021148,4.24310146188736,0.5473598484355073,0.7398377176350955
scripted_only,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\baselines\scripted_only_5m\robot\best_model.zip,agent_H1,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_1\hand\hand\best_model.zip,2026,100,4,2115331525,1000,1000,True,-35.72682397872441,259.3639157327571,16.104779282335947,0.13487000000000002,0.018554938038038038,0.13621651162042742,0.5658470792251071,0.043225453112338184,0.20790731856367678,22.206,323.53309709709697,17.987025799089103,0.973,0.2973015904970157,0.13685133027787713,4.235623154163361,0.5832270947204787,0.7636930631611621
scripted_only,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\baselines\scripted_only_5m\robot\best_model.zip,agent_H1,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_1\hand\hand\best_model.zip,2026,100,5,2666256175,1000,1000,True,-34.850742834863794,367.21353458047577,19.162816457412408,0.13989,0.022646134034034034,0.15048632507319074,0.5663308880266624,0.04488763050773927,0.2118670113720852,22.782,367.6080840840841,19.1731083573865,0.958,0.30468702982213414,0.12898208215120335,4.188476266503334,0.6046937605648396,0.7776205762226457
scripted_only,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\baselines\scripted_only_5m\robot\best_model.zip,agent_H1,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_1\hand\hand\best_model.zip,2026,100,6,975381835,1000,1000,True,-34.28826176166468,407.5435857638903,20.18770877945019,0.14477,0.025078025125125122,0.1583604279014335,0.561883480086196,0.042186111389492374,0.20539257871084918,23.651,403.04824724724733,20.076061547207093,0.956,0.2952867874247321,0.14282973248907188,4.240380868315697,0.5411484855170917,0.7356279531917556
scripted_only,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\baselines\scripted_only_5m\robot\best_model.zip,agent_H1,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_1\hand\hand\best_model.zip,2026,100,7,2535166222,1000,1000,True,-34.69436490258825,352.7078208520302,18.780517054970296,0.14426999999999998,0.02445251961961962,0.15637301435867898,0.5737651956223171,0.04360464747259606,0.20881725856019676,23.234,402.46971371371365,20.061647831464732,0.964,0.3002401977792097,0.12599460659847328,4.1858537474870685,0.5789016764260477,0.7608558841370997
scripted_only,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\baselines\scripted_only_5m\robot\best_model.zip,agent_H1,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_1\hand\hand\best_model.zip,2026,100,8,1079577930,1000,1000,True,-33.176573115465715,480.05898748000254,21.910248457742384,0.15713,0.030107570670670672,0.17351533266737748,0.5669930333310358,0.04491709398499788,0.21193653291728135,25.272,485.77579179179185,22.04032195299769,0.948,0.2967512759281245,0.13625569074083968,4.223810829877854,0.5679742683367962,0.7536406758773018
scripted_only,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\baselines\scripted_only_5m\robot\best_model.zip,agent_H1,learned,logs/league_zpd35_55_noid_warm_entropy_10iter_r5m_h1m_gru_noaux\iteration_1\hand\hand\best_model.zip,2026,100,9,3715024065,1000,1000,True,-34.673962835756406,376.5054243994185,19.403747689542307,0.14237,0.024532015115115116,0.15662699357107993,0.568553737950401,0.04213945990559004,0.20527898067164607,23.09,393.95585585585576,19.848321235204143,0.962,0.298610479367834,0.13283578268176502,4.200531583309173,0.5574772021973721,0.7466439594595085
