iteration,timesteps,progress,pool_size,recent_tis_mean,recent_zpd_coverage_mean,recent_episode_length_mean,recent_too_close_rate_mean,recent_too_far_rate_mean,dominant_opponent,dominant_prob,dominant_ratio_vs_uniform
1,3010000,1.0,0,0.40090000000000003,0.5033851088489064,63.95,0.44187820564724695,0.05473668550384613,,,
2,3010000,1.0,2,0.2615500000000002,0.564110147081717,38.9,0.3864281784953109,0.04946167442297227,H1,0.8,1.6
3,3010000,1.0,3,0.3666000000000001,0.5954868541324002,49.965,0.35651060052366423,0.04800254534393548,H1,0.5449667405764966,1.63490022172949
4,3010000,1.0,4,0.3674,0.6159254661202769,52.12,0.3410319757009054,0.04304255817881768,H3,0.3452861501902525,1.38114460076101
5,3010000,1.0,5,0.3815999999999999,0.5521713858641869,58.935,0.4080927594618589,0.03973585467395377,H4,0.26421122837800787,1.3210561418900393
6,3010000,1.0,6,0.3286999999999999,0.5865806461370547,48.78,0.3450499061218345,0.06836944774111023,H4,0.2079090369828389,1.2474542218970335
7,3010000,1.0,7,0.34729999999999994,0.5872835014701527,51.405,0.36135726246023325,0.05135923606961417,Scripted,0.20000000000000004,1.4000000000000004
