iteration,timesteps,iteration_progress,opponent_index,opponent,probability,pool_size,uniform_probability,preference_ratio,opponent_age
2,10000,0.0033333333333333335,0,Scripted,0.2,2,0.5,0.4,
2,10000,0.0033333333333333335,1,H1,0.8,2,0.5,1.6,0
2,20000,0.006666666666666667,0,Scripted,0.2,2,0.5,0.4,
2,20000,0.006666666666666667,1,H1,0.8,2,0.5,1.6,0
2,30000,0.01,0,Scripted,0.2,2,0.5,0.4,
2,30000,0.01,1,H1,0.8,2,0.5,1.6,0
2,40000,0.013333333333333334,0,Scripted,0.2,2,0.5,0.4,
2,40000,0.013333333333333334,1,H1,0.8,2,0.5,1.6,0
2,50000,0.016666666666666666,0,Scripted,0.2,2,0.5,0.4,
2,50000,0.016666666666666666,1,H1,0.8,2,0.5,1.6,0
2,60000,0.02,0,Scripted,0.2,2,0.5,0.4,
2,60000,0.02,1,H1,0.8,2,0.5,1.6,0
2,70000,0.023333333333333334,0,Scripted,0.2,2,0.5,0.4,
2,70000,0.023333333333333334,1,H1,0.8,2,0.5,1.6,0
2,80000,0.02666666666666667,0,Scripted,0.2,2,0.5,0.4,
2,80000,0.02666666666666667,1,H1,0.8,2,0.5,1.6,0
2,90000,0.03,0,Scripted,0.2,2,0.5,0.4,
2,90000,0.03,1,H1,0.8,2,0.5,1.6,0
2,100000,0.03333333333333333,0,Scripted,0.2,2,0.5,0.4,
2,100000,0.03333333333333333,1,H1,0.8,2,0.5,1.6,0
2,110000,0.03666666666666667,0,Scripted,0.2,2,0.5,0.4,
2,110000,0.03666666666666667,1,H1,0.8,2,0.5,1.6,0
2,120000,0.04,0,Scripted,0.2,2,0.5,0.4,
2,120000,0.04,1,H1,0.8,2,0.5,1.6,0
2,130000,0.043333333333333335,0,Scripted,0.2,2,0.5,0.4,
2,130000,0.043333333333333335,1,H1,0.8,2,0.5,1.6,0
2,140000,0.04666666666666667,0,Scripted,0.2,2,0.5,0.4,
2,140000,0.04666666666666667,1,H1,0.8,2,0.5,1.6,0
2,150000,0.05,0,Scripted,0.2,2,0.5,0.4,
2,150000,0.05,1,H1,0.8,2,0.5,1.6,0
2,160000,0.05333333333333334,0,Scripted,0.2,2,0.5,0.4,
2,160000,0.05333333333333334,1,H1,0.8,2,0.5,1.6,0
