opponent,sampled_episodes,mean_tis,mean_zpd_coverage,mean_too_close_rate,mean_too_far_rate,tis_ge_0_4_rate,robot_caught,robot_out
Scripted,2795,0.19146690518783546,0.3972109879816749,0.49384266172873365,0.10894635028959151,0.2003577817531306,2117,98
H1,1482,0.21545883940620783,0.5725764506233729,0.35385617471992187,0.07356737465670528,0.1282051282051282,1368,19
H2,478,0.5318828451882845,0.6824030127303213,0.2745196119666937,0.04307737530298494,0.5376569037656904,215,10
H3,566,0.217208480565371,0.5704042710741316,0.35952501622187955,0.07007071270398899,0.11130742049469965,545,6
H4,434,0.19394009216589866,0.5463217358144908,0.3730078394700992,0.08067042471540996,0.04838709677419355,425,7
H5,204,0.21573529411764705,0.5734673694733257,0.3567222035508649,0.06981042697580948,0.09803921568627451,200,4
H6,101,0.2549504950495049,0.6347373105280005,0.27497974987783763,0.0902829395941618,0.0891089108910891,99,1
