trial_index,trial_seed,episodes,reward_mean,reward_std,tiz_mean,tiz_std,zpd_coverage_mean,zpd_coverage_std,episode_length_mean,episode_length_std,catch_rate,oob_rate,boundary_occupancy_mean,boundary_occupancy_std,min_clearance_mean,min_clearance_std,min_clearance_p05,too_close_rate,too_far_rate,avg_distance_mean,avg_distance_std,test_name,test_type
0,479243620,1000,-47.64174797827596,7.116679266488659,0.16109,0.10691371494079908,0.5353180823650785,0.14801178388044753,29.423,17.53869084842642,0.995,0.0,0.025989679119979802,0.05061191218805097,0.5502332686109503,0.21013488182485637,0.1403462991561189,0.40438584345235795,0.060296074182563546,3.799764303284072,0.5570581037163509,scripted_hand,scripted
1,454024514,1000,-47.14525885797233,8.449019308827005,0.16134000000000004,0.11341369876283494,0.5315399176684672,0.14392763322648885,29.499,17.632609220075963,0.991,0.0,0.024814992870958483,0.05395755992368985,0.556518861730451,0.21637020141513058,0.1346494357898824,0.41053257663687354,0.05792750569465924,3.785441039747209,0.5505271526725721,scripted_hand,scripted
2,1818751028,1000,-48.04181721028875,7.822861279431947,0.15375,0.10680001752688874,0.5211853506394232,0.14625830198250508,28.822,17.892357375495617,0.994,0.0,0.026615573632499546,0.054630944798243986,0.5580221984489105,0.21129907213641685,0.13446075501752056,0.41776713781390795,0.06104751154666891,3.7758696147245074,0.5563510804579072,scripted_hand,scripted
3,2288458700,1000,-47.24988241383732,6.906244202995105,0.15988,0.11042997953626714,0.5299015275384725,0.15207868814714212,29.088,17.525449991295442,0.994,0.0,0.02746559933101509,0.06070758397008435,0.5513032469643417,0.21798663593942802,0.11838435128716325,0.41368146052787247,0.05641701193365495,3.7598520969410045,0.534908651471144,scripted_hand,scripted
4,2115331525,1000,-47.50177597817729,8.120612309779917,0.16443000000000002,0.11373834670642752,0.5345010367887665,0.14111589903149757,29.954,18.31462009732414,0.994,0.0,0.024051146593263576,0.0482932372993454,0.5559013387169032,0.21255388394853383,0.1336208815938675,0.4045081757844199,0.06099078742681365,3.7996108617513817,0.5329651503493906,scripted_hand,scripted
5,2666256175,1000,-47.75379085300252,7.5041623832453626,0.16171000000000005,0.11006948346926677,0.5295707641086629,0.14722266694698563,29.926,18.59554565798805,0.991,0.0,0.02414591279768743,0.046709493140781724,0.5488676286635361,0.21162150598509238,0.12506255043206932,0.4147690783857568,0.05566015750558033,3.76485581903024,0.5253368494780224,scripted_hand,scripted
6,975381835,1000,-47.253181593266916,7.635108784716378,0.15606,0.11184178550517236,0.52632181213683,0.1510184552792585,28.568,18.074735740034267,0.992,0.0,0.027039227057819075,0.0566143963477354,0.5572034018136013,0.21229802364249856,0.12509803893030094,0.41569043711956527,0.057987750743604655,3.773969743843002,0.5494551703487046,scripted_hand,scripted
7,2535166222,1000,-47.81380810504817,7.422341423967764,0.15760000000000002,0.11071991193502143,0.5234237435257609,0.15010185981232368,29.273,17.99500739903408,0.994,0.0,0.02825335394884975,0.05592522733074738,0.5461620490590936,0.21480224436377257,0.12088091302985526,0.42051415898784267,0.05606209748639631,3.756724416604212,0.5696502354201121,scripted_hand,scripted
8,1079577930,1000,-47.46913203662912,7.245225690389533,0.15674000000000002,0.10677065314201452,0.531279438861593,0.14251931299170942,28.825,17.647544044733557,0.992,0.0,0.026983163900383397,0.051994058920833724,0.5505081276233554,0.21836864677796847,0.11635844212151172,0.4105844164919913,0.0581361446464157,3.775075141781225,0.5317090425355108,scripted_hand,scripted
9,3715024065,1000,-47.814544619652416,7.8327341809471625,0.15898,0.11189405649935066,0.5257897501541435,0.14622302874772125,29.331,18.226838910152704,0.995,0.0,0.027910527716587624,0.06149781428185386,0.5479507287044483,0.21483144906361915,0.12695854352664765,0.4160449777080213,0.05816527213783504,3.7662846383718662,0.5219834390026692,scripted_hand,scripted
