trial_index,trial_seed,episodes,reward_mean,reward_std,tiz_mean,tiz_std,zpd_coverage_mean,zpd_coverage_std,episode_length_mean,episode_length_std,catch_rate,too_close_rate,too_far_rate,avg_distance_mean,avg_distance_std,test_name,test_type
0,479243620,100,-38.89600831168388,5.8654573191135615,0.08520000000000003,0.04700053728470032,0.45817487386088174,0.17494254899034134,18.2,7.876573115283324,1.0,0.39186372125574404,0.14996140488337426,4.17163750048149,0.8632255324538566,scripted_hand,scripted
1,454024514,100,-38.490878281753815,6.059612659278807,0.0883,0.0428776742547325,0.4768012160442602,0.17013454252227134,18.44,5.551085070015182,1.0,0.3812728451098858,0.14192593884585403,4.154481100911345,0.7869780753147273,scripted_hand,scripted
2,1818751028,100,-38.94786752153575,6.559103489330139,0.0891,0.05376895954080764,0.48243830807666915,0.16816270302696057,18.9,10.591115010786975,1.0,0.3973117517618471,0.12024994016148374,4.00486334524857,0.6880971183478215,scripted_hand,scripted
3,2288458700,100,-38.024394255778546,5.940200797217679,0.09230000000000002,0.04863500422909035,0.4876130471340014,0.15704798195772401,18.6,6.5149400952306875,1.0,0.38873692938347537,0.12365002348252313,4.01858072422535,0.6797584423723876,scripted_hand,scripted
4,2115331525,100,-38.36118293029513,5.585365196547102,0.09590000000000001,0.058828547320140236,0.47308772617130534,0.14853951306059868,20.23,10.479277290216752,1.0,0.3942055272646507,0.13270674656404405,4.057641573350402,0.6837795685271447,scripted_hand,scripted
5,2666256175,100,-39.5436286266819,6.155680968305093,0.0873,0.048301556952549715,0.45276490329874514,0.14366036751473601,19.62,9.347154269043221,1.0,0.37919100212746826,0.16804409457378658,4.221230195505783,0.756330709685203,scripted_hand,scripted
6,975381835,100,-38.62645040862275,6.094745449766776,0.0913,0.04912682001152165,0.45298715960912117,0.17204517254385998,19.84,8.119959197787718,1.0,0.39041272923633863,0.15660011115454026,4.177122455522715,0.7803904826678175,scripted_hand,scripted
7,2535166222,100,-37.78377885353904,6.140072481600524,0.09350000000000003,0.05977018276260119,0.4937979617120575,0.16275247216236066,18.52,9.019037105092222,1.0,0.38542876510216906,0.12077327318577348,4.075954521468888,0.7765136952550428,scripted_hand,scripted
8,1079577930,100,-38.532748041542305,5.101416328560607,0.0857,0.03869734937285561,0.4765486763019448,0.13512325973554162,17.94,5.55381386840147,1.0,0.3771262795633777,0.1463250441346774,4.147860158003631,0.7087045155646202,scripted_hand,scripted
9,3715024065,100,-39.63708685441627,5.426690040128376,0.0837,0.05028514651063432,0.4403874623715833,0.1630212889261387,18.82,9.676985088551104,1.0,0.421967631481999,0.13764490614641767,4.025535295945924,0.7919753719236361,scripted_hand,scripted
0,479243620,100,-26.01211661091179,26.561809023292724,0.22990000000000005,0.20779989889265582,0.5078430539243209,0.19897697370003153,40.76,29.16830991041996,0.91,0.38161652163101883,0.11054042444466024,4.138851407767454,0.7131991678790215,agent_H1,learned
1,454024514,100,-26.75125351810755,25.261958894972125,0.2364,0.19214640882473558,0.511735360469822,0.1659367671814718,44.04,28.95099307450437,0.9,0.38763814495445637,0.10062649457572168,4.096035232169765,0.6846618193273152,agent_H1,learned
2,1818751028,100,-26.145116845803194,25.92027843445211,0.2366999999999999,0.20410462260737008,0.5370366309506523,0.1543831047707315,41.96,29.811840912393496,0.93,0.35483487646316236,0.10812849258618532,4.179039980270628,0.6283779974513556,agent_H1,learned
3,2288458700,100,-29.24061175353427,23.962225731486907,0.22,0.19260573640722567,0.5008450153907981,0.17286716049787443,41.4,28.355606218883842,0.93,0.39207108699277116,0.10708389761643065,4.106202448977938,0.6750355453250139,agent_H1,learned
4,2115331525,100,-25.996024546799912,26.653974045105073,0.2322,0.19706728584804523,0.5372896505010322,0.172006404285874,40.39,26.178445524916295,0.92,0.3431924424496888,0.11951790704927914,4.238841214111236,0.6667822682965892,agent_H1,learned
5,2666256175,100,-27.793428545960623,27.45217522701807,0.20300000000000004,0.1941128485695833,0.5035568631650206,0.1848725478624096,37.63,28.022233236406333,0.89,0.39155397239468676,0.10488916444029271,4.057443561714702,0.7217073345156537,agent_H1,learned
6,975381835,100,-29.802567243849495,22.237967261454326,0.20920000000000002,0.1695727250795631,0.5123419406582312,0.15064351123212874,39.58,25.81995939249911,0.93,0.36077644683843585,0.126881612503333,4.2265911545337875,0.7224912236614448,agent_H1,learned
7,2535166222,100,-25.855112908344864,24.387239066193757,0.2396,0.1974326122089164,0.5262004329698826,0.16665320903322636,42.87,29.07519161891745,0.91,0.362911464929451,0.11088810210066635,4.1407436606857795,0.6649800232634192,agent_H1,learned
8,1079577930,100,-23.4099376891929,26.702944563915697,0.24880000000000002,0.20120485565560772,0.5489067353142949,0.14863087914695258,42.77,29.527886152009945,0.89,0.33162519332829843,0.11946807135740674,4.239403439126153,0.6383990673167405,agent_H1,learned
9,3715024065,100,-27.952141663603033,25.057127862223858,0.21739999999999995,0.1878244398421574,0.5221633201405649,0.17345191630834736,39.68,27.782663004765467,0.92,0.3650656503309472,0.1127710295284881,4.216574145332423,0.7504201640504277,agent_H1,learned
