iteration,timesteps,iteration_progress,opponent_index,opponent,probability,pool_size,uniform_probability
2,570000,0.285,0,Scr,0.2,2,0.5
2,570000,0.285,1,H1,0.8,2,0.5
2,580000,0.29,0,Scr,0.2,2,0.5
2,580000,0.29,1,H1,0.8,2,0.5
2,590000,0.295,0,Scr,0.2,2,0.5
2,590000,0.295,1,H1,0.8,2,0.5
2,600000,0.3,0,Scr,0.2,2,0.5
2,600000,0.3,1,H1,0.8,2,0.5
2,610000,0.305,0,Scr,0.2,2,0.5
2,610000,0.305,1,H1,0.8,2,0.5
2,620000,0.31,0,Scr,0.2,2,0.5
2,620000,0.31,1,H1,0.8,2,0.5
2,630000,0.315,0,Scr,0.2,2,0.5
2,630000,0.315,1,H1,0.8,2,0.5
2,640000,0.32,0,Scr,0.2,2,0.5
2,640000,0.32,1,H1,0.8,2,0.5
2,650000,0.325,0,Scr,0.2,2,0.5
2,650000,0.325,1,H1,0.8,2,0.5
2,660000,0.33,0,Scr,0.2,2,0.5
2,660000,0.33,1,H1,0.8,2,0.5
2,670000,0.335,0,Scr,0.2,2,0.5
2,670000,0.335,1,H1,0.8,2,0.5
2,680000,0.34,0,Scr,0.2,2,0.5
2,680000,0.34,1,H1,0.8,2,0.5
2,690000,0.345,0,Scr,0.2,2,0.5
2,690000,0.345,1,H1,0.8,2,0.5
2,700000,0.35,0,Scr,0.2,2,0.5
2,700000,0.35,1,H1,0.8,2,0.5
2,710000,0.355,0,Scr,0.2,2,0.5
2,710000,0.355,1,H1,0.8,2,0.5
2,720000,0.36,0,Scr,0.2,2,0.5
2,720000,0.36,1,H1,0.8,2,0.5
2,730000,0.365,0,Scr,0.2,2,0.5
2,730000,0.365,1,H1,0.8,2,0.5
2,740000,0.37,0,Scr,0.2,2,0.5
2,740000,0.37,1,H1,0.8,2,0.5
2,750000,0.375,0,Scr,0.2,2,0.5
2,750000,0.375,1,H1,0.8,2,0.5
2,760000,0.38,0,Scr,0.2,2,0.5
2,760000,0.38,1,H1,0.8,2,0.5
2,770000,0.385,0,Scr,0.2,2,0.5
2,770000,0.385,1,H1,0.8,2,0.5
2,780000,0.39,0,Scr,0.2,2,0.5
2,780000,0.39,1,H1,0.8,2,0.5
2,790000,0.395,0,Scr,0.2,2,0.5
2,790000,0.395,1,H1,0.8,2,0.5
2,800000,0.4,0,Scr,0.2,2,0.5
2,800000,0.4,1,H1,0.8,2,0.5
2,810000,0.405,0,Scr,0.2,2,0.5
2,810000,0.405,1,H1,0.8,2,0.5
2,820000,0.41,0,Scr,0.2,2,0.5
2,820000,0.41,1,H1,0.8,2,0.5
2,830000,0.415,0,Scr,0.2,2,0.5
2,830000,0.415,1,H1,0.8,2,0.5
2,840000,0.42,0,Scr,0.2,2,0.5
2,840000,0.42,1,H1,0.8,2,0.5
2,850000,0.425,0,Scr,0.2,2,0.5
2,850000,0.425,1,H1,0.8,2,0.5
2,860000,0.43,0,Scr,0.2,2,0.5
2,860000,0.43,1,H1,0.8,2,0.5
2,870000,0.435,0,Scr,0.2,2,0.5
2,870000,0.435,1,H1,0.8,2,0.5
2,880000,0.44,0,Scr,0.2,2,0.5
2,880000,0.44,1,H1,0.8,2,0.5
2,890000,0.445,0,Scr,0.2,2,0.5
2,890000,0.445,1,H1,0.8,2,0.5
2,900000,0.45,0,Scr,0.2,2,0.5
2,900000,0.45,1,H1,0.8,2,0.5
2,910000,0.455,0,Scr,0.2,2,0.5
2,910000,0.455,1,H1,0.8,2,0.5
2,920000,0.46,0,Scr,0.2,2,0.5
2,920000,0.46,1,H1,0.8,2,0.5
2,930000,0.465,0,Scr,0.2,2,0.5
2,930000,0.465,1,H1,0.8,2,0.5
2,940000,0.47,0,Scr,0.2,2,0.5
2,940000,0.47,1,H1,0.8,2,0.5
2,950000,0.475,0,Scr,0.2,2,0.5
2,950000,0.475,1,H1,0.8,2,0.5
2,960000,0.48,0,Scr,0.2,2,0.5
2,960000,0.48,1,H1,0.8,2,0.5
2,970000,0.485,0,Scr,0.2,2,0.5
2,970000,0.485,1,H1,0.8,2,0.5
2,980000,0.49,0,Scr,0.2,2,0.5
2,980000,0.49,1,H1,0.8,2,0.5
2,990000,0.495,0,Scr,0.2,2,0.5
2,990000,0.495,1,H1,0.8,2,0.5
2,1000000,0.5,0,Scr,0.2,2,0.5
2,1000000,0.5,1,H1,0.8,2,0.5
2,1010000,0.505,0,Scr,0.2,2,0.5
2,1010000,0.505,1,H1,0.8,2,0.5
2,1020000,0.51,0,Scr,0.2,2,0.5
2,1020000,0.51,1,H1,0.8,2,0.5
2,1030000,0.515,0,Scr,0.2,2,0.5
2,1030000,0.515,1,H1,0.8,2,0.5
2,1040000,0.52,0,Scr,0.2,2,0.5
2,1040000,0.52,1,H1,0.8,2,0.5
2,1050000,0.525,0,Scr,0.2,2,0.5
2,1050000,0.525,1,H1,0.8,2,0.5
2,1060000,0.53,0,Scr,0.2,2,0.5
2,1060000,0.53,1,H1,0.8,2,0.5
2,1070000,0.535,0,Scr,0.2,2,0.5
2,1070000,0.535,1,H1,0.8,2,0.5
2,1080000,0.54,0,Scr,0.2,2,0.5
2,1080000,0.54,1,H1,0.8,2,0.5
2,1090000,0.545,0,Scr,0.2,2,0.5
2,1090000,0.545,1,H1,0.8,2,0.5
2,1100000,0.55,0,Scr,0.2,2,0.5
2,1100000,0.55,1,H1,0.8,2,0.5
2,1110000,0.555,0,Scr,0.2,2,0.5
2,1110000,0.555,1,H1,0.8,2,0.5
2,1120000,0.56,0,Scr,0.2,2,0.5
2,1120000,0.56,1,H1,0.8,2,0.5
2,1130000,0.565,0,Scr,0.2,2,0.5
2,1130000,0.565,1,H1,0.8,2,0.5
2,1140000,0.57,0,Scr,0.2,2,0.5
2,1140000,0.57,1,H1,0.8,2,0.5
2,1150000,0.575,0,Scr,0.2,2,0.5
2,1150000,0.575,1,H1,0.8,2,0.5
2,1160000,0.58,0,Scr,0.2,2,0.5
2,1160000,0.58,1,H1,0.8,2,0.5
