step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1785927041.7958117,3.0081719160079956e-07,,,False,,,,,False,False,False,,3.01190185546875,4.666158676147461,7.4994940757751465,5.000100135803223,,,4.5,True,2.475399523973465,0.2706659138202667,-0.41069597005844116,0.49186503887176514,0.0,0.0,784.5779418945312,498.1859436035156,784.5779418945312,498.1859436035156,False,False,-0.22709957217427046,-0.5227331847645613,0.11400118641900331,False,,False,caught
1,1785927041.8384564,0.04342570062726736,0.04342539981007576,23.02799754000136,False,,,,,False,False,False,,3.1119017601013184,4.765771389007568,7.50881814956665,4.983956813812256,,,4.402326583862305,True,1.8848003819584846,-0.2020459771156311,-1.0,1.020207166671753,0.2706659138202667,-0.41069597005844116,756.7351684570312,460.68408203125,756.7351684570312,460.68408203125,False,True,-0.22626999298348444,-0.5223222596413418,0.11403098650814716,False,,False,caught
2,1785927041.8845983,0.0901356004178524,0.04670989979058504,21.408737858212284,False,,,,,False,False,False,,3.2119016647338867,4.865771293640137,7.564804553985596,4.884798526763916,,,4.352944374084473,True,1.6523003578186035,-0.22460225224494934,-1.0,1.024912714958191,-0.2020459771156311,-1.0,761.171875,450.5752868652344,761.171875,450.5752868652344,False,True,-0.22121662860768437,-0.5197575221219888,0.1139904096075642,False,,False,caught
3,1785927041.9306962,0.13622840028256178,0.04609279986470938,21.695362463013293,False,,,,,False,False,False,,3.311901569366455,4.908964157104492,7.547858238220215,4.757771015167236,,,4.238654136657715,True,1.9178008660674095,-0.10528557747602463,-1.0,1.0055272579193115,-0.22460225224494934,-1.0,766.4674682617188,436.08001708984375,766.4674682617188,436.08001708984375,False,True,-0.2181086998855863,-0.5139050463742859,0.113995335655728,False,,False,caught
4,1785927041.9768863,0.18141870014369488,0.0451902998611331,22.128642719188324,False,,,,,False,False,False,,3.4119014739990234,5.003905296325684,7.4885077476501465,4.572159767150879,,,4.099405288696289,True,1.9093994051218033,-0.01446070522069931,-1.0,1.000104546546936,-0.10528557747602463,-1.0,765.934814453125,416.2889099121094,765.934814453125,416.2889099121094,False,True,-0.21487708426536056,-0.50433364628902,0.11377218271809256,False,,False,caught
5,1785927042.0235145,0.2280709007754922,0.046652200631797314,21.435216055347617,False,,,,,False,False,False,,3.511901378631592,4.987815856933594,7.470956802368164,4.414337158203125,,,4.000374794006348,True,1.7288001254200935,0.04977361112833023,-1.0,1.0012379884719849,-0.01446070522069931,-1.0,768.0802612304688,399.8202819824219,768.0802612304688,399.8202819824219,False,True,-0.2108630534580614,-0.4971239418652113,0.1139035318540175,False,,False,caught
6,1785927042.0688493,0.27431580051779747,0.04624489974230528,21.62400622711677,False,,,,,False,False,False,,3.61190128326416,5.015140056610107,7.469923496246338,4.248783588409424,,,3.9334003925323486,True,1.6940999776124954,0.11641208082437515,-1.0,1.0067530870437622,0.04977361112833023,-1.0,772.0245361328125,382.8143005371094,772.0245361328125,382.8143005371094,False,True,-0.2059748432424988,-0.4900421397248967,0.11375364104695326,False,,False,caught
7,1785927042.1155345,0.32054350059479475,0.04622770007699728,21.632051742448592,False,,,,,False,False,False,,3.7119011878967285,4.9337239265441895,7.484620571136475,4.078853607177734,,,3.868360757827759,True,1.792299561202526,0.16557365655899048,-1.0,1.0136146545410156,0.11641208082437515,-1.0,776.4613647460938,365.4284362792969,776.4613647460938,365.4284362792969,False,True,-0.20033713534518957,-0.4832066353707825,0.11386217505332047,False,,False,caught
8,1785927042.1606758,0.3662480004131794,0.04570449981838465,21.87968370671786,False,,,,,False,False,False,,3.811901092529297,4.972517013549805,7.499831676483154,3.9339447021484375,,,3.831378936767578,True,1.7737997695803642,0.22917625308036804,-1.0,1.025924801826477,0.16557365655899048,-1.0,781.7075805664062,350.98638916015625,781.7075805664062,350.98638916015625,False,True,-0.19541248744522327,-0.47743807438957264,0.11379649541870959,False,,False,caught
9,1785927042.206916,0.4124488001689315,0.04620079975575209,21.644646960369947,False,,,,,False,False,False,,3.9119009971618652,4.916275501251221,7.5265727043151855,3.7655882835388184,,,3.7934064865112305,True,2.2395001724362373,0.25737619400024414,-1.0,1.0325901508331299,0.22917625308036804,-1.0,786.03515625,333.7382507324219,786.03515625,333.7382507324219,False,True,-0.18932436655368787,-0.4709786562119215,0.11389500726149533,False,,False,caught
10,1785927042.252356,0.4583994001150131,0.04595059994608164,21.762501494504935,False,,,,,False,False,False,,4.011900901794434,4.886824131011963,7.5648651123046875,3.600607395172119,,,3.778611898422241,True,1.565299928188324,0.29988032579421997,-1.0,1.0439962148666382,0.25737619400024414,-1.0,792.2903442382812,317.1135559082031,792.2903442382812,317.1135559082031,False,True,-0.18287176657366402,-0.4649782410821663,0.11384442461943975,False,,False,caught
