group,label,episodes,last_timestep,last_timestep_m,reward_all_mean,reward_all_std,reward_last10_mean,reward_last10_std,reward_last1000_mean,reward_last1000_std,episode_length_all_mean,episode_length_all_std,episode_length_last10_mean,episode_length_last10_std,episode_length_last1000_mean,episode_length_last1000_std,zpd_steps_all_mean,zpd_steps_all_std,zpd_steps_last10_mean,zpd_steps_last10_std,zpd_steps_last1000_mean,zpd_steps_last1000_std,zpd_coverage_all_mean,zpd_coverage_all_std,zpd_coverage_last10_mean,zpd_coverage_last10_std,zpd_coverage_last1000_mean,zpd_coverage_last1000_std,workspace_coverage_all_mean,workspace_coverage_all_std,workspace_coverage_last10_mean,workspace_coverage_last10_std,workspace_coverage_last1000_mean,workspace_coverage_last1000_std
1_MLP,MLP,351777,8003540,8.00354,-42.71152308907971,8.014755337487808,-42.94481247398297,9.886370160579544,-41.39740460127592,6.642179659085731,22.751700651264862,17.9158522434111,27.579055091250215,21.031891461835436,27.696,21.29989633777592,15.102681590566721,14.702494233667439,18.46827570276067,16.9587335649907,18.180000069964677,17.372610595638005,0.5620972215532084,0.24771436765198931,0.5976964258571642,0.22227915967127654,0.5745267972387373,0.2178817963977577,0.2505702337938057,0.24204447508713428,0.2973765608212772,0.28836255569515606,0.2839752237298835,0.27970013049389797
2_GRU_Seq,GRU,281648,8003572,8.003572,-38.952430486109144,14.502407338377166,-35.55667421205204,17.662992755589745,-35.131499325100336,17.419045493546424,28.416697437936715,26.481379936445585,36.12167583880703,32.22013313317449,35.828,32.639828676020954,18.258301205078237,18.934873899515797,22.079105327113968,22.073403440667544,22.298000043980778,23.07043981614502,0.5784734995190809,0.22326951501886025,0.5642623552997985,0.19920931773372413,0.5636786261983215,0.20811001808886512,0.29427439292509916,0.2879533868951517,0.34727570693178633,0.34812989308105463,0.33336857164519096,0.3485797241051221
3_GRU_Aux,GRU + Aux,286669,8003376,8.003376,-39.37130234569214,13.977440439743413,-35.38828867376683,17.82692900694682,-39.0472632987611,17.28883681935739,27.918327408962952,25.831136153102744,35.92374507273171,32.31981632561707,32.435,28.476793622175933,17.549093267703476,17.907642112590125,21.960965623900883,22.08955920650319,20.021000070281328,19.675633597547527,0.567345691929393,0.22019996534372688,0.5620381693239531,0.19126388915495224,0.568454134196043,0.1926236065669211,0.2992405799261469,0.29145890693606374,0.34279786882579005,0.3474712877975402,0.3185132829225913,0.32329790772211886
