trial_index,trial_seed,episodes,reward_mean,reward_std,tiz_mean,tiz_std,zpd_coverage_mean,zpd_coverage_std,episode_length_mean,episode_length_std,catch_rate,too_close_rate,too_far_rate,avg_distance_mean,avg_distance_std,test_name,test_type
0,479243620,1000,-38.83462447571609,6.250464814799236,0.08973000000000002,0.04981474288409615,0.46415980688885666,0.17007340766269824,19.217,8.290636021780575,1.0,0.3898132757559736,0.1460269173551697,4.134203341881844,0.8211479129246669,scripted_hand,scripted
1,454024514,1000,-38.55968904558202,6.128725852099975,0.09046000000000001,0.05169391318773092,0.4729527551839288,0.16341670800202826,18.86,8.22399136879618,1.0,0.388797251210424,0.13824999360564721,4.100207890389558,0.7808493258925211,scripted_hand,scripted
2,1818751028,1000,-38.86461759059818,5.923329620398929,0.08722000000000002,0.04963199507308703,0.4631205950533629,0.16554315268645056,18.597,7.758916921310074,1.0,0.39068261739532295,0.14619678755131424,4.141126980007275,0.791113441912832,scripted_hand,scripted
3,2288458700,1000,-38.63131035384923,6.261964705330278,0.08881,0.04936315043248983,0.4685688848637867,0.16727932570221538,18.655,7.433520850326057,1.0,0.395554143724603,0.13587697141161023,4.080654263320038,0.7744601361885909,scripted_hand,scripted
4,2115331525,1000,-38.73360631069872,5.985235001821899,0.09068000000000001,0.04890326297016518,0.4735838815741374,0.1566322781266713,19.196,8.422738659517256,1.0,0.3797976395529754,0.1466184788728872,4.151790157920237,0.772081899283145,scripted_hand,scripted
5,2666256175,1000,-38.683335259382005,6.04594905706957,0.08929000000000002,0.049816438828739824,0.47002265512644575,0.1635547308527253,18.822,7.763413333488471,1.0,0.39151948863718894,0.1384578562363654,4.102434255696501,0.7689194926174695,scripted_hand,scripted
6,975381835,1000,-38.64145249019111,6.042566147063624,0.08945000000000002,0.051525259362300665,0.46920875638126114,0.16710407890477622,18.759,8.12212336078983,1.0,0.3895861678664967,0.14120507575224212,4.10868973950177,0.7837514410155284,scripted_hand,scripted
7,2535166222,1000,-38.93170864349447,6.05761607173063,0.08595000000000001,0.05065039943537428,0.459034001391977,0.16983589283913092,18.4,7.971169270536133,1.0,0.40740461355183916,0.1335613850561839,4.064920099458742,0.7925325544155754,scripted_hand,scripted
8,1079577930,1000,-38.50260152171523,5.929995044662981,0.08917000000000001,0.048488784912206886,0.47415348658231504,0.15803389992910494,18.566,7.543775749089613,1.0,0.3843083268065532,0.14153818661113177,4.124607136964621,0.7772763309165418,scripted_hand,scripted
9,3715024065,1000,-38.85277666380127,5.8629422765203625,0.08748000000000002,0.050815665220794184,0.46400684032163353,0.16143984659602423,18.564,8.084755238550347,1.0,0.3937263192822982,0.14226684039606824,4.098358769005526,0.7554770705278694,scripted_hand,scripted
10,2056590929,1000,-39.134359910089564,6.080423670255514,0.08665,0.046534320054589205,0.46218807475414464,0.1628879079767802,18.786,7.810967623490397,1.0,0.3868117584989963,0.15100016674685904,4.153023566508168,0.7964168888921302,scripted_hand,scripted
11,3339987600,1000,-38.7966466011616,6.322632023695789,0.08917000000000001,0.049971073714782314,0.46770183435890417,0.16320027213981092,18.931,8.469118310955691,1.0,0.3882568930689913,0.14404127257210453,4.124217052353256,0.7957361745120538,scripted_hand,scripted
12,1788010607,1000,-38.801792133249485,5.758059326478101,0.08678,0.04632037539978684,0.46589016686406376,0.16020457454755774,18.414,7.273892597056511,1.0,0.39387795698629025,0.14023187614964602,4.103601327113721,0.7896330954228756,scripted_hand,scripted
13,2859898362,1000,-38.68046833013046,6.5589859020766275,0.08854000000000002,0.05208628784412825,0.46716992253877015,0.17401070149295336,18.592,7.847108582982212,1.0,0.4003023091612037,0.13252776830002613,4.061929634701416,0.7706181213830786,scripted_hand,scripted
14,1908601667,1000,-38.66217990751421,6.225390600671415,0.08773000000000002,0.04869207346188923,0.4701768491448818,0.173463845310449,18.366,7.407085048040754,1.0,0.38879971061761087,0.14102344023750737,4.10209311764477,0.7645198535168747,scripted_hand,scripted
15,726301638,1000,-38.64877418760381,5.974673475152688,0.08774000000000001,0.047077688013630284,0.47406647855666584,0.1609173623454182,18.411,7.642282609501136,1.0,0.38938994668431587,0.1365435747590182,4.081260892145258,0.7316250623966032,scripted_hand,scripted
16,2584016318,1000,-38.6511627007482,6.13579378994806,0.09007000000000001,0.05118706101365086,0.46797110702243205,0.16439013609057843,18.897,7.9951431077444335,1.0,0.38702958501561235,0.1449993079619556,4.12766174752888,0.8004381029660439,scripted_hand,scripted
17,4074852312,1000,-38.761088308953816,6.045537942918763,0.08875000000000001,0.050859848841932516,0.4665832212203116,0.16654462560931996,18.707,8.375756939184917,1.0,0.39040389984060714,0.14301287893908124,4.105496623264824,0.7674923858121927,scripted_hand,scripted
18,3205241267,1000,-38.9426812171053,6.186796898327233,0.08782000000000002,0.04733167953799958,0.46459589666580436,0.16502471293627755,18.839,8.00632126386271,1.0,0.3972150053292796,0.13818909800491602,4.096237958296543,0.7703492173156055,scripted_hand,scripted
19,1304481603,1000,-38.89309686695185,5.976063484838314,0.08858,0.05176739768873324,0.46201351883951397,0.15969889505525067,18.912,8.632773643550534,1.0,0.3942037117868182,0.14378276937366782,4.115875859438041,0.7821576522641236,scripted_hand,scripted
0,479243620,1000,-32.960823705082724,19.32201580698334,0.17462,0.15526932782801683,0.48673180538917615,0.1691863894463444,34.6,25.68329479703941,0.949,0.40527325475665543,0.10799493985416839,4.041793070576516,0.7007917288475889,agent_H1,learned
1,454024514,1000,-32.658177334763636,18.834042451406564,0.17142000000000002,0.15372903504613636,0.4844828062251569,0.1679213063104896,33.963,25.583395809413986,0.941,0.3983471097920876,0.11717008398275558,4.089639389471866,0.7289337539204582,agent_H1,learned
