rank_input_order,horizon,velocity_window,action_grid,discount,effort_weight,smoothness_weight,collision_penalty,oob_penalty,boundary_band,boundary_barrier_weight,collision_buffer,collision_barrier_weight,safety_pass,score_mean_tiz,score_min_tiz,mean_catch_rate,mean_boundary_occupancy,scripted_tiz_mean,scripted_tiz_std,scripted_episode_length_mean,scripted_episode_length_std,scripted_catch_rate,scripted_oob_rate,scripted_boundary_occupancy_mean,scripted_min_clearance_mean,scripted_min_clearance_p05,scripted_too_close_rate,scripted_too_far_rate,scripted_avg_distance_mean,h1_tiz_mean,h1_tiz_std,h1_episode_length_mean,h1_episode_length_std,h1_catch_rate,h1_oob_rate,h1_boundary_occupancy_mean,h1_min_clearance_mean,h1_min_clearance_p05,h1_too_close_rate,h1_too_far_rate,h1_avg_distance_mean
1,4,3,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,8.0,1.0,4.0,False,0.2273,0.1639,0.9299999999999999,0.033300890023982184,0.1639,0.009758073580374341,26.16,0.650538238691625,1.0,0.0,0.037014593166749266,0.47818005938249275,0.08191595333801545,0.33360531456715203,0.0602339542744888,3.8826034730364594,0.2907,0.02531442276647844,47.379999999999995,0.5939696961966973,0.86,0.0,0.029587186881215102,0.4433214195382294,0.03741679327142565,0.381733176537131,0.04624867848613434,3.8172954085280986
2,4,3,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,8.0,1.0,8.0,False,0.22985,0.159,0.9,0.06956785917983713,0.159,0.008485281374238578,26.41,0.6646803743153531,1.0,0.0,0.07691736600524379,0.36098653502917627,0.03605682714710491,0.3568681469043662,0.05878951529426138,3.8642256718152277,0.30069999999999997,0.01796051224213833,51.370000000000005,0.014142135623733162,0.8,0.0,0.06221835235443047,0.2947819573557134,0.02073134065141425,0.4052309893103704,0.03982378421563908,3.770981735701222
3,4,3,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,12.0,1.0,4.0,False,0.21590000000000004,0.1589,0.915,0.016434969665929094,0.1589,0.014849242404917511,25.83,1.7394826817189049,1.0,0.0,0.01930026638003532,0.6008911331368223,0.040096058712461885,0.3413296312094909,0.06005605552557685,3.873864757107439,0.27290000000000003,0.019940411229460643,45.29,0.7212489168102756,0.8300000000000001,0.0,0.01356967295182287,0.5843842627775694,0.07311521356399509,0.38786796781301824,0.047455667839074483,3.8121196758987144
4,4,3,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,12.0,1.0,8.0,True,0.22845000000000001,0.1622,0.905,0.0342237367214745,0.1622,0.008768124086713186,27.0,0.8768124086713204,1.0,0.0,0.03694438998961433,0.4890634552466788,0.06737685669416818,0.3563447598547408,0.059569212992414786,3.864157775452184,0.2947,0.03775950211536164,50.3,3.733523804664972,0.81,0.0,0.031503083453334677,0.43608895255602453,0.07595056456131627,0.40802775508617745,0.046387506505285045,3.7806153929207222
5,4,5,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,8.0,1.0,4.0,False,0.21225,0.1625,0.925,0.0263908975735846,0.1625,0.006081118318204306,26.61,0.5515432893255079,0.99,0.0,0.027059889559560638,0.5291948205862314,0.11925063234892447,0.3428176679976715,0.06081976615771513,3.877566030926259,0.262,0.04553767670841371,41.7,4.864894654563448,0.86,0.0,0.025721905587608566,0.48748902182337334,0.04423280576988971,0.3641765919832266,0.049288895590316344,3.836128683505514
6,4,5,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,8.0,1.0,8.0,False,0.22415000000000002,0.16720000000000002,0.915,0.05811077932256171,0.16720000000000002,0.009616652224137066,28.54,0.650538238691625,1.0,0.0,0.05686809057758835,0.4183387793359903,0.17003072891372253,0.368145868196249,0.05759604111362543,3.8541595458235087,0.2811,0.047376154339498704,45.63,5.501290757631341,0.8300000000000001,0.0,0.05935346806753507,0.3311769836087739,0.03633140529723855,0.3775099235384254,0.049450374992322875,3.8346217369924434
7,4,5,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,12.0,1.0,4.0,False,0.2013,0.1496,0.9299999999999999,0.01446724904337111,0.1496,0.0059396969619670125,24.68,0.2262741699796954,1.0,0.0,0.014192014048280032,0.6717821493956694,0.24270345950587863,0.33736399665448147,0.06380067589547846,3.9108663763827813,0.253,0.03592102448427662,40.739999999999995,4.412346314604059,0.86,0.0,0.01474248403846219,0.6161758186987056,0.04674638261221329,0.3655202593997361,0.05102871138983467,3.837100159666164
8,4,5,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,12.0,1.0,8.0,False,0.21195,0.16349999999999998,0.925,0.033981019259069475,0.16349999999999998,0.009475230867899734,27.85,0.4101219330881989,1.0,0.0,0.03103625101721267,0.5280382064892711,0.21822414883145344,0.36319622971455573,0.05919174904064381,3.8660536109770387,0.2604,0.05374011537017758,41.95,5.529575028878802,0.8500000000000001,0.0,0.036925787500926274,0.4470311787540571,0.02183828146575907,0.3729076852464679,0.04947963952880837,3.8341429439182066
9,5,3,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,8.0,1.0,4.0,False,0.24045,0.1673,0.87,0.027936394500833985,0.1673,0.0032526911934581135,29.57,0.8061017305526645,0.99,0.0,0.02207199897664148,0.5162168567794888,0.08941039177376162,0.39494332367479223,0.05843263115775781,3.7892778212835525,0.3136,0.020930360723121818,52.41,1.1737972567696715,0.75,0.0,0.03380079002502649,0.4398178757764293,0.0401438276698999,0.39668364609923545,0.04088179915941419,3.766024917133442
10,5,3,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.01,0.03,120.0,240.0,1.0,8.0,1.0,8.0,False,0.23985,0.1779,0.855,0.06314164224801724,0.1779,0.004949747468305837,32.42,0.4808326112068521,0.97,0.0,0.0684793701083832,0.37041358073322084,0.08416369849770142,0.41904956073645305,0.05357617443979417,3.739278886301842,0.3018,0.023193102422918718,51.650000000000006,2.050609665440987,0.74,0.0,0.0578039143876513,0.3268774768034748,0.017639100577707144,0.4164379156549767,0.03899399758799036,3.7461908233839614
