robot_name,robot_label,test_name,condition_label,test_type,trials,episodes_per_trial,episodes,max_steps,tiz_mean,tiz_std,episode_length_mean,episode_length_std,zpd_coverage_mean,catch_rate,too_close_rate,too_far_rate,source_csv
reactive_apf,Reactive APF,scripted_hand,Scripted hand,scripted,20,1000,20000,100,0.08850350000000003,0.0013050036297590185,18.724549999999997,0.244596224741705,0.4673584366666598,1.0,0.39137403103867,0.1412675322946701,manuscripts\current_league_zpd35_55_noid_warm_entropy_10iter_final\table2_rerun_no_mouse_20x1000_20260728\apf_table2_results_20260728_191753.csv
reactive_apf,Reactive APF,agent_H1,Learned hand H1,learned,20,1000,20000,100,0.17021499999999998,0.005510947477998972,33.99185,0.8565310867864516,0.4843544359697054,0.9474500000000001,0.4041512054766887,0.11149435855360576,manuscripts\current_league_zpd35_55_noid_warm_entropy_10iter_final\table2_rerun_no_mouse_20x1000_20260728\apf_table2_results_20260728_191753.csv
scripted_only,SPC-only baseline,scripted_hand,Scripted hand,scripted,20,1000,20000,100,0.294522,0.008305399385181218,50.98434999999999,1.1663612004863666,0.5439794464141189,0.63005,0.38397133264127803,0.07204922094460313,manuscripts\current_league_zpd35_55_noid_warm_entropy_10iter_final\table2_rerun_no_mouse_20x1000_20260728\comparison_results_20260728_221646.csv
scripted_only,SPC-only baseline,agent_H1,Learned hand H1,learned,20,1000,20000,100,0.145526,0.006239388802725705,23.684349999999995,0.8787155862842924,0.5684420108519405,0.9598999999999999,0.2958453313046495,0.13571265784341013,manuscripts\current_league_zpd35_55_noid_warm_entropy_10iter_final\table2_rerun_no_mouse_20x1000_20260728\comparison_results_20260728_221646.csv
single_h1,Single-opponent baseline,scripted_hand,Scripted hand,scripted,20,1000,20000,100,0.10683200000000001,0.0027400242027359784,24.873649999999998,0.5619674344376381,0.3932422704356854,0.9357999999999999,0.5069730527719479,0.09978467679236672,manuscripts\current_league_zpd35_55_noid_warm_entropy_10iter_final\table2_rerun_no_mouse_20x1000_20260728\comparison_results_20260728_221646.csv
single_h1,Single-opponent baseline,agent_H1,Learned hand H1,learned,20,1000,20000,100,0.39813750000000003,0.007488809107068038,63.44615,1.0984179185010645,0.5246164225506964,0.5033,0.4263408703966721,0.049042707052631314,manuscripts\current_league_zpd35_55_noid_warm_entropy_10iter_final\table2_rerun_no_mouse_20x1000_20260728\comparison_results_20260728_221646.csv
league,League policy,scripted_hand,Scripted hand,scripted,20,1000,20000,100,0.348543,0.009672754519783907,59.321450000000006,1.2653282692437429,0.5450359859281211,0.50035,0.3877020422271652,0.06726197184471368,manuscripts\current_league_zpd35_55_noid_warm_entropy_10iter_final\table2_rerun_no_mouse_20x1000_20260728\comparison_results_20260728_221646.csv
league,League policy,agent_H1,Learned hand H1,learned,20,1000,20000,100,0.3577545,0.011866403470124774,49.779199999999996,1.3504748326733869,0.626737574924743,0.6340500000000001,0.294375613708428,0.07888681136682882,manuscripts\current_league_zpd35_55_noid_warm_entropy_10iter_final\table2_rerun_no_mouse_20x1000_20260728\comparison_results_20260728_221646.csv
