trial_index,trial_seed,episodes,reward_mean,reward_std,tiz_mean,tiz_std,zpd_coverage_mean,zpd_coverage_std,episode_length_mean,episode_length_std,catch_rate,too_close_rate,too_far_rate,avg_distance_mean,avg_distance_std,test_name,test_type
0,479243620,1000,-37.536772017770495,6.572478578982495,0.10521000000000001,0.05476454195056373,0.5248944182356151,0.17047213853977308,20.039,8.865442745575375,1.0,0.33673063186856944,0.13837494989581545,4.249594582019417,0.7763344232467947,scripted_hand,scripted
1,454024514,1000,-37.257631342731166,6.342415629869238,0.10567000000000001,0.05662117145606453,0.5335264148332906,0.1602797871617327,19.627,8.725939090608703,1.0,0.3356561937246318,0.13081739144207757,4.226399147114552,0.7413254474517409,scripted_hand,scripted
2,1818751028,1000,-37.56522199122679,5.917091399817087,0.10205000000000002,0.05486809644964921,0.5257413625038683,0.16095988936488564,19.293,8.642212612452834,1.0,0.3354247283577963,0.13883390913833546,4.2593194902673766,0.7364147019511689,scripted_hand,scripted
3,2288458700,1000,-37.32470937435464,6.39565966725573,0.10363000000000003,0.053736493286319964,0.5299634183604361,0.16517876693771255,19.342,8.103499410915182,1.0,0.34169321783608586,0.1283433638034781,4.2100956238602345,0.7231151119437588,scripted_hand,scripted
4,2115331525,1000,-37.41810466175794,6.350025619456392,0.10644,0.056427923145465055,0.5340540863013093,0.1569774828536049,20.029,9.311544655096913,1.0,0.3267966237962111,0.13914928990247966,4.268148356302465,0.7232353411806176,scripted_hand,scripted
5,2666256175,1000,-37.43602726481483,6.412225850637499,0.10401000000000002,0.054378091883375945,0.5309872975444899,0.1657533387266104,19.481,8.136697416325916,1.0,0.3383903545353795,0.1306223479201305,4.223824753595001,0.7201659413063962,scripted_hand,scripted
6,975381835,1000,-37.41321522824498,6.269173853446361,0.10396000000000001,0.05716455358162247,0.5267972176354948,0.16590462091746466,19.467,8.656549361428423,1.0,0.3385772094403832,0.13462557292412197,4.232276954542771,0.7437298381136843,scripted_hand,scripted
7,2535166222,1000,-37.65221583401006,6.459450350019197,0.10057,0.05504366362175491,0.5218640794909786,0.17143415557847677,19.065,8.304561441806591,0.999,0.3510896836596522,0.1270462368493691,4.185973809894088,0.7592335981395035,scripted_hand,scripted
8,1079577930,1000,-37.28580889081757,6.374487285170024,0.10477000000000003,0.05580377371792306,0.534133764563257,0.1620918361179477,19.405,8.409262196571747,1.0,0.3332896569326348,0.13257657850410817,4.238874799917953,0.7255370620875513,scripted_hand,scripted
9,3715024065,1000,-37.58048235658542,6.247984780639351,0.10205000000000002,0.0562090469315835,0.5244039036075661,0.1619904882090459,19.255,8.684088230113073,1.0,0.34158756948595387,0.13400852690648019,4.223010478572171,0.7145720890357241,scripted_hand,scripted
10,2056590929,1000,-37.93987200602537,6.126547700659679,0.10097000000000002,0.05053031181788228,0.5201417294924429,0.15969197427213133,19.509,8.363484134430271,1.0,0.33672001762612525,0.14313825288143178,4.264269229067113,0.7517389947958178,scripted_hand,scripted
11,3339987600,1000,-37.527388549048744,6.459361346976623,0.10394000000000002,0.0553908344813882,0.5271503683005219,0.1622937739006408,19.643,8.840798081096,1.0,0.3366177945539707,0.13623183714550738,4.245095216754715,0.7489922639243268,scripted_hand,scripted
12,1788010607,1000,-37.540113038504806,6.245175179073958,0.10108000000000002,0.050288791619629944,0.5270597081589783,0.16433496742376835,19.061,7.6196678627311805,0.999,0.3404801726237105,0.1324601192173112,4.223129075290386,0.7357438382804592,scripted_hand,scripted
13,2859898362,1000,-37.29404795894267,6.659836815270621,0.10298000000000002,0.05563105620437575,0.5313914733636582,0.17194642522970158,19.148,8.268764627710022,1.0,0.34344082859415537,0.12516769804218644,4.194986804912699,0.7324585893363353,scripted_hand,scripted
14,1908601667,1000,-37.416986972864336,6.247651665763373,0.10160000000000001,0.05259854186768495,0.5287936209592952,0.17040735180170333,18.963,7.764916285764125,1.0,0.3371668411085252,0.1340395379321797,4.227717374978575,0.7207124458415868,scripted_hand,scripted
15,726301638,1000,-37.44814805790252,6.2341595923947395,0.10277000000000001,0.05202628022292036,0.5327853494716933,0.16215751494526642,19.236,8.268898274781149,1.0,0.3390191420613947,0.12819550846691188,4.200054643547842,0.6962302396264864,scripted_hand,scripted
16,2584016318,1000,-37.551391879943914,6.3966759799481085,0.1035,0.05507434233091833,0.5236175621912628,0.16663288125251036,19.546,8.189196965939148,1.0,0.33888670193131737,0.13749573587741987,4.246503306480263,0.7583245871142013,scripted_hand,scripted
17,4074852312,1000,-37.54876089504676,6.391557354398828,0.10299000000000001,0.05692099700374107,0.5252972242550945,0.16738030369547144,19.452,9.178013506850593,1.0,0.33967157982710994,0.13503119591779553,4.226736716264784,0.7292114110188808,scripted_hand,scripted
18,3205241267,1000,-37.5949420654016,6.697017294073657,0.10301000000000002,0.05277902543175201,0.5273449084107203,0.1691458943400988,19.593,8.863854630967214,1.0,0.3403893521450418,0.13226573944423786,4.224470161945798,0.7413255991012406,scripted_hand,scripted
19,1304481603,1000,-37.56109610417957,6.524754914952706,0.10330000000000002,0.05729566120390612,0.5238364503317089,0.16419125310424204,19.507,8.968298689349133,1.0,0.33902456409854376,0.13713898556974732,4.232536702025598,0.7352074913832635,scripted_hand,scripted
0,479243620,1000,-31.650166687151536,19.719167974392523,0.19875,0.16690834579461836,0.527790269223093,0.16396370736120275,36.818,26.65046196828721,0.94,0.3682797594253044,0.10392997135160252,4.144828210195654,0.6577019403436706,agent_H1,learned
1,454024514,1000,-32.139713725330346,19.212142104699225,0.19093000000000002,0.1635750344395253,0.5257275269462832,0.1594615546088589,35.028,25.266214548238082,0.949,0.3602958322025192,0.1139766408511976,4.179349550575701,0.6638165681116865,agent_H1,learned
2,1818751028,1000,-32.65934173686724,20.34819547267508,0.183,0.16271409243171248,0.520212246516232,0.1623924132087958,34.277,25.474088800194604,0.943,0.3720239713399552,0.10776378214381294,4.1307971966784836,0.667952826458221,agent_H1,learned
3,2288458700,1000,-32.62526321416414,19.260983802690394,0.18563,0.1603655830289661,0.5244633788555796,0.15746643902049914,34.513,25.125228518525123,0.95,0.36289034622176164,0.11264627492265882,4.168026344922327,0.6577589338490809,agent_H1,learned
4,2115331525,1000,-33.087697020302514,20.005366936496294,0.18839,0.16210794825327624,0.5189609091241192,0.16853661124412414,35.623,25.406975132537628,0.953,0.37312195704086387,0.10791713383501687,4.150073051156443,0.6944508994443168,agent_H1,learned
5,2666256175,1000,-32.95148175409202,18.299998184806103,0.1849,0.1573274990011026,0.5230087556646751,0.15811474531856148,34.651,25.236800413188178,0.953,0.3709413878038962,0.1060498565314288,4.127728590119743,0.6600986221462015,agent_H1,learned
6,975381835,1000,-34.07841474723535,16.700683502583633,0.18200999999999998,0.14980354134999946,0.5208792819735746,0.15698750587984034,34.623,24.530442589028304,0.966,0.3632105983199036,0.11591011970652171,4.188112583884891,0.6721118071510483,agent_H1,learned
7,2535166222,1000,-31.924382288978958,18.923722589646463,0.19388999999999998,0.16567805261143406,0.5351934299956874,0.15740479114762965,35.15,25.78869047773765,0.955,0.36127622174996377,0.10353034825434881,4.135262465102147,0.6378455740256739,agent_H1,learned
8,1079577930,1000,-31.314674510634855,20.946702609315572,0.19659000000000001,0.17176663143834334,0.5324891738459913,0.16123335730106864,35.533,25.95855846840802,0.945,0.3574902295878789,0.1100205965661299,4.175304011483748,0.656938356861896,agent_H1,learned
9,3715024065,1000,-32.97736074102203,19.322377820360444,0.18098,0.16081075741286618,0.5187599830936801,0.1607876804108383,34.024,25.531417455309395,0.949,0.3721820400151397,0.10905797689118006,4.134353778872898,0.6629222297682448,agent_H1,learned
10,2056590929,1000,-32.344837236094534,20.315414921239302,0.19059,0.16517819388689212,0.521476468934576,0.16555205051422245,35.799,26.117402583674313,0.941,0.37466840245793376,0.10385512860749026,4.118126533268225,0.6555210524600404,agent_H1,learned
11,3339987600,1000,-31.76926611276888,19.79876554693667,0.1986,0.17060816846548452,0.5264326571607697,0.159995335833777,36.523,26.196597732009643,0.946,0.3674528740655598,0.10611446877367045,4.137509759873967,0.6357867391799664,agent_H1,learned
12,1788010607,1000,-32.05989474160565,19.106476517680022,0.18992,0.15756020696488954,0.5325828885373542,0.15744901524177846,35.063,25.286249730346047,0.945,0.3582204256214303,0.10919668584121545,4.1707001798541015,0.6479278313065603,agent_H1,learned
13,2859898362,1000,-31.91739256831249,20.03051726682598,0.19394,0.16781906816461484,0.5275675088109969,0.16320062450871753,35.638,25.91185791062425,0.949,0.3688077712583305,0.10362471993067261,4.131292266075758,0.6480372575233448,agent_H1,learned
14,1908601667,1000,-32.674430810880466,19.28066907594524,0.18850999999999998,0.15680263698983818,0.5286737337348035,0.1578579867067656,34.787,23.861118665812462,0.956,0.3589753636201418,0.11235090264505469,4.183270137985566,0.6576536499964398,agent_H1,learned
15,726301638,1000,-30.9879268885958,20.89994108037661,0.20039999999999997,0.1741285753710768,0.5337165842494078,0.1585313813648831,36.189,26.52875899950946,0.941,0.3540576058635726,0.11222580988701975,4.184864996497973,0.6597976304445626,agent_H1,learned
16,2584016318,1000,-32.104759887082565,19.994113349029494,0.19588,0.1671225764388389,0.5283760160945191,0.15945122123196478,36.093,25.7130611268381,0.951,0.3635094890285671,0.10811449487691371,4.149730965942534,0.6425945755988308,agent_H1,learned
17,4074852312,1000,-31.417726210633564,19.97462928198234,0.19869,0.1705193852931706,0.5287362677535841,0.15297280177257633,36.671,27.07870039375995,0.936,0.35812114621206814,0.11314258603434786,4.1840098493884925,0.6549082129221339,agent_H1,learned
18,3205241267,1000,-31.065822475807735,21.180534304434453,0.20065,0.1725608726066102,0.5253604669732654,0.1562309924831006,36.94,26.946066326840555,0.931,0.3651895063909206,0.10945002663581394,4.1607281779868845,0.6506077552635212,agent_H1,learned
19,1304481603,1000,-31.737790642874884,19.814436338817274,0.19701000000000002,0.16248372491071486,0.5266305154403829,0.15887491549014332,36.993,26.68593431173228,0.934,0.37059280331126515,0.10277668124835201,4.125390142693265,0.6363584900502717,agent_H1,learned
