rank_input_order,radial_gain,tangent_gain,boundary_gain,boundary_band,boundary_guard,smoothing,score_mean_tiz,score_min_tiz,scripted_tiz_mean,scripted_tiz_std,scripted_episode_length_mean,scripted_episode_length_std,scripted_catch_rate,scripted_too_close_rate,scripted_too_far_rate,scripted_avg_distance_mean,h1_tiz_mean,h1_tiz_std,h1_episode_length_mean,h1_episode_length_std,h1_catch_rate,h1_too_close_rate,h1_too_far_rate,h1_avg_distance_mean
1,0.8,0.0,0.8,1.25,0.2,0.0,0.09159166666666668,0.06353333333333334,0.06353333333333334,0.0038475100173142223,17.345000000000002,0.6921704992268886,1.0,0.48079139672434273,0.1563346411259073,4.0326226730962205,0.11965000000000002,0.0024576411454888935,27.48,0.5296461082647532,0.9933333333333333,0.45889952684908436,0.12938473499325584,3.969132844808961
2,0.8,0.0,0.8,1.25,0.2,0.1,0.09090000000000001,0.06270000000000002,0.06270000000000002,0.004030818775385472,17.30333333333333,0.6865554116991087,1.0,0.48523566796464906,0.15642235283445863,4.025156396244354,0.1191,0.00264244205234477,27.389999999999997,0.39537956446938477,0.9933333333333333,0.4601709667639271,0.12945442059103882,3.9651362162561496
3,0.8,0.0,1.35,1.25,0.2,0.0,0.0859,0.06176666666666667,0.06176666666666667,0.004041761167280088,16.811666666666664,0.773309985279728,1.0,0.4803838306416465,0.15784636386349427,4.033657325586711,0.11003333333333333,0.0006934214687571539,25.75333333333333,0.4316344904352906,0.995,0.46159963285279654,0.13271161672884002,3.969863336810938
4,0.8,0.0,1.35,1.25,0.2,0.1,0.08483333333333334,0.06101666666666667,0.06101666666666667,0.003913544855157966,16.821666666666665,0.7578643238293596,1.0,0.48571145321605,0.15701114724801282,4.022922291644556,0.10865000000000001,0.0010404326023342497,25.439999999999998,0.3810839802458246,0.995,0.46421411033086707,0.1330165276593062,3.9672598921216946
5,0.8,0.0,2.0,1.25,0.2,0.0,0.081625,0.061033333333333335,0.061033333333333335,0.0038827610450983562,16.323333333333334,0.7642861593234134,1.0,0.4712531591335362,0.1602114326976468,4.044476736499612,0.10221666666666668,0.0017616280348965107,23.893333333333334,0.46573418742168077,0.9966666666666667,0.45432420992438494,0.1370528760944174,3.9885426524508105
6,0.8,0.0,2.0,1.25,0.2,0.1,0.08078333333333333,0.06026666666666667,0.06026666666666667,0.003739095255985507,16.313333333333333,0.7611230737097201,1.0,0.4760889726035232,0.15964545139428496,4.037175008391691,0.1013,0.0010758717395675074,23.71666666666667,0.20508128469787987,0.9966666666666667,0.45635437090691017,0.13693954146279208,3.9848167159612298
7,0.8,0.3,0.8,1.25,0.2,0.0,0.09505,0.06276666666666668,0.06276666666666668,0.002951412091412068,17.383333333333336,0.5612783029240779,1.0,0.4787561721811066,0.15748449628061145,4.027632721317707,0.12733333333333333,0.009772580689527875,30.916666666666668,0.4521430452117266,0.965,0.48200376177961496,0.12040642450704482,3.899498932073941
8,0.8,0.3,0.8,1.25,0.2,0.1,0.09357500000000002,0.062016666666666685,0.062016666666666685,0.0028250368729157,17.316666666666666,0.5727201178004254,1.0,0.48177784896937687,0.15840691782535113,4.023614447718725,0.12513333333333335,0.011641448936164818,30.375,0.9130854286429074,0.9733333333333333,0.48408219409039094,0.12113870559998109,3.898004542031865
9,0.8,0.3,1.35,1.25,0.2,0.0,0.09087500000000001,0.060933333333333346,0.060933333333333346,0.0030225541075940008,16.851666666666667,0.6650250621843761,1.0,0.4807237178279875,0.1584550195011072,4.020636397316195,0.12081666666666668,0.008100205758703512,29.015,0.43139309220245947,0.975,0.4790925543608719,0.12394668715960823,3.901748372647979
10,0.8,0.3,1.35,1.25,0.2,0.1,0.08991666666666667,0.06016666666666667,0.06016666666666667,0.0029859392715414256,16.81,0.736495078055516,1.0,0.484331173834206,0.15886624931827223,4.016653587265302,0.11966666666666669,0.008390818394729644,28.738333333333333,0.5256979487627214,0.9733333333333333,0.48121127369553807,0.12412593811647511,3.901902123449272
