epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,238.447,1.29947,0.72475,0.89185,0.95686,1,0.995,0.65478,1.13259,2.33342,0.82917,0.00099314,0.00099314,0.00099314
44,244.932,1.18111,0.65055,0.86935,0.62045,0.98301,0.761,0.51422,1.09647,3.06863,0.83125,0.000999282,0.000999282,0.000999282
45,251.068,0.9161,1.06911,0.82508,0.62045,0.98301,0.761,0.51422,1.09647,3.06863,0.83125,0.00100463,0.00100463,0.00100463
46,257.501,1.05632,1.04442,0.8403,0.5338,1,0.66847,0.47619,1.02121,1.99112,0.83732,0.00100919,0.00100919,0.00100919
47,263.811,0.91735,0.84946,0.90021,0.5338,1,0.66847,0.47619,1.02121,1.99112,0.83732,0.00101296,0.00101296,0.00101296
48,270.062,0.91256,0.80739,0.84013,0.90569,1,0.995,0.77559,0.92238,1.37177,0.83459,0.00101593,0.00101593,0.00101593
49,276.186,1.01207,0.71795,0.80435,0.90569,1,0.995,0.77559,0.92238,1.37177,0.83459,0.00101811,0.00101811,0.00101811
50,282.331,1.04512,0.67824,0.86533,0.95228,1,0.995,0.76227,0.99316,1.56396,0.83879,0.0010195,0.0010195,0.0010195
51,288.383,1.22713,1.05881,0.74824,0.95228,1,0.995,0.76227,0.99316,1.56396,0.83879,0.00101,0.00101,0.00101
52,294.61,1.00577,0.66437,0.87474,1,0.76348,0.86643,0.59718,1.35012,2.284,0.87842,0.0009902,0.0009902,0.0009902
53,300.829,1.12948,0.60705,0.87612,1,0.76348,0.86643,0.59718,1.35012,2.284,0.87842,0.0009704,0.0009704,0.0009704
54,307.83,0.96198,0.62662,0.77419,1,0.98487,0.995,0.63668,1.31397,1.76423,0.88473,0.0009506,0.0009506,0.0009506
55,313.233,0.96675,0.57005,0.88576,1,0.98487,0.995,0.63668,1.31397,1.76423,0.88473,0.0009308,0.0009308,0.0009308
56,318.609,0.93406,0.51207,0.86103,0.95448,1,0.995,0.63275,1.25473,1.94768,0.8792,0.000911,0.000911,0.000911
57,324.084,0.97067,0.63384,0.80098,0.95448,1,0.995,0.63275,1.25473,1.94768,0.8792,0.0008912,0.0008912,0.0008912
58,329.665,1.16063,0.64113,0.79167,0.97933,1,0.995,0.64171,1.2763,1.37564,0.86533,0.0008714,0.0008714,0.0008714
59,335.19,0.95425,0.62039,0.78295,0.97933,1,0.995,0.64171,1.2763,1.37564,0.86533,0.0008516,0.0008516,0.0008516
