step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1785927700.3280315,2.998858690261841e-07,,,False,,,,,False,False,False,,3.012937545776367,4.665807723999023,7.500529766082764,4.999749183654785,,,4.5,True,2.4771997705101967,0.2708089351654053,-0.41074803471565247,0.4919872283935547,0.0,0.0,784.6927490234375,498.1458435058594,784.6927490234375,498.1458435058594,False,False,-0.2270498894968861,-0.5227482801793807,0.11399800362990894,False,,False,caught
1,1785927700.3852875,0.05842810031026602,0.05842780042439699,17.11514027117889,False,,,,,False,False,False,,3.1129374504089355,4.765408039093018,7.521722793579102,4.964962005615234,,,4.413299083709717,True,1.7542000859975815,-0.18862241506576538,-0.968299388885498,0.9864999651908875,0.2708089351654053,-0.41074803471565247,758.6354370117188,459.4413146972656,758.6354370117188,459.4413146972656,False,False,-0.22521994984331983,-0.521894199459118,0.11399025898872339,False,,False,caught
2,1785927700.4472463,0.12043830007314682,0.0620101997628808,16.126379270247057,False,,,,,False,False,False,,3.212937355041504,4.865407943725586,7.593280792236328,4.852291107177734,,,4.3803629875183105,True,1.7334995791316032,-0.1069067046046257,-1.0,1.005698323249817,-0.18862241506576538,-0.968299388885498,771.0208129882812,445.99639892578125,771.0208129882812,445.99639892578125,False,True,-0.21917188371174537,-0.5192074663877579,0.11400452374307374,False,,False,caught
3,1785927700.5097036,0.18239330034703016,0.06195500027388334,16.14074724524765,False,,,,,False,False,False,,3.3129372596740723,4.905473232269287,7.5485920906066895,4.670463562011719,,,4.242169380187988,True,1.7017005011439323,-0.04307984560728073,-1.0,1.000927448272705,-0.1069067046046257,-1.0,770.3314208984375,426.64288330078125,770.3314208984375,426.64288330078125,False,True,-0.21549626003250702,-0.5102326714851275,0.11382599379041083,False,,False,caught
4,1785927700.5694427,0.24212419986724854,0.05973089952021837,16.741753565280042,False,,,,,False,False,False,,3.4129371643066406,4.995797634124756,7.5121965408325195,4.487000942230225,,,4.130714416503906,True,1.7753001302480698,-0.0010335668921470642,-1.0,1.0000004768371582,-0.04307984560728073,-1.0,769.1854248046875,407.35772705078125,769.1854248046875,407.35772705078125,False,True,-0.21144456709880355,-0.50140244313066,0.11385319551479701,False,,False,caught
5,1785927700.6299932,0.30317100044339895,0.06104680057615042,16.380874846218838,False,,,,,False,False,False,,3.512937068939209,4.973240375518799,7.5165581703186035,4.296194553375244,,,4.060464859008789,True,1.748199574649334,0.06652242690324783,-1.0,1.002210259437561,-0.0010335668921470642,-1.0,773.773681640625,387.4998474121094,773.773681640625,387.4998474121094,False,True,-0.2056002005144043,-0.493409845491043,0.11381621795342814,False,,False,caught
6,1785927700.6918344,0.36452830024063587,0.06135729979723692,16.29797926741608,False,,,,,False,False,False,,3.6129369735717773,4.990296840667725,7.521357536315918,4.131716251373291,,,4.001613616943359,True,1.7649000510573387,0.09601152688264847,-1.0,1.0045984983444214,0.06652242690324783,-1.0,776.0588989257812,370.41168212890625,776.0588989257812,370.41168212890625,False,True,-0.20050635932318478,-0.4865282555239166,0.11385745827489305,False,,False,caught
7,1785927700.7535756,0.4262391999363899,0.06171089969575405,16.204592785556226,False,,,,,False,False,False,,3.7129368782043457,4.8980631828308105,7.526172637939453,3.9344539642333984,,,3.9331042766571045,True,1.7459997907280922,0.1548931896686554,-1.0,1.0119248628616333,0.09601152688264847,-1.0,780.0845947265625,350.1917724609375,780.0845947265625,350.1917724609375,False,True,-0.19441356835333815,-0.4782209959131788,0.11387520961199729,False,,False,caught
8,1785927700.814904,0.4875895995646715,0.06135039962828159,16.299812324922744,False,,,,,False,False,False,,3.812936782836914,4.923870086669922,7.551047325134277,3.7488834857940674,,,3.918426275253296,True,1.8442999571561813,0.16487839818000793,-1.0,1.0135012865066528,0.1548931896686554,-1.0,783.222412109375,330.84063720703125,783.222412109375,330.84063720703125,False,True,-0.18787694281296785,-0.47096753906071825,0.11386661176945738,False,,False,caught
9,1785927700.8760545,0.5492166001349688,0.06162700057029724,16.226653751537217,False,,,,,False,False,False,,3.9129366874694824,4.849204063415527,7.582215785980225,3.5599679946899414,,,3.8891820907592773,True,1.643400639295578,0.20611518621444702,-1.0,1.021020770072937,0.16487839818000793,-1.0,788.8218994140625,311.49920654296875,788.8218994140625,311.49920654296875,False,True,-0.18097265653436984,-0.4637262969500027,0.11384869180234605,False,,False,caught
