step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,policy_dt_s,policy_loop_hz_inst,policy_deadline_overrun_s,policy_deadline_overrun,policy_schedule_resynced,policy_step_start_perf,servo_publish_perf,servo_publish_latency_ms,servo_endpoint_deadline_perf,servo_endpoint_lateness_s,servo_dt_s,servo_loop_hz_inst,servo_target_age_s,servo_interpolation_phase,servo_command_sequence,servo_policy_step,servo_commanded_world_x,servo_commanded_world_y,servo_commanded_world_z,servo_target_world_x,servo_target_world_y,servo_target_world_z,servo_segment_start_world_x,servo_segment_start_world_y,servo_segment_start_world_z,servo_segment_end_world_x,servo_segment_end_world_y,servo_segment_end_world_z,servo_segment_start_perf,servo_segment_end_perf,servo_segment_elapsed_s,servo_segment_duration_s,servo_pending_segment_count,servo_command_step_limited,servo_command_step_limited_count,servo_publish_rejected_count,servo_tracking_error_cm,servo_target_error_cm,servo_deadline_overrun_s,servo_deadline_overrun_count,servo_watchdog_stopped,servo_stop_reason,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,virtual_hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,virtual_hand_action_x,virtual_hand_action_y,virtual_hand_action_norm,virtual_hand_command_dx_cm,virtual_hand_command_dy_cm,virtual_hand_command_norm_cm,virtual_hand_delayed_dx_cm,virtual_hand_delayed_dy_cm,virtual_hand_delayed_norm_cm,virtual_hand_smoothed_dx_cm,virtual_hand_smoothed_dy_cm,virtual_hand_smoothed_norm_cm,virtual_hand_exec_dx_cm,virtual_hand_exec_dy_cm,virtual_hand_exec_norm_cm,virtual_hand_actual_dx_cm,virtual_hand_actual_dy_cm,virtual_hand_actual_norm_cm,virtual_hand_accel_clipped,virtual_hand_workspace_clipped,virtual_hand_policy_inference_ms,mpc_prediction_mode,mpc_tracking_alpha,mpc_command_actual_lag_cm,mpc_predicted_first_command_x_cm,mpc_predicted_first_command_y_cm,mpc_predicted_first_actual_x_cm,mpc_predicted_first_actual_y_cm,mpc_predicted_min_hand_distance_cm,mpc_hand_velocity_x_cm_step,mpc_hand_velocity_y_cm_step,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,planned_anchor_x_cm,planned_anchor_y_cm,planned_target_x_cm,planned_target_y_cm,planned_delta_dx_cm,planned_delta_dy_cm,planned_delta_norm_cm,actual_robot_move_dx_cm,actual_robot_move_dy_cm,actual_robot_move_norm_cm,actual_to_planned_step_projection,planned_endpoint_actual_lag_cm,planned_endpoint_actual_lag_excess_cm,servo_follower_lag_allowance_cm,servo_lag_warning_cm,servo_lag_hard_limit_cm,servo_publish_accepted,servo_publish_reject_reason,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1787745189.7885847,2.0023435354232788e-07,,,,,2.0023435354232788e-07,False,False,7286394.5417621,7286394.5471806,5.418500863015652,7286394.591762099,0.0,,,0.0004928000271320343,1.0,0,-1,-0.29906597303687393,-0.545475383892498,0.113,-0.29906597303687393,-0.545475383892498,0.113,-0.29906597303687393,-0.545475383892498,0.113,-0.29906597303687393,-0.545475383892498,0.113,7286394.540679,7286394.540679,0.0004928000271320343,0.0,1,False,0,0,0.0036345167200208164,0.0036345167200208164,0.0,0,False,,False,,,,,False,False,False,,11.1928129196167,2.4279730319976807,7.500118732452393,5.000194072723389,,,4.5002570152282715,True,0.280634362,0.544216290717,0,-1.0,1.0,1.4142135381698608,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.15272578597068787,0.15272578597068787,0.21598687767982483,-0.15272578597068787,0.15272578597068787,0.21598687767982483,-0.1527261734008789,0.1527256965637207,0.21598708629608154,False,False,2.321699634194374,,,,,,,,,,,2.697700634598732,-0.37394005060195923,-0.35380515456199646,0.5147904753684998,0.0,0.0,748.8798217773438,505.45355224609375,748.8798217773438,505.45355224609375,7.500249862670898,4.999932765960693,7.313279628753662,4.8230299949646,-0.18697023391723633,-0.17690277099609375,0.25739553570747375,0.0,0.0,0.0,,0.0002923634019680321,0.0,2.0,1.5,3.0,True,,False,False,-0.29907772500209395,-0.5454839710678256,0.1129666965030039,False,,False,caught
1,1787745189.8394,0.05000289995223284,0.050002699717879295,19.998920171152946,0.050002699717879295,19.998920171152946,2.9001384973526e-06,False,False,7286394.591762099,7286394.5971036,5.341500975191593,7286394.641762099,0.0,0.008029199205338955,124.54542158264769,0.04974739998579025,0.9949480034222752,1,0,-0.3025074575898184,-0.5328132091433672,0.113,-0.3025249322398744,-0.5327489150664112,0.113,-0.29906597303687393,-0.545475383892498,0.113,-0.3025249322398744,-0.5327489150664112,0.113,7286394.5417621,7286394.591762099,0.04974739998579025,0.049999999813735485,1,False,1,0,1.2373010520888177,1.2439636524268167,2.919920533895476e-05,1,False,,True,2,0.002117999829351902,0.029440400190651417,33.966929577184985,False,False,False,,11.04008674621582,2.5806987285614014,7.489557266235352,4.989229202270508,,,4.290370464324951,True,0.280634362,0.544216290717,0,-1.0,1.0,1.4142135381698608,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.22233587503433228,0.22233566641807556,0.31443026661872864,-0.22233587503433228,0.22233566641807556,0.31443026661872864,-0.2223358154296875,0.2223355770111084,0.3144301772117615,False,False,2.216099761426449,,,,,,,,,,,1.7058998346328735,-0.3285844922065735,-0.8979811072349548,0.9562101364135742,-0.37394005060195923,-0.35380515456199646,732.0563354492188,458.39935302734375,732.0563354492188,458.39935302734375,7.313279628753662,4.8230299949646,7.148987293243408,4.374039649963379,-0.1642923355102539,-0.4489903450012207,0.4781048893928528,-0.010561466217041016,-0.01096487045288086,0.015224090777337551,0.05908302962779999,0.2422725260257721,0.0,2.0,1.5,3.0,True,,False,False,-0.29923513547051517,-0.5447455917126902,0.11303928761692583,False,,False,caught
2,1787745189.888673,0.10000330023467541,0.05000040028244257,19.99983988830477,0.05000040028244257,19.99983988830477,3.300607204437256e-06,False,False,7286394.641762099,7286394.6467572,4.995101131498814,7286394.691762099,0.0,0.008004199713468552,124.93441390740344,0.047982300631701946,0.9596460162089989,2,1,-0.2995597497704892,-0.5177387599858221,0.113,-0.2977902774287042,-0.5087712413041381,0.113,-0.3025249322398744,-0.5327489150664112,0.113,-0.2977902774287042,-0.5087712413041381,0.113,7286394.591762099,7286394.641762099,0.047982300631701946,0.049999999813735485,1,True,7,0,1.9500886338222654,2.8585451416436922,4.199713468551469e-06,1,False,,True,3,0.022161999717354774,0.029540199786424637,33.8521745699078,False,False,False,,10.817750930786133,2.8030343055725098,7.383684158325195,4.8764472007751465,,,4.011465549468994,True,0.280634362,0.544216290717,0,-1.0,1.0,1.4142135381698608,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.25406283140182495,0.2540627121925354,0.3592990040779114,-0.25406283140182495,0.2540627121925354,0.3592990040779114,-0.2540626525878906,0.2540626525878906,0.35929885506629944,False,False,1.1893995106220245,,,,,,,,,,,2.100899815559387,-0.473267138004303,-0.7929723262786865,0.9234645962715149,-0.3285844922065735,-0.8979811072349548,707.8250122070312,416.84759521484375,707.8250122070312,416.84759521484375,7.148987293243408,4.374039649963379,6.912353515625,3.977553367614746,-0.2366337776184082,-0.3964862823486328,0.46173253655433655,-0.10587310791015625,-0.11278200149536133,0.15468966960906982,0.29762402176856995,0.5545231699943542,0.0,2.0,1.5,3.0,True,,False,False,-0.3007450556321497,-0.5372035261906591,0.11295005421313686,False,,False,caught
3,1787745189.9384432,0.15000300016254187,0.04999969992786646,20.000120029573768,0.04999969992786646,20.000120029573768,3.0007213354110718e-06,False,False,7286394.691762099,7286394.6969496,5.187501199543476,7286394.741762099,0.0,0.008588899858295918,116.42934677298767,0.04731780104339123,0.9463560243932755,3,2,-0.2983800938022632,-0.5024347235962333,0.113,-0.29779709331374443,-0.4846135579575889,0.113,-0.2977902774287042,-0.5087712413041381,0.113,-0.29779709331374443,-0.4846135579575889,0.113,7286394.641762099,7286394.691762099,0.04731780104339123,0.049999999813735485,1,True,13,0,1.817888067360544,3.598702624277478,0.0005888998582959173,1,False,,True,4,0.04332169983536005,0.029652100056409836,33.72442417561019,False,False,False,,10.563688278198242,3.0570969581604004,7.222054481506348,4.590657711029053,,,3.676727533340454,True,0.280634362,0.544216290717,0,-1.0,1.0,1.4142135381698608,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2685233950614929,0.2685233950614929,0.3797494173049927,-0.2685233950614929,0.2685233950614929,0.3797494173049927,-0.2685232162475586,0.2685234546661377,0.3797493577003479,False,False,1.4458997175097466,,,,,,,,,,,2.0326003432273865,-0.645532488822937,-0.8647165298461914,1.0790953636169434,-0.473267138004303,-0.7929723262786865,674.773681640625,371.53643798828125,674.773681640625,371.53643798828125,6.912353515625,3.977553367614746,6.589587211608887,3.5451951026916504,-0.3227663040161133,-0.4323582649230957,0.5395477414131165,-0.16162967681884766,-0.28578948974609375,0.3283287584781647,0.7108857035636902,0.6868854761123657,0.0,2.0,1.5,3.0,True,,False,False,-0.3002537282713619,-0.5205164774615435,0.1128933530322478,False,,False,caught
4,1787745189.991795,0.2036335002630949,0.053630500100553036,18.64610619190717,0.053630500100553036,18.64610619190717,0.0036335010081529617,True,False,7286394.741762099,7286394.7500389,8.2768015563488,7286394.791762099,0.0,0.008002600632607937,124.95937832075894,0.05334100127220154,1.0,4,3,-0.29885899142439093,-0.4845258148227338,0.113,-0.3003066426063188,-0.4569937627756485,0.113,-0.29779709331374443,-0.4846135579575889,0.113,-0.3003066426063188,-0.4569937627756485,0.113,7286394.691762099,7286394.741762099,0.05334100127220154,0.049999999813735485,1,True,20,0,1.96624466995108,4.721932518930433,2.6006326079366926e-06,1,False,,True,5,0.03246019966900349,0.028834699653089046,34.680437529470524,False,False,False,,10.295165061950684,3.325620412826538,7.083731651306152,4.303337097167969,,,3.3569681644439697,False,0.280634362,0.544216290717,0,-1.0,1.0,1.4142135381698608,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2751142978668213,0.27511438727378845,0.38907042145729065,-0.2751142978668213,0.27511438727378845,0.38907042145729065,-0.2751140594482422,0.2751142978668213,0.38907021284103394,False,False,1.179000362753868,,,,,,,,,,,1.7360998317599297,-0.7551779747009277,-0.9132057428359985,1.1850056648254395,-0.645532488822937,-0.8647165298461914,636.1085815429688,323.6844787597656,636.1085815429688,323.6844787597656,6.589587211608887,3.5451951026916504,6.211997985839844,3.088592290878296,-0.37758922576904297,-0.4566028118133545,0.5925029516220093,-0.1383228302001953,-0.287320613861084,0.31888294219970703,0.5800912976264954,0.904962956905365,0.0,2.0,1.5,3.0,True,,False,False,-0.2987693262290626,-0.5041880555367682,0.11300777606716919,False,,False,caught
5,1787745190.037383,0.2500022007152438,0.046368700452148914,21.566271865478946,0.046368700452148914,21.566271865478946,2.201646566390991e-06,False,False,7286394.791762099,7286394.7960147,4.2526014149188995,7286394.8417620985,0.0,0.00820389948785305,121.89325350470605,0.0515652010217309,1.0,5,4,-0.3001246594609244,-0.4692187033043615,0.113,-0.3041489833826574,-0.42652925466305674,0.113,-0.3003066426063188,-0.4569937627756485,0.113,-0.3041489833826574,-0.42652925466305674,0.113,7286394.741762099,7286394.791762099,0.0515652010217309,0.049999999813735485,1,True,26,0,1.9051673545074015,6.193000894101922,0.00020389948785305007,1,False,,True,6,0.01507670059800148,0.0645014001056552,15.50353943266302,False,False,False,,10.020051002502441,3.6007347106933594,6.929469585418701,4.034121990203857,,,3.1208200454711914,False,0.280634362,0.544216290717,0,-1.0,1.0,1.4142135381698608,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2781182825565338,0.27811840176582336,0.3933187425136566,-0.2781182825565338,0.27811840176582336,0.3933187425136566,-0.2781181335449219,0.278118371963501,0.3933185935020447,False,False,1.1674994602799416,,,,,,,,,,,1.6214996576309204,-0.7988189458847046,-0.9179266691207886,1.2168406248092651,-0.7551779747009277,-0.9132057428359985,595.2091064453125,275.5851135253906,595.2091064453125,275.5851135253906,6.211997985839844,3.088592290878296,5.812588691711426,2.629628896713257,-0.39940929412841797,-0.45896339416503906,0.6084202527999878,-0.15426206588745117,-0.26921510696411133,0.31027981638908386,0.5160719156265259,1.1869254112243652,0.0,2.0,1.5,3.0,True,,False,False,-0.29837833098468136,-0.48818966688984033,0.1131383559162869,False,,False,caught
6,1787745190.0876722,0.3000031001865864,0.050000899471342564,19.999640217935248,0.050000899471342564,19.999640217935248,3.1013041734695435e-06,False,False,7286394.8417620985,7286394.8459836,4.221501760184765,7286394.891762098,0.0,0.00801009964197874,124.84239206704416,0.0496079009026289,0.9921580217486546,6,5,-0.3018777667691019,-0.45395951600761725,0.113,-0.3092604030608684,-0.39498567674382407,0.113,-0.3041489833826574,-0.42652925466305674,0.113,-0.3092604030608684,-0.39498567674382407,0.113,7286394.791762099,7286394.8417620985,0.0496079009026289,0.049999999813735485,1,True,32,0,1.889973726549779,7.833240373584211,1.0099641978740526e-05,1,False,,False,,,,,False,False,False,,9.74193286895752,3.8788530826568604,6.756745338439941,3.7874693870544434,,,2.986586093902588,False,0.280634362,0.544216290717,0,-1.0,1.0,1.4142135381698608,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2806343734264374,0.2806343734264374,0.3968769311904907,-0.2794874906539917,0.27948760986328125,0.39525508880615234,-0.2794874906539917,0.27948760986328125,0.39525508880615234,-0.27948760986328125,0.27948737144470215,0.3952549993991852,False,False,1.9185999408364296,,,,,,,,,,,1.9777994602918625,-0.8222833275794983,-0.9442280530929565,1.2520848512649536,-0.7988189458847046,-0.9179266691207886,553.108154296875,226.1075439453125,553.108154296875,226.1075439453125,5.812588691711426,2.629628896713257,5.40144681930542,2.157514810562134,-0.41114187240600586,-0.47211408615112305,0.6260426044464111,-0.17272424697875977,-0.24665260314941406,0.30111655592918396,0.4921782612800598,1.4939967393875122,0.0,2.0,1.5,3.0,True,,False,False,-0.29930773403805777,-0.4726830819476024,0.11315191760015239,False,,False,caught
7,1787745190.1389322,0.35000390000641346,0.05000079981982708,19.99968007718678,0.05000079981982708,19.99968007718678,3.9013102650642395e-06,False,False,7286394.891762098,7286394.8960397,4.277601838111877,7286394.941762098,0.0,0.008004399947822094,124.93128860609828,0.04763150122016668,0.952630027952157,7,6,-0.30392058467750244,-0.43873607426478206,0.113,-0.31460233862515147,-0.3623538392948348,0.113,-0.3092604030608684,-0.39498567674382407,0.113,-0.31460233862515147,-0.3623538392948348,0.113,7286394.8417620985,7286394.891762098,0.04763150122016668,0.049999999813735485,1,True,38,0,1.6364747341885686,9.348709304969876,4.399947822093797e-06,1,False,,True,7,0.04662879928946495,0.06375230010598898,15.685708567965198,False,False,False,,9.462445259094238,4.1583404541015625,6.542619705200195,3.5152854919433594,,,2.9897994995117188,False,0.280634362,0.544216290717,0,-0.533484697341919,0.3494165241718292,0.6377286314964294,-0.1497141420841217,0.0980582907795906,0.17896859347820282,-0.1497141420841217,0.0980582907795906,0.17896859347820282,-0.2088627815246582,0.18075069785118103,0.2762145400047302,-0.2088627815246582,0.18075069785118103,0.2762145400047302,-0.2088632583618164,0.18075084686279297,0.2762150168418884,False,False,1.1472003534436226,,,,,,,,,,,1.7138002440333366,-0.8001738786697388,-0.9869440197944641,1.2705655097961426,-0.8222833275794983,-0.9442280530929565,512.1392822265625,174.39169311523438,512.1392822265625,174.39169311523438,5.40144681930542,2.157514810562134,5.001359939575195,1.6640428304672241,-0.4000868797302246,-0.49347198009490967,0.6352826952934265,-0.2141256332397461,-0.272183895111084,0.3463146686553955,0.5524921417236328,1.773645043373108,0.0,2.0,1.5,3.0,True,,False,False,-0.3013104705476833,-0.4548911706171467,0.11307156562644506,False,,False,caught
8,1787745190.192621,0.40448620077222586,0.0544823007658124,18.354584625535846,0.0544823007658124,18.354584625535846,0.004486202262341976,True,False,7286394.941762098,7286394.9505997,8.837602101266384,7286394.991762098,0.0,0.008003300055861473,124.94845788864532,0.054207101464271545,1.0,8,7,-0.3063477016628347,-0.42098122023361084,0.113,-0.3188705583962092,-0.32813173449506283,0.113,-0.31460233862515147,-0.3623538392948348,0.113,-0.3188705583962092,-0.32813173449506283,0.113,7286394.891762098,7286394.941762098,0.054207101464271545,0.049999999813735485,1,True,45,0,1.8837246524623739,11.252409977879232,3.300055861472917e-06,1,False,,True,8,0.02432100009173155,0.06874240003526211,14.547062649646215,False,False,False,,9.253582000732422,4.3390913009643555,6.352079391479492,3.286705493927002,,,3.0864596366882324,False,0.280634362,0.544216290717,0,-1.0,-0.9359505772590637,1.3696727752685547,-0.2806343734264374,-0.2626599073410034,0.38437727093696594,-0.2806343734264374,-0.2626599073410034,0.38437727093696594,-0.24792225658893585,-0.06056050956249237,0.2552117109298706,-0.24792225658893585,-0.06056050956249237,0.2552117109298706,-0.24792194366455078,-0.06056070327758789,0.2552114427089691,False,False,1.1146999895572662,,,,,,,,,,,1.587800681591034,-0.7254778742790222,-0.8956067562103271,1.152575135231018,-0.8001738786697388,-0.9869440197944641,474.9947814941406,127.4618911743164,474.9947814941406,127.4618911743164,5.001359939575195,1.6640428304672241,4.638620853424072,1.2162394523620605,-0.36273908615112305,-0.4478033781051636,0.5762876868247986,-0.19054031372070312,-0.22857999801635742,0.2975809574127197,0.468379408121109,2.111273765563965,0.11127376556396484,2.0,1.5,3.0,True,,False,False,-0.30344680891903053,-0.4395937482178486,0.11302190786070278,False,,False,caught
9,1787745190.2378001,0.45000219997018576,0.0455159991979599,21.97029654673211,0.0455159991979599,21.97029654673211,2.201646566390991e-06,False,False,7286394.991762098,7286394.9960256,4.263501614332199,7286395.041762098,0.0,0.008004299364984035,124.93285850534834,0.052254801616072655,1.0,9,8,-0.3084043575403488,-0.4057595329145653,0.113,-0.3231688009307761,-0.2965790785100444,0.113,-0.3188705583962092,-0.32813173449506283,0.113,-0.3231688009307761,-0.2965790785100444,0.113,7286394.941762098,7286394.991762098,0.052254801616072655,0.049999999813735485,1,True,51,0,1.8888229012797673,12.906134116082423,4.299364984035325e-06,1,False,,True,9,0.00733449961990118,0.07649169955402613,13.07331391288671,False,False,False,,9.005660057067871,4.278530597686768,6.162781238555908,3.0626068115234375,,,3.091994524002075,False,0.280634362,0.544216290717,0,-1.0,0.23282912373542786,1.0267469882965088,-0.2806343734264374,0.06533985584974289,0.28814050555229187,-0.2806343734264374,0.06533985584974289,0.28814050555229187,-0.2657245695590973,0.007956432178616524,0.2658436596393585,-0.2657245695590973,0.007956430315971375,0.2658436596393585,-0.26572418212890625,0.007956504821777344,0.2658432722091675,False,False,1.123799942433834,,,,,,,,,,,1.6628997400403023,-0.7299008965492249,-0.7322481870651245,1.0338969230651855,-0.7254778742790222,-0.8956067562103271,437.62384033203125,89.09208679199219,437.62384033203125,89.09208679199219,4.638620853424072,1.2162394523620605,4.273670196533203,0.8501153588294983,-0.36495065689086914,-0.36612409353256226,0.5169485807418823,-0.18929815292358398,-0.22409868240356445,0.29334965348243713,0.5089255571365356,2.394188165664673,0.39418816566467285,2.0,1.5,3.0,True,,False,False,-0.3056571340600685,-0.4244468599894016,0.11304201413306628,False,,False,caught
