pair_id,trial_index,internal_seed,hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,league_order_in_pair,mpc_order_in_pair,league_done_reason,mpc_done_reason,league_tiz_fixed_horizon_fraction,mpc_tiz_fixed_horizon_fraction,delta_tiz_fixed_horizon_fraction,league_zpd_observed_occupancy_fraction,mpc_zpd_observed_occupancy_fraction,delta_zpd_observed_occupancy_fraction,league_zpd_occupancy_fraction,mpc_zpd_occupancy_fraction,delta_zpd_occupancy_fraction,league_duration_s,mpc_duration_s,delta_duration_s,league_distance_cm_mean,mpc_distance_cm_mean,delta_distance_cm_mean,league_too_close_fraction,mpc_too_close_fraction,delta_too_close_fraction,league_too_far_fraction,mpc_too_far_fraction,delta_too_far_fraction,league_min_boundary_clearance_cm,mpc_min_boundary_clearance_cm,delta_min_boundary_clearance_cm,league_policy_inference_latency_ms_mean,mpc_policy_inference_latency_ms_mean,delta_policy_inference_latency_ms_mean
trial001,1,1,0.202364325,0.803824171214,3,1,2,caught,caught,0.012150153346980611,0.08721375834817688,-0.07506360500119627,0.1348314606741573,0.4365482233502538,-0.3017167626760965,0.1348314606741573,0.4365482233502538,-0.3017167626760965,5.42513080034405,11.924924399703741,-6.499793599359691,2.5559008590291055,3.122136948677489,-0.5662360896483833,0.8651685393258427,0.5634517766497462,0.3017167626760965,0.0,0.0,0.0,1.2532479286193847,0.42706031799316335,0.8261876106262214,3.5015953789380463,1.4642480076575766,2.03734737128047
trial002,2,2,0.152322427,0.558178210011,0,2,1,caught,caught,0.033586828333015246,0.20117142666131257,-0.16758459832829734,0.4507042253521127,0.45958429561200925,-0.008880070259896566,0.4507042253521127,0.45958429561200925,-0.008880070259896566,4.346002499572933,26.302284100092947,-21.956281600520015,3.318725391173027,3.3788340380780966,-0.06010864690506956,0.5492957746478874,0.5404157043879908,0.008880070259896566,0.0,0.0,0.0,1.1543899297714233,0.595180702209472,0.5592092275619513,3.6968371963926723,1.7072289117129036,1.9896082846797687
trial003,3,3,0.117129833,0.837225530542,1,1,2,timeout,timeout,0.3519600983398656,0.7856448183146616,-0.433684719974796,0.3521695257315843,0.7852077001013171,-0.43303817436973285,0.3521695257315843,0.7852077001013171,-0.43303817436973285,59.942854300141335,59.941601200029254,0.001253100112080574,3.259536806076735,3.8549384602176624,-0.5954016541409275,0.6478304742684158,0.21479229989868287,0.4330381743697329,0.0,0.0,0.0,0.6065797924995422,0.8609857082366943,-0.2544059157371521,2.3914215866359765,1.5431393302124081,0.8482822564235684
trial004,4,4,0.288611221,0.554899431908,2,2,1,caught,caught,0.007090316666290164,0.01318836499315997,-0.006098048326869806,0.08139534883720931,0.1625,-0.0811046511627907,0.08139534883720931,0.1625,-0.0811046511627907,5.18595250044018,4.86096700001508,0.3249855004251003,2.594763776590658,2.7768467381596564,-0.1820829615689985,0.9186046511627907,0.8375,0.08110465116279064,0.0,0.0,0.0,0.6212655425071716,1.0515920639038085,-0.43032652139663696,2.3085706374224495,1.414480996377106,0.8940896410453436
trial005,5,5,0.261000585,0.730207180583,0,1,2,caught,caught,0.005062443328400453,0.006055573327466845,-0.0009931299990663918,0.19230769230769232,0.21428571428571427,-0.021978021978021955,0.19230769230769232,0.21428571428571427,-0.021978021978021955,1.5880552995949984,1.703321199864149,-0.11526590026915073,2.909766834515792,3.0198624644960677,-0.11009562998027578,0.8076923076923077,0.7857142857142857,0.02197802197802201,0.0,0.0,0.0,1.367991638183593,0.9564020156860344,0.4115896224975586,1.9385481625795364,5.019570321396545,-3.0810221588170084
trial006,6,6,0.20763287,0.896048271913,1,2,1,caught,caught,0.00611547000395755,0.03357082333726188,-0.027455353333304327,0.07407407407407407,0.49230769230769234,-0.41823361823361827,0.07407407407407407,0.49230769230769234,-0.41823361823361827,4.9434780003502965,3.9598524002358317,0.9836256001144648,2.3052729898028903,3.15696765092703,-0.8516946611241396,0.9259259259259259,0.5076923076923077,0.41823361823361827,0.0,0.0,0.0,1.3956942081451416,0.6397840499877923,0.7559101581573493,3.6190787330269814,1.3707500038435683,2.248328729183413
trial007,7,7,0.225019093,0.524416225548,0,1,2,caught,caught,0.004150201675171653,0.008155458327382802,-0.004005256652211149,0.14814814814814814,0.20512820512820512,-0.05698005698005698,0.14814814814814814,0.20512820512820512,-0.05698005698005698,1.6683069998398423,2.385298299603164,-0.7169912997633219,2.472972128126356,2.829574370995546,-0.35660224286918973,0.8518518518518519,0.7948717948717948,0.05698005698005704,0.0,0.0,0.0,1.3447944641113274,0.9404632568359368,0.4043312072753906,1.859638374298811,1.2206367805208032,0.6390015937780078
trial008,8,8,0.165394455,0.740052880468,0,2,1,caught,caught,0.029461744986474515,0.05502557499955098,-0.025563830013076463,0.6086956521739131,0.2163265306122449,0.39236912156166814,0.6086956521739131,0.2163265306122449,0.39236912156166814,2.7782131992280483,15.072435399517417,-12.294222200289369,3.542725461980571,2.8315354089347684,0.7111900530458026,0.391304347826087,0.7836734693877551,-0.3923691215616681,0.0,0.0,0.0,0.8753433942794799,0.8468957662582397,0.028447628021240234,3.8107688021328716,1.6049053596302134,2.2058634425026584
trial009,9,9,0.274049841,0.588468752896,3,1,2,caught,caught,0.016281671651328603,0.008118528329456845,0.008163143321871758,0.14953271028037382,0.2962962962962963,-0.14676358601592246,0.14953271028037382,0.2962962962962963,-0.14676358601592246,6.508216800168157,1.6457936000078917,4.862423200160265,2.654403908230434,2.8651369545194836,-0.21073304628904976,0.8504672897196262,0.7037037037037037,0.14676358601592243,0.0,0.0,0.0,0.9334005832672119,1.2744686126708977,-0.34106802940368586,2.956427414110809,3.8777845553480663,-0.9213571412372574
trial010,10,10,0.291200342,0.701817807453,2,2,1,caught,caught,0.007012708329906066,0.010141191662599643,-0.0031284833326935763,0.0875,0.1111111111111111,-0.02361111111111111,0.0875,0.1111111111111111,-0.02361111111111111,4.881278299726546,5.475910699926317,-0.5946324001997709,2.4907187432050706,2.679222477806939,-0.18850373460186853,0.9125,0.8888888888888888,0.023611111111111138,0.0,0.0,0.0,0.7000789165496826,0.6085525870323181,0.0915263295173645,3.551269669227208,2.2726584267750214,1.2786112424521865
trial011,11,11,0.125714041,0.674260143601,3,1,2,caught,timeout,0.09321228500145178,0.7477327683319648,-0.654520483330513,0.28307692307692306,0.7484848484848485,-0.46540792540792547,0.28307692307692306,0.7484848484848485,-0.46540792540792547,19.59582499973476,59.989001099951565,-40.393176100216806,3.198828162046579,3.8046819520719124,-0.6058537900253333,0.7169230769230769,0.2515151515151515,0.46540792540792536,0.0,0.0,0.0,0.6370348453521728,0.8716880798339837,-0.23465323448181086,2.2272357952861506,1.5249171821080676,0.702318613178083
trial012,12,12,0.150164892,0.616798830561,2,2,1,timeout,caught,0.20410958665112655,0.10238480335101485,0.1017247833001117,0.20321931589537223,0.3816793893129771,-0.1784600734176049,0.20321931589537223,0.3816793893129771,-0.1784600734176049,59.983392800204456,15.870996999554336,44.11239580065012,2.9749731024506105,3.3902054515503743,-0.4152323490997638,0.7967806841046278,0.6183206106870229,0.17846007341760484,0.0,0.0,0.0,1.0210084438323974,0.8351480484008782,0.18586039543151922,2.3223915684525998,1.5338693185213426,0.7885222499312572
trial013,13,13,0.272959517,0.714377141605,2,1,2,caught,caught,0.00506641500008603,0.006093751654649774,-0.0010273366545637446,0.25,0.23076923076923078,0.019230769230769218,0.25,0.23076923076923078,0.019230769230769218,1.1562768993899226,1.5885034995153546,-0.432226600125432,2.787096047401428,2.8573297674839315,-0.07023372008250339,0.75,0.7692307692307693,-0.019230769230769273,0.0,0.0,0.0,3.7143485069274895,1.3435089111328118,2.3708395957946777,1.7762735584064533,4.290131963789463,-2.5138584053830098
trial014,14,14,0.266196664,0.712787611121,3,2,1,caught,caught,0.009074001666158437,0.008131471664334337,0.0009425300018241003,0.140625,0.07272727272727272,0.06789772727272728,0.140625,0.07272727272727272,0.06789772727272728,3.88134209997952,6.627516100183129,-2.7461740002036095,2.6525026746094227,2.624793936989524,0.02770873761989856,0.859375,0.9272727272727272,-0.06789772727272725,0.0,0.0,0.0,1.4451605796813964,0.8238418817520141,0.6213186979293823,3.617199950866283,1.5134771072536433,2.1037228436126396
trial015,15,15,0.238548674,0.735872641092,2,1,2,caught,caught,0.009140880002329746,0.011165520005548994,-0.002024640003219247,0.2903225806451613,0.3333333333333333,-0.043010752688172005,0.2903225806451613,0.3333333333333333,-0.043010752688172005,1.932121000252664,2.0352857001125813,-0.10316469985991716,3.1730922883556736,3.1261955752517236,0.04689671310394994,0.7096774193548387,0.6666666666666666,0.043010752688172116,0.0,0.0,0.0,1.5572282791137688,0.9421846389770501,0.6150436401367188,6.76543324564894,1.1568499903660268,5.608583255282913
trial016,16,16,0.213383368,0.514324183862,0,2,1,caught,caught,0.005056053322429459,0.03251850167289376,-0.0274624483504643,0.16129032258064516,0.3076923076923077,-0.14640198511166255,0.16129032258064516,0.3076923076923077,-0.14640198511166255,1.9092450002208352,4.800244600512087,-2.890999600291252,2.5453109856574767,2.9306411811938653,-0.3853301955363886,0.8387096774193549,0.6923076923076923,0.14640198511166258,0.0,0.0,0.0,2.010243129730225,0.20641632080078054,1.8038268089294442,5.828813308229049,1.5460432087089502,4.282770099520098
trial017,17,17,0.269014959,0.539960663659,3,1,2,caught,caught,0.009151343333845338,0.011170781667654712,-0.0020194383338093744,0.3103448275862069,0.3333333333333333,-0.02298850574712641,0.3103448275862069,0.3333333333333333,-0.02298850574712641,1.786176299676299,2.014663999900222,-0.22848770022392273,3.1345874071121216,3.221342679226037,-0.08675527211391554,0.6896551724137931,0.6666666666666666,0.02298850574712652,0.0,0.0,0.0,1.831661415100097,0.9597169876098626,0.8719444274902344,5.855407133432371,4.656940640415996,1.198466493016375
trial018,18,18,0.179861154,0.847199311316,0,2,1,caught,caught,0.01434781999948124,0.030546733333418768,-0.016198913333937526,0.3888888888888889,0.35802469135802467,0.030864197530864224,0.3888888888888889,0.35802469135802467,0.030864197530864224,2.197530299425125,4.93209130037576,-2.7345610009506345,3.0892105102539062,2.7855665418836804,0.3036439683702259,0.6111111111111112,0.6419753086419753,-0.030864197530864113,0.0,0.0,0.0,0.9909243106842041,0.9489604949951165,0.04196381568908758,5.234045694981303,2.7915174956433475,2.4425281993379553
