run_id,pair_id,trial_index,internal_seed,hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,order_in_pair,controller,status,rollout_dir,done_reason,caught,duration_s,duration_target_s,num_control_steps,zpd_time_s,tiz_fixed_horizon_fraction,zpd_observed_occupancy_fraction,zpd_occupancy_fraction,distance_cm_mean,distance_cm_std,distance_cm_min,distance_cm_final,too_close_fraction,too_far_fraction,min_boundary_clearance_cm,boundary_occupancy_fraction,target_clipped_fraction,target_step_limited_fraction,control_loop_rate_hz_mean,camera_update_rate_hz_mean,policy_inference_latency_ms_mean,policy_inference_latency_ms_p95,safety_stop_count,microrobot_detection_fraction,microrobot_tcp_error_cm_mean,microrobot_tcp_error_cm_p95,virtual_hand_actual_move_cm_mean,virtual_hand_actual_move_cm_p95,virtual_hand_actual_to_stride_ratio_mean,virtual_hand_accel_clipped_fraction,virtual_hand_workspace_clipped_fraction,virtual_hand_policy_latency_ms_mean,virtual_hand_policy_latency_ms_p95
trial001_league,trial001,1,1,0.202364325,0.803824171214,3,1,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260824_210252_physical_dr40_virtual_pair\rollouts\20260824_210302_physical_dr40_trial001_league_virtual_h1_trial001,caught,True,5.42513080034405,60.0,89,0.7290092008188367,0.012150153346980611,0.1348314606741573,0.1348314606741573,2.5559008590291055,0.7322794976470406,1.3913379907608032,1.3913379907608032,0.8651685393258427,0.0,1.2532479286193847,0.0,0.0,0.0,16.31348320902547,13.680864937833869,3.5015953789380463,3.030459862202406,0,0.0,,,0.23456909939308057,0.286185958981514,1.1591425484362452,0.022727272727272728,0.03409090909090909,1.7517818751829592,2.5828951038420196
trial001_cv_mpc,trial001,1,1,0.202364325,0.803824171214,3,2,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260824_210252_physical_dr40_virtual_pair\rollouts\20260824_210325_physical_dr40_trial001_cv_mpc_virtual_h1_trial001,caught,True,11.924924399703741,60.0,197,5.232825500890613,0.08721375834817688,0.4365482233502538,0.4365482233502538,3.122136948677489,0.729853936022811,1.3899540901184082,1.3899540901184082,0.5634517766497462,0.0,0.42706031799316335,0.01015228426395939,0.0,0.0,16.491905146605834,14.214549211388558,1.4642480076575766,2.090924885123968,0,0.0,,,0.24802020614092446,0.2861805930733681,1.225612301678789,0.02040816326530612,0.0,2.0454117115967128,2.7768006548285484
trial002_cv_mpc,trial002,2,2,0.152322427,0.558178210011,0,1,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260824_210252_physical_dr40_virtual_pair\rollouts\20260824_210355_physical_dr40_trial002_cv_mpc_virtual_h1_trial002,caught,True,26.302284100092947,60.0,433,12.070285599678755,0.20117142666131257,0.45958429561200925,0.45958429561200925,3.3788340380780966,0.7101072750374062,1.4208645820617676,1.4208645820617676,0.5404157043879908,0.0,0.595180702209472,0.0,0.0,0.0,16.45825141200157,14.092797127757764,1.7072289117129036,2.1501299925148487,0,0.0,,,0.17558665733775813,0.21437672302126884,1.152730171097905,0.0,0.018518518518518517,2.1299904975522725,2.946124877780676
trial002_league,trial002,2,2,0.152322427,0.558178210011,0,2,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260824_210252_physical_dr40_virtual_pair\rollouts\20260824_210439_physical_dr40_trial002_league_virtual_h1_trial002,caught,True,4.346002499572933,60.0,71,2.0152096999809146,0.033586828333015246,0.4507042253521127,0.4507042253521127,3.318725391173027,1.1545423960461219,1.4322140216827393,1.4322140216827393,0.5492957746478874,0.0,1.1543899297714233,0.0,0.0,0.0,16.214119053415143,13.848938646890389,3.6968371963926723,2.9624350368976593,0,0.0,,,0.16828555879848345,0.21146018505096437,1.1047983026063748,0.0,0.0,1.574171440941947,2.3864100221544504
trial003_league,trial003,3,3,0.117129833,0.837225530542,1,1,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260824_210252_physical_dr40_virtual_pair\rollouts\20260824_210501_physical_dr40_trial003_league_virtual_h1_trial003,timeout,False,59.942854300141335,60.0,991,21.117605900391936,0.3519600983398656,0.3521695257315843,0.3521695257315843,3.259536806076735,0.6609974753434728,1.6612685918807983,3.4199330806732178,0.6478304742684158,0.0,0.6065797924995422,0.0,0.0,0.0,16.556987403269503,14.024718958420314,2.3914215866359765,3.0638501048088074,0,0.0,,,0.15026553532655618,0.16564622521400452,1.2828972045623608,0.01917255297679112,0.007063572149344097,1.786221483182895,2.591650001704693
trial003_cv_mpc,trial003,3,3,0.117129833,0.837225530542,1,2,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260824_210252_physical_dr40_virtual_pair\rollouts\20260824_210618_physical_dr40_trial003_cv_mpc_virtual_h1_trial003,timeout,False,59.941601200029254,60.0,987,47.138689098879695,0.7856448183146616,0.7852077001013171,0.7852077001013171,3.8549384602176624,0.4828104768949121,2.067340612411499,4.220301151275635,0.21479229989868287,0.0,0.8609857082366943,0.0,0.0,0.0,16.48220819118244,14.089561802463125,1.5431393302124081,2.1445595659315586,0,0.0,,,0.14201671569943125,0.16564532667398452,1.2124726217225226,0.04154002026342452,0.011144883485309016,2.284042844822462,3.010979760438203
trial004_cv_mpc,trial004,4,4,0.288611221,0.554899431908,2,1,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260824_210252_physical_dr40_virtual_pair\rollouts\20260824_210735_physical_dr40_trial004_cv_mpc_virtual_h1_trial004,caught,True,4.86096700001508,60.0,80,0.7913018995895982,0.01318836499315997,0.1625,0.1625,2.7768467381596564,0.7349981389640414,1.421938180923462,1.421938180923462,0.8375,0.0,1.0515920639038085,0.0,0.0,0.0,16.376136889710164,13.79293558336856,1.414480996377106,2.0970205776393414,0,0.0,,,0.30430657190235355,0.3997418642044067,1.0543823308323608,0.0,0.0,3.3844885404540013,2.8662201017141338
trial004_league,trial004,4,4,0.288611221,0.554899431908,2,2,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260824_210252_physical_dr40_virtual_pair\rollouts\20260824_210757_physical_dr40_trial004_league_virtual_h1_trial004,caught,True,5.18595250044018,60.0,86,0.42541899997740984,0.007090316666290164,0.08139534883720931,0.08139534883720931,2.594763776590658,0.6095840387473715,1.4956450462341309,1.4956450462341309,0.9186046511627907,0.0,0.6212655425071716,0.0,0.0,0.0,16.524383607298695,14.036679713615444,2.3085706374224495,3.104840032756328,0,0.0,,,0.25768501587650355,0.3850475251674652,0.8928447583696117,0.0,0.16470588235294117,2.9018270290073227,2.751779370009899
trial005_league,trial005,5,5,0.261000585,0.730207180583,0,1,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260824_210252_physical_dr40_virtual_pair\rollouts\20260824_210820_physical_dr40_trial005_league_virtual_h1_trial005,caught,True,1.5880552995949984,60.0,26,0.3037465997040272,0.005062443328400453,0.19230769230769232,0.19230769230769232,2.909766834515792,0.7777734986742808,1.3317664861679077,1.3317664861679077,0.8076923076923077,0.0,1.367991638183593,0.0,0.0,0.0,16.064474879518308,,1.9385481625795364,2.5412404909729953,0,0.0,,,0.31677765369415284,0.36837747097015383,1.2137047650454607,0.0,0.0,5.517887882888317,2.300039678812024
trial005_cv_mpc,trial005,5,5,0.261000585,0.730207180583,0,2,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260824_210252_physical_dr40_virtual_pair\rollouts\20260824_210839_physical_dr40_trial005_cv_mpc_virtual_h1_trial005,caught,True,1.703321199864149,60.0,28,0.36333439964801073,0.006055573327466845,0.21428571428571427,0.21428571428571427,3.0198624644960677,0.7395531789545362,1.233972191810608,1.233972191810608,0.7857142857142857,0.0,0.9564020156860344,0.0,0.0,0.0,16.11876027678501,0.6361257600066341,5.019570321396545,1.5518699772655962,0,0.0,,,0.3333212865723504,0.3690455317497253,1.277090189557814,0.0,0.0,1.8022591593088928,2.5224299170076847
