step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,policy_dt_s,policy_loop_hz_inst,policy_deadline_overrun_s,policy_deadline_overrun,servo_dt_s,servo_loop_hz_inst,servo_target_age_s,servo_interpolation_phase,servo_command_sequence,servo_policy_step,servo_commanded_world_x,servo_commanded_world_y,servo_commanded_world_z,servo_target_world_x,servo_target_world_y,servo_target_world_z,servo_tracking_error_cm,servo_target_error_cm,servo_deadline_overrun_s,servo_deadline_overrun_count,servo_watchdog_stopped,servo_stop_reason,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,virtual_hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,virtual_hand_action_x,virtual_hand_action_y,virtual_hand_action_norm,virtual_hand_command_dx_cm,virtual_hand_command_dy_cm,virtual_hand_command_norm_cm,virtual_hand_delayed_dx_cm,virtual_hand_delayed_dy_cm,virtual_hand_delayed_norm_cm,virtual_hand_smoothed_dx_cm,virtual_hand_smoothed_dy_cm,virtual_hand_smoothed_norm_cm,virtual_hand_exec_dx_cm,virtual_hand_exec_dy_cm,virtual_hand_exec_norm_cm,virtual_hand_actual_dx_cm,virtual_hand_actual_dy_cm,virtual_hand_actual_norm_cm,virtual_hand_accel_clipped,virtual_hand_workspace_clipped,virtual_hand_policy_inference_ms,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1787661858.2588894,2.998858690261841e-07,,,,,2.998858690261841e-07,False,,,0.00023330003023147583,0.004666000604629517,0,-1,-0.22712526175747796,-0.5226858460125985,0.113,-0.22712526175747796,-0.5226858460125985,0.113,0.003984182019715898,0.003984182019715898,1.600012183189392e-06,0,False,,False,,,,,False,False,False,,11.362445831298828,7.3061323165893555,7.498482704162598,4.999666690826416,,,4.499999523162842,True,0.117129833,0.837225530542,1,-1.0,-0.9951119422912598,1.4107613563537598,-0.11712983250617981,-0.1165572926402092,0.1652422398328781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,2.1588001400232315,2.581699751317501,-0.20144468545913696,-0.5211886167526245,0.5587642788887024,0.0,0.0,755.4678344726562,491.1927185058594,755.4678344726562,491.1927185058594,False,False,-0.22712526175747796,-0.5226858460125985,0.11296015817980284,False,,False,caught
1,1787661858.313899,0.0578853003680706,0.057885000482201576,17.275632576136523,0.057885000482201576,17.275632576136523,0.007885300554335117,True,0.008053900673985481,124.16343837341478,0.046910300850868225,0.9382060170173645,1,0,-0.2248138041435334,-0.5140097473414188,0.113,-0.2226245212034722,-0.5057922335559568,0.113,0.842325787895517,1.6927305970756892,0.0042710984125733376,4,False,,True,2,0.0022603003308176994,0.02891799993813038,34.58053814715696,False,False,False,,11.362445831298828,7.3061323165893555,7.494192123413086,4.989758014678955,,,4.5087666511535645,True,0.117129833,0.837225530542,1,-1.0,-1.0,1.4142135381698608,-0.11712983250617981,-0.11712983250617981,0.16564659774303436,-0.11712983250617981,-0.1165572926402092,0.1652422398328781,-0.09806408733129501,-0.09758474677801132,0.13834503293037415,-0.09806408733129501,-0.09758474677801132,0.13834503293037415,-0.09806442260742188,-0.09758472442626953,0.13834525644779205,False,False,1.1720005422830582,1.6374001279473305,0.4772973656654358,-1.0,1.1080671548843384,-0.20144468545913696,-0.5211886167526245,796.7304077148438,460.046630859375,796.7304077148438,460.046630859375,False,False,-0.22699667964384895,-0.5221450581441002,0.11294480951822738,False,,False,caught
2,1787661858.3601673,0.10368319973349571,0.04579789936542511,21.835062608896532,0.04579789936542511,21.835062608896532,0.003683200106024742,True,0.008086799643933773,123.65831280983193,0.03885219991207123,0.7770439982414246,2,1,-0.21673144526979102,-0.5101912202337247,0.113,-0.19852652747063945,-0.5047978200921865,0.113,1.258159293353683,3.0762519961363566,0.004838195629417896,10,False,,False,,,,,False,False,False,,11.264381408691406,7.208547592163086,7.471970081329346,4.924891471862793,,,4.426902770996094,True,0.117129833,0.837225530542,1,-1.0,-1.0,1.4142135381698608,-0.11712983250617981,-0.11712983250617981,0.16564659774303436,-0.11712983250617981,-0.11712983250617981,0.16564659774303436,-0.11402647197246552,-0.11394838988780975,0.1612025797367096,-0.11402647197246552,-0.11394838988780975,0.1612025797367096,-0.11402606964111328,-0.11394834518432617,0.16120226681232452,False,False,1.428700052201748,2.147299237549305,0.33542242646217346,-1.0,1.0547550916671753,0.4772973656654358,-1.0,785.7380981445312,453.2486267089844,785.7380981445312,453.2486267089844,False,False,-0.2259314315759865,-0.5187719267568128,0.11283204680511663,False,,False,caught
3,1787661858.4251637,0.16510429978370667,0.06142110005021095,16.28104998416689,0.06142110005021095,16.28104998416689,0.01510430034250021,True,0.008086900226771832,123.65677477873186,0.05760170053690672,1.0,3,2,-0.20721332344873472,-0.503476509160543,0.113,-0.2006535510010437,-0.49884881290700067,0.113,1.6854308472093311,2.4878900051407764,0.005505792796611786,18,False,,True,3,0.04511849954724312,0.028370399959385395,35.24800501337957,False,False,False,,11.150355339050293,7.09459924697876,7.5012431144714355,4.783592224121094,,,4.3193488121032715,True,0.117129833,0.837225530542,1,-1.0,-0.27149534225463867,1.036199688911438,-0.11712983250617981,-0.031800203025341034,0.12136989086866379,-0.11712983250617981,-0.11712983250617981,0.16564659774303436,-0.1166246235370636,-0.11661197245121002,0.16492317616939545,-0.1166246235370636,-0.11661197245121002,0.16492317616939545,-0.11662483215332031,-0.11661195755004883,0.1649233102798462,False,False,2.4655992165207863,2.4977000430226326,0.26665693521499634,-1.0,1.0349425077438354,0.33542242646217346,-1.0,784.5106811523438,438.44049072265625,784.5106811523438,438.44049072265625,False,False,-0.22064877767768762,-0.513652060494129,0.11287983847644469,False,,False,caught
4,1787661858.4682739,0.21126019954681396,0.0461558997631073,21.665702654101572,0.0461558997631073,21.665702654101572,0.011260200291872025,True,0.008093799464404583,123.55136847630862,0.033991700038313866,0.6798340007662773,4,3,-0.202451150286079,-0.4984641800797369,0.113,-0.1967494067454665,-0.4924629251938325,0.113,1.6425844161372853,2.4678632468588266,0.0059567904099822044,23,False,,True,4,0.026827899739146233,0.06437399983406067,15.534221930868648,False,False,False,,11.033730506896973,6.977987289428711,7.548117637634277,4.647593021392822,,,4.1928791999816895,True,0.117129833,0.837225530542,1,-1.0,-0.4183158874511719,1.0839687585830688,-0.11712983250617981,-0.048997268080711365,0.12696507573127747,-0.11712983250617981,-0.031800203025341034,0.12136989086866379,-0.11704763025045395,-0.04560539126396179,0.12561847269535065,-0.11704763025045395,-0.04560539126396179,0.12561847269535065,-0.11704730987548828,-0.04560518264770508,0.1256180852651596,False,False,1.132199540734291,1.7317002639174461,0.16021499037742615,-1.0,1.0127531290054321,0.26665693521499634,-1.0,782.7708129882812,424.187744140625,782.7708129882812,424.187744140625,False,False,-0.21483671682835376,-0.5092505038487074,0.1127523765125582,False,,False,caught
5,1787661858.51399,0.25696210004389286,0.045701900497078896,21.88092812603967,0.045701900497078896,21.88092812603967,0.006962100975215435,True,0.008089100010693073,123.62314703466252,0.03834890015423298,0.7669780030846596,5,4,-0.1967340391493106,-0.49076961422402016,0.113,-0.193497880838197,-0.48618742391994685,0.113,1.9387520279880972,2.495902105037347,0.006435188464820385,29,False,,False,,,,,False,False,False,,10.916683197021484,6.932382106781006,7.581618785858154,4.524453163146973,,,4.113487243652344,True,0.117129833,0.837225530542,1,-1.0,-0.22291207313537598,1.0245436429977417,-0.11712983250617981,-0.02610965445637703,0.12000463157892227,-0.11712983250617981,-0.048997268080711365,0.12696507573127747,-0.11711639910936356,-0.04844512417912483,0.12674060463905334,-0.11711639910936356,-0.04844512417912483,0.12674060463905334,-0.11711597442626953,-0.04844522476196289,0.1267402470111847,False,False,1.434500329196453,2.109999768435955,0.06763748079538345,-1.0,1.0022847652435303,0.16021499037742615,-1.0,780.513427734375,411.28271484375,780.513427734375,411.28271484375,False,False,-0.20990214663496193,-0.5049963738060372,0.112723957168877,False,,False,caught
6,1787661858.5621724,0.30356610007584095,0.04660400003194809,21.45738561742506,0.04660400003194809,21.45738561742506,0.0035661011934280396,True,0.008071199990808964,123.89731404732193,0.04164239950478077,0.8328479900956154,6,5,-0.1924883837950601,-0.48361462027944185,0.113,-0.1905259824233409,-0.4803074818614763,0.113,1.9256043200461321,2.307838636521495,0.006803886033594608,35,False,,True,5,0.040448300540447235,0.06411010026931763,15.598166214046444,False,False,False,,10.799567222595215,6.883936882019043,7.605614185333252,4.364332675933838,,,4.068137168884277,True,0.117129833,0.837225530542,1,-1.0,-1.0,1.4142135381698608,-0.11712983250617981,-0.11712983250617981,0.16564659774303436,-0.11712983250617981,-0.02610965445637703,0.12000463157892227,-0.11712758243083954,-0.0297453161329031,0.12084557861089706,-0.11712758243083954,-0.0297453161329031,0.12084557861089706,-0.1171274185180664,-0.029745101928710938,0.12084536999464035,False,False,1.6580000519752502,2.0388001576066017,-0.029017560184001923,-1.0,1.0004209280014038,0.06763748079538345,-1.0,777.0320434570312,394.5020751953125,777.0320434570312,394.5020751953125,False,False,-0.20421756784777215,-0.49888368182337145,0.11272214974657535,False,,False,caught
7,1787661858.62314,0.36404670029878616,0.06048060022294521,16.534227443407854,0.06048060022294521,16.534227443407854,0.014046701602637768,True,0.008079299703240395,123.7731037009218,0.050148699432611465,1.0,7,6,-0.18790804996437319,-0.4746966281756731,0.113,-0.18677557012569065,-0.47249166962191336,0.113,1.8075612021946765,2.0546498338756627,0.007408883422613144,42,False,,True,6,0.03766020014882088,0.07896929979324341,12.66314887707235,False,False,False,,10.682439804077148,6.854191780090332,7.6144866943359375,4.150506019592285,,,4.089284896850586,True,0.117129833,0.837225530542,1,-1.0,-1.0,1.4142135381698608,-0.11712983250617981,-0.11712983250617981,0.16564659774303436,-0.11712983250617981,-0.11712983250617981,0.16564659774303436,-0.11712944507598877,-0.10290583223104477,0.15591317415237427,-0.11712944507598877,-0.10290583223104477,0.15591317415237427,-0.11712932586669922,-0.1029057502746582,0.15591302514076233,False,False,1.6372008249163628,2.451099455356598,-0.08967147022485733,-1.0,1.0040124654769897,-0.029017560184001923,-1.0,774.2139892578125,372.0930480957031,774.2139892578125,372.0930480957031,False,False,-0.19749006926670357,-0.4900219964790843,0.11278612521767625,False,,False,caught
8,1787661858.6673243,0.4102776004001498,0.04623090010136366,21.630554408576252,0.04623090010136366,21.630554408576252,0.010277601890265942,True,0.00805210042744875,124.19119818614121,0.03791080042719841,0.7582160085439682,8,7,-0.18357130750609746,-0.46640204720018164,0.113,-0.18157402175459544,-0.4625959040434711,0.113,1.8762962973155037,2.3059222265144226,0.007958081550896168,48,False,,True,7,0.019948400557041168,0.0629855003207922,15.876669946366833,False,False,False,,10.56531047821045,6.751286029815674,7.606839656829834,3.985063076019287,,,4.0502519607543945,True,0.117129833,0.837225530542,1,-1.0,-0.976006031036377,1.3973503112792969,-0.11712983250617981,-0.11431942135095596,0.16367140412330627,-0.11712983250617981,-0.11712983250617981,0.16564659774303436,-0.11712975054979324,-0.11481451988220215,0.16401752829551697,-0.11712975054979324,-0.11481451988220215,0.16401752829551697,-0.11712932586669922,-0.11481428146362305,0.16401706635951996,False,False,1.1720992624759674,1.7184000462293625,-0.16187727451324463,-1.0,1.0130174160003662,-0.08967147022485733,-1.0,768.9946899414062,354.7546081542969,768.9946899414062,354.7546081542969,False,False,-0.1928258677875039,-0.48272238355521785,0.11277973927203327,False,,False,caught
9,1787661858.714081,0.4560709996148944,0.04579339921474457,21.83720835639604,0.04579339921474457,21.83720835639604,0.006071001291275024,True,0.008076599799096584,123.81447946843373,0.03279989957809448,0.6559979915618896,9,8,-0.18123613254870768,-0.4602704167281557,0.113,-0.17864700937852085,-0.45347197686140955,0.113,1.804742914419789,2.5297829243423555,0.00823167897760868,53,False,,False,,,,,False,False,False,,10.44818115234375,6.636471748352051,7.592823505401611,3.8480637073516846,,,3.991025924682617,True,0.117129833,0.837225530542,1,-1.0,-1.0,1.4142135381698608,-0.11712983250617981,-0.11712983250617981,0.16564659774303436,-0.11712983250617981,-0.11431942135095596,0.16367140412330627,-0.11712975054979324,-0.1143999770283699,0.16372761130332947,-0.11712975054979324,-0.1143999770283699,0.16372761130332947,-0.11712932586669922,-0.11439990997314453,0.163727268576622,False,False,1.7424002289772034,2.098299562931061,-0.21397259831428528,-1.0,1.0226359367370605,-0.16187727451324463,-1.0,764.358642578125,340.3970642089844,764.358642578125,340.3970642089844,False,False,-0.18924982892572004,-0.4764396579566219,0.11278550713864663,False,,False,caught
