step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,policy_dt_s,policy_loop_hz_inst,policy_deadline_overrun_s,policy_deadline_overrun,policy_schedule_resynced,policy_step_start_perf,servo_publish_perf,servo_publish_latency_ms,servo_endpoint_deadline_perf,servo_endpoint_lateness_s,servo_dt_s,servo_loop_hz_inst,servo_target_age_s,servo_interpolation_phase,servo_command_sequence,servo_policy_step,servo_commanded_world_x,servo_commanded_world_y,servo_commanded_world_z,servo_target_world_x,servo_target_world_y,servo_target_world_z,servo_segment_start_world_x,servo_segment_start_world_y,servo_segment_start_world_z,servo_segment_end_world_x,servo_segment_end_world_y,servo_segment_end_world_z,servo_segment_start_perf,servo_segment_end_perf,servo_segment_elapsed_s,servo_segment_duration_s,servo_pending_segment_count,servo_command_step_limited,servo_command_step_limited_count,servo_publish_rejected_count,servo_tracking_error_cm,servo_target_error_cm,servo_deadline_overrun_s,servo_deadline_overrun_count,servo_watchdog_stopped,servo_stop_reason,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,virtual_hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,virtual_hand_action_x,virtual_hand_action_y,virtual_hand_action_norm,virtual_hand_command_dx_cm,virtual_hand_command_dy_cm,virtual_hand_command_norm_cm,virtual_hand_delayed_dx_cm,virtual_hand_delayed_dy_cm,virtual_hand_delayed_norm_cm,virtual_hand_smoothed_dx_cm,virtual_hand_smoothed_dy_cm,virtual_hand_smoothed_norm_cm,virtual_hand_exec_dx_cm,virtual_hand_exec_dy_cm,virtual_hand_exec_norm_cm,virtual_hand_actual_dx_cm,virtual_hand_actual_dy_cm,virtual_hand_actual_norm_cm,virtual_hand_accel_clipped,virtual_hand_workspace_clipped,virtual_hand_policy_inference_ms,mpc_prediction_mode,mpc_tracking_alpha,mpc_command_actual_lag_cm,mpc_predicted_first_command_x_cm,mpc_predicted_first_command_y_cm,mpc_predicted_first_actual_x_cm,mpc_predicted_first_actual_y_cm,mpc_predicted_min_hand_distance_cm,mpc_hand_velocity_x_cm_step,mpc_hand_velocity_y_cm_step,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,planned_anchor_x_cm,planned_anchor_y_cm,planned_target_x_cm,planned_target_y_cm,planned_delta_dx_cm,planned_delta_dy_cm,planned_delta_norm_cm,actual_robot_move_dx_cm,actual_robot_move_dy_cm,actual_robot_move_norm_cm,actual_to_planned_step_projection,planned_endpoint_actual_lag_cm,planned_endpoint_actual_lag_excess_cm,servo_follower_lag_allowance_cm,servo_lag_warning_cm,servo_lag_hard_limit_cm,servo_publish_accepted,servo_publish_reject_reason,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1787734156.0264192,2.998858690261841e-07,,,,,2.998858690261841e-07,False,False,7275360.9576258,7275360.9619422,4.316399805247784,7275361.0076258,0.0,,,0.00040399935096502304,1.0,0,-1,-0.22706975451053713,-0.5227436347822499,0.113,-0.22706975451053713,-0.5227436347822499,0.113,-0.22706975451053713,-0.5227436347822499,0.113,-0.22706975451053713,-0.5227436347822499,0.113,7275360.956605,7275360.956605,0.00040399935096502304,0.0,1,False,0,0,0.003951207171640439,0.003951207171640439,0.0,0,False,,False,,,,,False,False,False,,3.1288909912109375,3.9311509132385254,7.499983787536621,4.999522686004639,,,4.499763488769531,True,0.20763287,0.896048271913,1,0.8908367156982422,-0.1264832615852356,0.8997710943222046,0.18496698141098022,-0.026262082159519196,0.1868220567703247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1.988300122320652,dual_command_actual,0.5,0.0004156805807724595,7.5001325607299805,4.999910831451416,7.500058174133301,4.999716758728027,4.499881744384766,0.0,0.0,2.0097000524401665,0.0,0.0,0.0,0.0,0.0,768.0135498046875,523.9906616210938,768.0135498046875,523.9906616210938,7.5001325607299805,4.999910831451416,7.5001325607299805,4.999910831451416,0.0,0.0,0.0,0.0,0.0,0.0,,0.0004156805807724595,0.0,2.0,1.5,3.0,True,,False,False,-0.22706396840418144,-0.5227229909737581,0.11296681027334379,False,,False,caught
1,1787734156.0773313,0.05080460011959076,0.05080430023372173,19.6833731672234,0.05080430023372173,19.6833731672234,0.0008046003058552742,False,False,7275361.0076258,7275361.012991,5.365200340747833,7275361.057625799,0.0,0.008098599500954151,123.47813963169597,0.0525043997913599,1.0,1,0,-0.2267965464124442,-0.5223418581281509,0.113,-0.2267965464124442,-0.5223418581281509,0.113,-0.22706975451053713,-0.5227436347822499,0.113,-0.2267965464124442,-0.5223418581281509,0.113,7275360.9576258,7275361.0076258,0.0525043997913599,0.049999999813735485,1,False,0,0,0.04635873748362318,0.04635873748362318,9.859950095415099e-05,1,False,,True,1,0.031488100066781044,,,False,False,False,,3.1288909912109375,3.9311509132385254,7.499809741973877,4.999447822570801,,,4.499576568603516,True,0.20763287,0.896048271913,1,1.0,0.18855923414230347,1.0176219940185547,0.2076328694820404,0.03915109485387802,0.21129179000854492,0.18496698141098022,-0.026262082159519196,0.1868220567703247,0.16573934257030487,-0.023532092571258545,0.16740158200263977,0.16573934257030487,-0.023532092571258545,0.16740158200263977,0.1657392978668213,-0.02353215217590332,0.1674015372991562,False,False,1.6039004549384117,dual_command_actual,0.5,0.0005644370685331523,7.5001325607299805,4.999910831451416,7.499971389770508,4.9996795654296875,4.499788761138916,0.0,0.0,1.6378005966544151,0.0,0.0,0.0,0.0,0.0,768.0135498046875,523.9906616210938,768.0135498046875,523.9906616210938,7.5001325607299805,4.999910831451416,7.5001325607299805,4.999910831451416,0.0,0.0,0.0,-0.00017404556274414062,-7.486343383789062e-05,0.00018946343334391713,,0.0005644370685331523,0.0,2.0,1.5,3.0,True,,False,False,-0.22706839176807436,-0.5227148705504719,0.11295669769608821,False,,False,caught
2,1787734156.1281288,0.10000320058315992,0.049198600463569164,20.325781436414744,0.049198600463569164,20.325781436414744,3.2009556889533997e-06,False,False,7275361.057625799,7275361.0623836,4.75780013948679,7275361.107625799,0.0,0.008001199923455715,124.98125400772393,0.05055780056864023,1.0,2,1,-0.2267965464124442,-0.5223418581281509,0.113,-0.2267965464124442,-0.5223418581281509,0.113,-0.2267965464124442,-0.5223418581281509,0.113,-0.2267965464124442,-0.5223418581281509,0.113,7275361.0076258,7275361.057625799,0.05055780056864023,0.049999999813735485,1,False,0,0,0.019814555905393133,0.019814555905393133,1.199923455715013e-06,1,False,,True,3,0.01811850070953369,0.03309949953109026,30.21193716420706,False,False,False,,3.294630289077759,3.907618761062622,7.498547554016113,4.993902683258057,,,4.341996669769287,True,0.20763287,0.896048271913,1,1.0,1.0,1.4142135381698608,0.2076328694820404,0.2076328694820404,0.293637216091156,0.2076328694820404,0.03915109485387802,0.21129179000854492,0.20327796041965485,0.03263506293296814,0.20588096976280212,0.20327796041965485,0.03263506293296814,0.20588096976280212,0.2032780647277832,0.03263497352600098,0.2058810591697693,False,False,1.9333995878696442,dual_command_actual,0.5,0.006213701795786619,7.800132751464844,5.599910736083984,7.6493401527404785,5.296906471252441,4.434070587158203,0.08286964893341064,-0.01176607608795166,1.06120016425848,0.5,1.0,1.1180340051651,0.0,0.0,798.7335815429688,586.8706665039062,798.7335815429688,586.8706665039062,7.5001325607299805,4.999910831451416,7.800132751464844,5.599910736083984,0.3000001907348633,0.5999999046325684,0.670820415019989,-0.0012621879577636719,-0.005545139312744141,0.005686975549906492,,0.006213701795786619,0.0,2.0,1.5,3.0,True,,False,False,-0.22695312978734775,-0.5224450416393762,0.11293599631035767,False,,False,caught
3,1787734156.1769576,0.15000270027667284,0.04999949969351292,20.000200124597306,0.04999949969351292,20.000200124597306,2.7008354663848877e-06,False,False,7275361.107625799,7275361.1121142,4.488401114940643,7275361.157625799,0.0,0.008030999451875687,124.51750320645884,0.04862650018185377,0.972530007260032,3,2,-0.22972734164313288,-0.5374196576796697,0.113,-0.23333109316578135,-0.555959555152891,0.113,-0.2267965464124442,-0.5223418581281509,0.113,-0.23333109316578135,-0.555959555152891,0.113,7275361.057625799,7275361.107625799,0.04862650018185377,0.049999999813735485,1,True,6,0,1.3745985283025772,3.2632611247179817,3.099945187568648e-05,1,False,,True,4,0.03482799977064133,0.029784999787807465,33.573946856610405,False,False,False,,3.497908353805542,3.940253734588623,7.5117506980896,5.019589900970459,,,4.156428337097168,True,0.20763287,0.896048271913,1,1.0,1.0,1.4142135381698608,0.2076328694820404,0.2076328694820404,0.293637216091156,0.2076328694820404,0.2076328694820404,0.293637216091156,0.2071801722049713,0.1894415318965912,0.28073424100875854,0.2071801722049713,0.1894415318965912,0.28073424100875854,0.20718026161193848,0.18944168090820312,0.28073441982269287,False,False,1.6596000641584396,dual_command_actual,0.5,0.6480250358581543,8.100132942199707,5.899910926818848,7.805941581726074,5.459750175476074,4.407519340515137,0.12300578504800797,0.0030342738609761,1.0425997897982597,0.5,0.5,0.7071067690849304,0.5,1.0,829.4536743164062,618.3106689453125,829.4536743164062,618.3106689453125,7.800132751464844,5.599910736083984,8.100132942199707,5.899910926818848,0.3000001907348633,0.3000001907348633,0.4242643415927887,0.013203144073486328,0.025687217712402344,0.02888176217675209,0.043051715940237045,0.6480250358581543,0.0,2.0,1.5,3.0,True,,False,False,-0.2272073983197315,-0.5239066950648498,0.11295712321741658,False,,False,caught
4,1787734156.232488,0.20431450009346008,0.05431179981678724,18.412205144615918,0.05431179981678724,18.412205144615918,0.004314500838518143,True,False,7275361.157625799,7275361.1671479,9.522100910544395,7275361.207625799,0.0,0.008210700005292892,121.79229534088037,0.05488640069961548,1.0,4,3,-0.2308108411364724,-0.5552827186592392,0.113,-0.23081798115135949,-0.5773775782702776,0.113,-0.23333109316578135,-0.555959555152891,0.113,-0.23081798115135949,-0.5773775782702776,0.113,7275361.107625799,7275361.157625799,0.05488640069961548,0.049999999813735485,1,True,13,0,1.8641473014757635,4.070824591809933,0.0002107000052928923,1,False,,True,5,0.048472399823367596,0.03296949993818998,30.33106361560726,False,False,False,,3.7050886154174805,4.129695415496826,7.627376079559326,5.244718074798584,,,4.077697277069092,True,0.20763287,0.896048271913,1,1.0,-0.07704126834869385,1.0029633045196533,0.2076328694820404,-0.0159962996840477,0.20824815332889557,0.2076328694820404,0.2076328694820404,0.293637216091156,0.20758582651615143,0.20574186742305756,0.2922697365283966,0.20758582651615143,0.20574186742305756,0.2922697365283966,0.20758581161499023,0.20574188232421875,0.2922697365283966,False,False,1.9928999245166779,dual_command_actual,0.5,0.807945966720581,8.40013313293457,6.199911117553711,8.013754844665527,5.722314834594727,4.390490531921387,0.19206587970256805,0.06618150323629379,1.175600104033947,0.5,0.5,0.7071067690849304,0.5,0.5,860.1736450195312,649.7506713867188,860.1736450195312,649.7506713867188,8.100132942199707,5.899910926818848,8.40013313293457,6.199911117553711,0.3000001907348633,0.3000001907348633,0.4242643415927887,0.11562538146972656,0.225128173828125,0.25308480858802795,0.5679222345352173,0.807945966720581,0.0,2.0,1.5,3.0,True,,False,False,-0.22943545670620435,-0.5366934569194588,0.11322843335757063,False,,False,caught
5,1787734156.2781599,0.25069390051066875,0.04637940041720867,21.56129641617701,0.04637940041720867,21.56129641617701,0.0006939014419913292,False,False,7275361.207625799,7275361.2127395,5.113701336085796,7275361.257625799,0.0,0.00802220031619072,124.65408000118879,0.052923101000487804,1.0,5,4,-0.23001610186194904,-0.5706202043804511,0.113,-0.22803284907771906,-0.5983443185271943,0.113,-0.23081798115135949,-0.5773775782702776,0.113,-0.22803284907771906,-0.5983443185271943,0.113,7275361.157625799,7275361.207625799,0.052923101000487804,0.049999999813735485,1,True,19,0,2.0562147482247886,4.834833444109625,2.2200316190719438e-05,1,False,,True,6,0.029115600511431694,0.04065670073032379,24.59619157572592,False,False,False,,3.9126744270324707,4.335437297821045,7.766128063201904,5.468986511230469,,,4.016719818115234,True,0.20763287,0.896048271913,1,1.0,1.0,1.4142135381698608,0.2076328694820404,0.2076328694820404,0.293637216091156,0.2076328694820404,-0.0159962996840477,0.20824815332889557,0.20762798190116882,0.007053768262267113,0.20774777233600616,0.20762798190116882,0.007053762674331665,0.20774777233600616,0.2076277732849121,0.007053852081298828,0.20774756371974945,False,False,1.561800017952919,dual_command_actual,0.5,0.9675811529159546,8.700133323669434,6.499911308288574,8.23313045501709,5.9844489097595215,4.381539344787598,0.2060147076845169,0.14260618388652802,1.2484993785619736,0.5,0.5,0.7071067690849304,0.5,0.5,890.8936157226562,681.1907348632812,890.8936157226562,681.1907348632812,8.40013313293457,6.199911117553711,8.700133323669434,6.499911308288574,0.3000001907348633,0.3000001907348633,0.4242643415927887,0.13875198364257812,0.22426843643188477,0.26372039318084717,0.6050336360931396,0.9675811529159546,0.0,2.0,1.5,3.0,True,,False,False,-0.2307559855153431,-0.5500737411344611,0.11331197650926339,False,,False,caught
6,1787734156.3257966,0.3000011006370187,0.049307200126349926,20.2810136742199,0.049307200126349926,20.2810136742199,1.101754605770111e-06,False,False,7275361.257625799,7275361.2616292,4.003400914371014,7275361.3076257985,0.0,0.008087200112640858,123.65218939456318,0.051329201087355614,1.0,6,5,-0.22877084076824583,-0.5859295544068129,0.113,-0.22590184775980413,-0.6193645914237075,0.113,-0.22803284907771906,-0.5983443185271943,0.113,-0.22590184775980413,-0.6193645914237075,0.113,7275361.207625799,7275361.257625799,0.051329201087355614,0.049999999813735485,1,True,25,0,1.943184733139559,5.298520287038546,8.720011264085753e-05,1,False,,True,7,0.017308100126683712,0.06574269942939281,15.210814412541621,False,False,False,,4.120302200317383,4.342491149902344,7.964649200439453,5.728602886199951,,,4.086601257324219,True,0.20763287,0.896048271913,1,1.0,0.7895369529724121,1.2741148471832275,0.2076328694820404,0.16393382847309113,0.264548122882843,0.2076328694820404,0.2076328694820404,0.293637216091156,0.20763233304023743,0.1867823302745819,0.27928268909454346,0.20763233304023743,0.1867823302745819,0.27928268909454346,0.20763254165649414,0.1867823600769043,0.2792828679084778,False,False,1.451900228857994,dual_command_actual,0.5,1.065764307975769,8.700133323669434,6.7999114990234375,8.332391738891602,6.264257431030273,4.385526657104492,0.20746462047100067,0.13407914340496063,1.1963006108999252,0.0,0.5,0.5,0.5,0.5,890.8936157226562,712.6307373046875,890.8936157226562,712.6307373046875,8.700133323669434,6.499911308288574,8.700133323669434,6.7999114990234375,0.0,0.3000001907348633,0.3000001907348633,0.19852113723754883,0.2596163749694824,0.3268199861049652,0.763562023639679,1.065764307975769,0.0,2.0,1.5,3.0,True,,False,False,-0.23084699904018363,-0.5666116567846914,0.11332417433852898,False,,False,caught
7,1787734156.375957,0.3500025002285838,0.05000139959156513,19.99944017904436,0.05000139959156513,19.99944017904436,2.5015324354171753e-06,False,False,7275361.3076257985,7275361.3112964,3.670601174235344,7275361.357625798,0.0,0.008042499423027039,124.3394556096368,0.04940210096538067,0.9880420229883567,7,6,-0.22972773884495198,-0.6012272908445999,0.113,-0.2345192975937807,-0.631438126648953,0.113,-0.22590184775980413,-0.6193645914237075,0.113,-0.2345192975937807,-0.631438126648953,0.113,7275361.257625799,7275361.3076257985,0.04940210096538067,0.049999999813735485,1,True,31,0,1.6168564963643421,4.665528927196603,4.249942302703841e-05,1,False,,False,,,,,False,False,False,,4.327934741973877,4.529273509979248,8.213171005249023,6.0006890296936035,,,4.1545305252075195,True,0.20763287,0.896048271913,1,1.0,-1.0,1.4142135381698608,0.2076328694820404,-0.2076328694820404,0.293637216091156,0.2076328694820404,0.16393382847309113,0.264548122882843,0.20763283967971802,0.16630896925926208,0.26602643728256226,0.20763283967971802,0.16630896925926208,0.26602643728256226,0.20763301849365234,0.16630887985229492,0.2660265266895294,False,False,2.291199751198292,dual_command_actual,0.5,0.9358893632888794,9.000133514404297,6.7999114990234375,8.60665225982666,6.400300025939941,4.389869689941406,0.20761537551879883,0.13319270312786102,1.0722000151872635,0.5,0.0,0.5,0.0,0.5,921.6136474609375,712.6307373046875,921.6136474609375,712.6307373046875,8.700133323669434,6.7999114990234375,9.000133514404297,6.7999114990234375,0.3000001907348633,0.0,0.3000001907348633,0.2485218048095703,0.27208614349365234,0.36850231885910034,0.9069532155990601,0.9358893632888794,0.0,2.0,1.5,3.0,True,,False,False,-0.22941374758332977,-0.5850637050372168,0.11324979255102316,False,,False,caught
8,1787734156.4312494,0.40328590013086796,0.053283399902284145,18.767571172896048,0.053283399902284145,18.767571172896048,0.0032859016209840775,True,False,7275361.357625798,7275361.3662329,8.607101626694202,7275361.407625798,0.0,0.008548200130462646,116.9836906878639,0.05600360129028559,1.0,8,7,-0.22821109856457797,-0.6189611289402486,0.113,-0.22313048839525654,-0.640221276097614,0.113,-0.2345192975937807,-0.631438126648953,0.113,-0.22313048839525654,-0.640221276097614,0.113,7275361.3076257985,7275361.357625798,0.05600360129028559,0.049999999813735485,1,True,38,0,1.845097799586089,4.014881499407537,0.0005482001304626463,1,False,,True,8,0.039552800357341766,0.06111850030720234,16.361658008191633,False,False,False,,4.535567760467529,4.695582389831543,8.404534339904785,6.241832256317139,,,4.166508197784424,True,0.20763287,0.896048271913,1,1.0,1.0,1.4142135381698608,0.2076328694820404,0.2076328694820404,0.293637216091156,0.2076328694820404,-0.2076328694820404,0.293637216091156,0.2076328843832016,-0.1687609851360321,0.2675662338733673,0.2076328992843628,-0.14514043927192688,0.25333213806152344,0.20763301849365234,-0.1451406478881836,0.25333234667778015,True,False,1.7900997772812843,dual_command_actual,0.5,0.8162051439285278,9.30013370513916,6.7999114990234375,8.852334022521973,6.520872116088867,4.411832809448242,0.20763111114501953,0.12004836648702621,2.253100275993347,0.5,0.0,0.5,0.5,0.0,952.333740234375,712.6307373046875,952.333740234375,712.6307373046875,9.000133514404297,6.7999114990234375,9.30013370513916,6.7999114990234375,0.3000001907348633,0.0,0.3000001907348633,0.19136333465576172,0.24114322662353516,0.30784735083580017,0.637877345085144,0.8162051439285278,0.0,2.0,1.5,3.0,True,,False,False,-0.22923694992488122,-0.6005403157616058,0.11324466268176489,False,,False,caught
9,1787734156.4762518,0.45000340044498444,0.04671750031411648,21.405254846176632,0.04671750031411648,21.405254846176632,3.402121365070343e-06,False,False,7275361.407625798,7275361.4116504,4.02460154145956,7275361.457625798,0.0,0.008000100031495094,124.99843702743246,0.04604510124772787,0.9209020283851848,9,8,-0.22285825744003263,-0.6305572614123237,0.113,-0.21171227077121285,-0.6490271055817278,0.113,-0.22313048839525654,-0.640221276097614,0.113,-0.21171227077121285,-0.6490271055817278,0.113,7275361.357625798,7275361.407625798,0.04604510124772787,0.049999999813735485,1,True,43,0,1.6898362936746805,3.832672692538445,1.0003149509413278e-07,1,False,,True,9,0.02105840016156435,0.0813637999817729,12.290478077769473,False,False,False,,4.743200778961182,4.550441741943359,8.583356857299805,6.463005542755127,,,4.290070056915283,True,0.20763287,0.896048271913,1,1.0,1.0,1.4142135381698608,0.2076328694820404,0.2076328694820404,0.293637216091156,0.2076328694820404,0.2076328694820404,0.293637216091156,0.2076328843832016,0.17096145451068878,0.26895955204963684,0.2076328843832016,0.1663086712360382,0.2660262882709503,0.20763301849365234,0.16630887985229492,0.2660265266895294,True,False,1.5294002369046211,dual_command_actual,0.5,0.7920067310333252,9.30013370513916,6.7999114990234375,8.94174575805664,6.631458282470703,4.469263076782227,0.2076328545808792,0.06931686401367188,1.0140994563698769,0.0,0.0,0.0,0.5,0.0,952.333740234375,712.6307373046875,952.333740234375,712.6307373046875,9.30013370513916,6.7999114990234375,9.30013370513916,6.7999114990234375,0.0,0.0,0.0,0.17882251739501953,0.22117328643798828,0.2844206690788269,0.596074640750885,0.7920067310333252,0.0,2.0,1.5,3.0,True,,False,False,-0.22895055669157602,-0.6147962786290605,0.11317315160219459,False,,False,caught
