step,distance,robot_x,robot_y,hand_x,hand_y,action_x,action_y,done_reason
1,8.197445717551128,10.359619949242742,1.6496475910175594,4.66415394577027,7.545390402189584,0.047208357602357864,0.5833736658096313,
2,7.708836856825689,10.40058925770846,1.871290576957539,4.918539804544455,7.291004543415399,0.07010450959205627,0.3792637288570404,
3,7.24989840601604,10.45253016450134,2.0680370753038675,5.17292566331864,7.036618684641214,0.08887852728366852,0.3366621732711792,
4,7.101685382903118,10.514679115495355,2.250786197685078,5.046596569147116,6.782232825867029,0.10634598881006241,0.31271061301231384,
5,6.675575262225024,10.572043266377122,2.431602013610676,5.300982427921301,6.527846967092843,0.09815849363803864,0.3094024360179901,
6,6.35111638432984,10.637319375059278,2.6032470588911325,5.5553682866954865,6.412505840174051,0.1116970106959343,0.2937099039554596,
7,5.9635770638109085,10.711131889602811,2.767172140382603,5.809754145469672,6.1643397260821775,0.12630406022071838,0.2804999053478241,
8,5.735490767914079,10.793095071098477,2.9238556002605707,6.064140004243857,6.169289057365747,0.1402510553598404,0.26810842752456665,
9,5.375648275830171,10.882777940711648,3.0749740873802454,6.318525863018042,5.914903198591562,0.1534605771303177,0.25858592987060547,
10,5.301251977419197,11.20445482083288,3.0813544814813882,6.572911721792227,5.6605173398173765,0.5504364371299744,0.010917792096734047,
11,5.335891991272041,11.558617215833337,3.0832883916668594,6.766869065489775,5.430817519537301,0.606023907661438,0.003309204475954175,
12,5.310944715107246,11.911097746572167,3.1038557417564094,7.02125492426396,5.176431660763116,0.6031460165977478,0.03519375994801521,
13,5.330325894872594,12.26508594699827,3.142190718638152,7.2756407830381455,5.017773588410707,0.6057258248329163,0.06559678167104721,
14,5.3208201224372935,12.614877414188058,3.1964099384717644,7.530026641812331,4.763387729636522,0.5985445976257324,0.09277705103158951,
15,5.3235001745072825,12.96190799423185,3.270779547827691,7.784412500586516,4.5090018708623365,0.593820333480835,0.1272573322057724,
16,5.338712467831925,13.303227376422555,3.367126328485459,8.038798359360701,4.254616012088151,0.5840476155281067,0.1648634970188141,
17,5.371036888111866,13.63512475439039,3.48657838030383,8.293184218134886,4.044887040964456,0.567925214767456,0.20440001785755157,
18,5.303808263109609,13.848867189368875,3.6273110560946167,8.547570076909071,3.7905011821902708,0.3657447099685669,0.24081429839134216,
19,5.133064422281302,13.928714398524434,3.7904733918480575,8.801955935683257,3.5361153234160856,0.13663031160831451,0.27919474244117737,
20,4.954187398081154,13.961147710910708,3.9794770531229675,9.056341794457442,3.2817294646419004,0.055498164147138596,0.32341304421424866,
21,4.7345107197156855,13.978500008812816,4.201066961126775,9.310727653231627,3.408922408930154,0.029692333191633224,0.3791728913784027,
22,4.5118092683026365,14.009704100197823,4.439218943553418,9.565113512005812,3.6633082677043394,0.05339478701353073,0.4075130522251129,
23,4.314848900887105,14.054698145246775,4.686022525268048,9.819499370779997,3.860787783972116,0.07699142396450043,0.4223172068595886,
24,4.135874145963064,14.0985253325167,4.94605240746066,10.073885229554183,3.993305330387445,0.074994757771492,0.44494932889938354,
25,3.9284600178111915,14.132353125369818,5.228383784728497,10.328271088328368,4.24769118916163,0.057884328067302704,0.4831104874610901,
26,3.730545474860219,14.169319709992678,5.528147106605023,10.582656947102553,4.502077047935815,0.06325525790452957,0.5129390954971313,
27,3.5408511988836295,14.205328284061224,5.848378723102063,10.837042805876738,4.75646290671,0.0616159625351429,0.5479633808135986,
28,3.4616008070728324,14.236032081997664,6.194150482850522,11.080231619205481,4.771616270057054,0.052538711577653885,0.5916662812232971,
29,3.5438450548675164,14.391679881370337,6.671850418286771,11.334617477979666,4.879308303109498,0.26633626222610474,0.8174148201942444,
30,3.454218954812847,14.249940229809553,7.123948579268903,11.589003336753851,4.9214401368416265,-0.24253737926483154,0.7736064195632935,
31,3.478142593648973,14.24146808706847,7.695090477900952,11.843389195528037,5.175825995615812,-0.014497080817818642,0.9773077368736267,
32,3.531338908709604,14.189155549040706,8.275643651919811,12.097775054302222,5.430211854389997,-0.08951444178819656,0.9934118390083313,
33,3.577273550650118,13.97041770838824,8.814377670722454,12.237973344650275,5.684597713164182,-0.3742925822734833,0.9218530654907227,
34,3.499773596744777,13.769374683729083,9.197456633286922,12.49235920342446,5.938983571938367,-0.34401416778564453,0.6555044054985046,
35,3.437385261462968,13.685792401662738,9.500000273423641,12.746745062198645,6.193369430712552,-0.1430215686559677,0.5176966190338135,
36,3.108734898822239,13.591074332824618,9.500000273423641,13.00113092097283,6.447755289486738,-0.16207653284072876,0.0,
37,2.842098018426721,13.488971717885406,9.500000273423641,12.989466500606543,6.702141148260923,-0.17471258342266083,0.0,
38,2.5507325629929594,13.436155118277938,9.500000273423641,13.243852359380728,6.956527007035108,-0.09037696570158005,0.0,
39,2.2992663318851516,13.332771666577727,9.500000273423641,13.116659415092474,7.210912865809293,-0.17690427601337433,0.0,
40,2.0695912475772142,13.240688063434035,9.500000273423641,12.86227355631829,7.465298724583478,-0.1575685739517212,0.0,
41,1.8676504328704713,13.225572768828542,9.500000273423641,12.661131289925581,7.7196845833576635,-0.0258644912391901,0.0,Robot Caught
