step,distance,robot_x,robot_y,hand_x,hand_y,action_x,action_y,done_reason
1,4.4743281043497385,7.383817448274777,3.350489005600618,9.106920832891515,7.479717348922923,-0.06913581490516663,-0.7574974894523621,
2,4.630458415608242,7.372048905113325,2.8769031317583784,8.88159594883447,7.254392464865878,-0.020089229568839073,-0.808424174785614,
3,4.776199506388236,7.39754518307148,2.421715751444505,8.656271064777425,7.029067580808833,0.043522853404283524,-0.7770174741744995,
4,4.9099448235470255,7.458824137219772,1.9909953625551924,8.43094618072038,6.803742696751788,0.10460487008094788,-0.7352516055107117,
5,5.034649638364625,7.553254442283497,1.5862124414793715,8.205621296663335,6.5784178126947435,0.16119514405727386,-0.6909756660461426,
6,5.153341781448163,7.678158270189152,1.2086158843390211,7.98029641260629,6.3530929286376985,0.21321429312229156,-0.6445677876472473,
7,5.11797046197001,7.830815525719509,1.0540716947666868,7.754971528549245,6.17148015390797,0.26059016585350037,-0.2638112008571625,
8,4.935882815561492,8.008789734908923,1.015927620386289,7.7725811546040084,5.946155269850925,0.3038069009780884,-0.06511299312114716,
9,4.7749338009541535,8.20052944309412,0.9907958229682907,7.5472562705469635,5.72083038579388,0.32730498909950256,-0.04290067404508591,
10,4.652240915704706,8.425130384036883,0.9754028759575948,7.324213588733723,5.495505501736835,0.383400022983551,-0.026276186108589172,
11,4.5799990846392085,8.68971325642763,0.975338494755785,7.098888704676678,5.27018061767979,0.4516502916812897,-0.00010990048758685589,
12,4.486328724604719,8.99788512475191,0.9973639327813788,7.062696362037709,5.044855733622745,0.5260578989982605,0.037598032504320145,
13,4.3160667957955665,9.342807071277484,1.0239692576010628,7.288021246094754,4.8195308495657,0.5887913107872009,0.045416027307510376,
14,4.189891630351318,9.717112349340304,1.0306955719147726,7.513346130151799,4.594205965508655,0.638949453830719,0.011482005007565022,
15,4.096022705025182,10.120267437764987,1.0364044535686179,7.738671014208844,4.36888108145161,0.6881968975067139,0.0097452187910676,
16,4.0315263028087385,10.552620993921145,1.0528888836284085,7.963995898265889,4.143556197394565,0.738039493560791,0.028139378875494003,
17,4.000711313155758,11.013833628961429,1.0848908483763142,8.189320782322934,3.91823131333752,0.7873027324676514,0.05462823808193207,
18,4.10394460695487,11.501321839162692,1.1342184267719193,8.292665260036042,3.692906429280475,0.8321558833122253,0.08420354127883911,
19,4.147163829113479,12.00192617065607,1.2178798787076874,8.517990144093087,3.46758154522343,0.8545454740524292,0.14281241595745087,
20,4.424886579229628,12.512169884511813,1.3064821310122414,8.533175261814645,3.242256661166385,0.8710001111030579,0.15124650299549103,
21,4.530405928950106,12.997582094737872,1.4185694552739068,8.75850014587169,3.01693177710934,0.8286120891571045,0.19133616983890533,
22,4.66233339062053,13.467873530456409,1.5146332479794427,8.983825029928735,2.791606893052295,0.8028004765510559,0.163983553647995,
23,4.7964452138409985,13.906125025817737,1.594525101013939,9.20914991398578,2.56628200899525,0.7481074333190918,0.13637760281562805,
24,4.71514845780689,14.068171875545367,1.6858407206614419,9.434474798042825,2.5584668565885575,0.27661845088005066,0.15587829053401947,
25,4.494163119301507,14.120150873431548,1.7828971244175835,9.65979968209987,2.3331419725315126,0.08872959017753601,0.1656779646873474,
26,4.303006153466574,14.156397202977523,1.9010667674024506,9.885124566156914,2.422691171278194,0.06187348812818527,0.20171885192394257,
27,4.090769995372257,14.197309484699353,2.0185529388268395,10.11044945021396,2.197366287221149,0.06983839720487595,0.20055215060710907,
28,3.9052038374475617,14.236033981659993,2.1684890933115883,10.335774334271004,1.9720414031641038,0.06610378623008728,0.2559451758861542,
29,3.750363069132294,14.26386053487061,2.365602860577862,10.56109921832805,1.7699672479526551,0.047500696033239365,0.33647865056991577,
30,3.5802121364319284,14.27386504131703,2.621226111777584,10.786424102385094,1.8114887226717027,0.017077969387173653,0.43635597825050354,
31,3.532414218187485,14.282694057555481,2.9199061490376397,11.01174898644214,1.5861638386146577,0.015071374364197254,0.5098550915718079,
32,3.404989241869579,14.243409552605435,3.2975437141735955,11.237073870499184,1.6988262582914384,-0.06705974042415619,0.6446377635002136,
33,3.7290681177809253,14.36114442441015,3.8193962074597283,11.46239875455623,1.4735013742343934,0.2009766846895218,0.8908166289329529,
34,3.6717042539263676,14.14728723558931,4.31232575548486,11.687723638613274,1.5861637939111741,-0.36506015062332153,0.8414443731307983,
35,3.6599815756624863,13.955288008780762,4.8487115897019315,11.91304852267032,1.811488677968219,-0.32774800062179565,0.9156254529953003,
36,3.7656347630002953,13.805701435537621,5.413205484278958,12.138373406727364,2.036813562025264,-0.25534841418266296,0.9636067152023315,
37,3.94284336537351,13.669017911882683,5.9826430476983,12.36369829078441,2.262138446082309,-0.23332254588603973,0.9720456600189209,
38,4.162209651882086,13.538554699154183,6.539916793235104,12.589023174841454,2.487463330139354,-0.22270430624485016,0.951281726360321,
39,4.393019404576112,13.4222638467267,7.063541928656857,12.8143480588985,2.712788214196399,-0.19851170480251312,0.8938426375389099,
40,4.6143544182297145,13.310813956888005,7.5444944597561765,13.039672942955544,2.938113098253444,-0.190248042345047,0.820999264717102,
41,4.817593757903262,13.164051332505032,7.98037413729028,13.243648411829522,3.163437982310489,-0.25052785873413086,0.7440586686134338,
42,5.006158248481765,12.985440664918706,8.371514777072232,13.468973295886567,3.388762866367534,-0.3048933446407318,0.6676878929138184,
43,5.280893896569759,12.778915815980717,8.717210868724148,13.439542325336983,3.4778012682096513,-0.3525436222553253,0.5901128053665161,
44,5.21817218744757,12.565775685937687,8.861869925983708,13.35106776853328,3.7031261522666963,-0.3638361096382141,0.24693700671195984,
45,5.040405740557207,12.343970634968564,8.907860858716528,13.125742884476235,3.9284510363237413,-0.37862735986709595,0.07850779592990875,
46,4.88666584284239,12.11613545659332,8.941858498730223,13.092746066052964,4.153775920380786,-0.38892096281051636,0.05803491547703743,
47,4.74338166375999,11.87034726980476,8.967092723004978,13.074506629381826,4.379100804437831,-0.4195672273635864,0.04307552054524422,
48,4.5727461493333585,11.601192810566708,8.983984293766778,12.916287396226576,4.604425688494876,-0.45945411920547485,0.028834380209445953,
49,4.396990246535489,11.312046536238476,9.004928887241046,12.69096251216953,4.829750572551921,-0.49358069896698,0.035753000527620316,
50,4.2358112532933605,11.004335888655469,9.030838804670136,12.465637628112486,5.055075456608966,-0.5252705812454224,0.044228944927453995,
51,4.08562796905942,10.675715037615582,9.054574411713045,12.24031274405544,5.280400340666011,-0.5609648823738098,0.04051733762025833,
52,3.947320122569846,10.322723337443158,9.071896411829155,12.014987859998396,5.505725224723056,-0.6025665998458862,0.02956913411617279,
53,3.825202832472812,9.941274889738843,9.080025801785748,11.78966297594135,5.731050108780101,-0.6511430740356445,0.01387709379196167,
54,3.913444598007808,9.527160861523434,9.075960616000454,11.570606757078817,5.738390018452838,-0.7069041132926941,-0.006939384620636702,
55,3.8120857321550896,9.100780763657376,9.044982888155143,11.345281873021772,5.963714902509883,-0.7278426289558411,-0.05287984013557434,
56,3.7552341486097274,8.639818140299603,9.008737430327098,11.119956988964727,6.189039786566928,-0.7868759632110596,-0.06187199801206589,
57,3.7473263151000897,8.14377913716583,8.959018372349899,10.894632104907682,6.414364670623973,-0.8467522859573364,-0.084871806204319,
58,3.791109163365365,7.617840685875699,8.889369681828182,10.669307220850637,6.639689554681018,-0.8977914452552795,-0.11889223754405975,
59,4.066313989658613,7.071885683567807,8.799442947261493,10.443982336793592,6.5270271350042375,-0.9319602847099304,-0.15350742638111115,
60,4.265290281035831,6.549786546261593,8.71578643506066,10.218657452736547,6.540450264920429,-0.8912376761436462,-0.14280398190021515,
61,4.367303371568929,6.04803744796066,8.638736747555892,9.993332568679502,6.765775148977474,-0.8564995527267456,-0.1315259486436844,
62,4.505069219364053,5.555750736029431,8.55835977976815,9.768007684622457,6.960692708601192,-0.8403470516204834,-0.13720570504665375,
63,4.645367476320104,5.081380733282849,8.480707846932571,9.542682800565412,7.186017592658237,-0.809762716293335,-0.13255399465560913,
64,4.837604399460725,4.62997833731918,8.407994300477664,9.317357916508367,7.211796571721271,-0.7705563902854919,-0.12412403523921967,
