trial_index,trial_seed,episodes,reward_mean,reward_std,tiz_mean,tiz_std,zpd_coverage_mean,zpd_coverage_std,episode_length_mean,episode_length_std,catch_rate,oob_rate,boundary_occupancy_mean,boundary_occupancy_std,min_clearance_mean,min_clearance_std,min_clearance_p05,too_close_rate,too_far_rate,avg_distance_mean,avg_distance_std,test_name,test_type
0,479243620,1000,-47.74968399862901,7.464021929820696,0.16661,0.11239769188529247,0.53875391879984,0.14646772746904566,30.171,18.2027772633766,0.993,0.0,0.03688727719732215,0.05722982955972685,0.4877185884601877,0.18799039442855467,0.13363127958945478,0.40108834956277656,0.06015773163738353,3.8051463756934725,0.5548681201894021,scripted_hand,scripted
1,454024514,1000,-47.35496316827512,8.50820255710252,0.16540000000000002,0.11746675460928696,0.5344434496032366,0.14278694132015327,30.042,18.23262637868348,0.99,0.0,0.0389142332237263,0.06688965289326414,0.4893160671610917,0.1892589399996642,0.14010092375387342,0.40793588593271807,0.05762066446404525,3.7906336647456746,0.5448615908011175,scripted_hand,scripted
2,1818751028,1000,-48.12727761222518,7.465099698343318,0.15685,0.10790468442528768,0.5274283652916757,0.1436612291666444,29.07,17.81837800122656,0.996,0.0,0.042988157324356166,0.06695743935791594,0.4806449532929497,0.1930318463184707,0.12303497588798065,0.4123317141175734,0.06023992059075077,3.781364515581973,0.5484586302679393,scripted_hand,scripted
3,2288458700,1000,-47.39689737636457,7.893455684663808,0.16249,0.11309593534071236,0.5305765840358394,0.1523520895774286,29.521,17.91363886700459,0.991,0.0,0.03969364071563355,0.06950608064150816,0.491331175206049,0.1968196736280286,0.10279164548067535,0.41335538910591707,0.05606802685824343,3.761693685243123,0.5344072648899614,scripted_hand,scripted
4,2115331525,1000,-47.47891838305203,8.785281587018634,0.16978000000000001,0.1195928679063014,0.5390837438339734,0.13909141401120953,30.729,19.259399873399055,0.988,0.0,0.03525635655763321,0.05636789004859437,0.49403446397493694,0.19900540379284498,0.10144550057611755,0.4006575663983994,0.06025868976762716,3.8021749840362125,0.5247770726153677,scripted_hand,scripted
5,2666256175,1000,-47.86540597500732,7.667186373962776,0.1643,0.11232955055517638,0.5347823208877276,0.1452019294898049,30.088,18.5062350773121,0.991,0.0,0.03858022087652142,0.05916948294421147,0.48414608171679185,0.19162241609880043,0.11538192956176163,0.41023143605460916,0.0549862430576633,3.770554070866732,0.5144523037497218,scripted_hand,scripted
6,975381835,1000,-47.319847337250685,7.156529820537345,0.15937,0.11412242122837662,0.5303060816891043,0.15133437102801744,28.95,18.28764440648215,0.991,0.0,0.042297413847279745,0.0708420963439877,0.48729114357675113,0.20359973570907258,0.09261280935788761,0.4122012748578746,0.05749264345302105,3.780539356419181,0.5474816595814437,scripted_hand,scripted
7,2535166222,1000,-47.830338497992024,8.510680909111011,0.16298,0.11398733575583173,0.5264451328029045,0.1476492425638364,30.197,18.644833622771237,0.988,0.0,0.04100765841123359,0.06671982266233153,0.48441232640152515,0.19360231589044652,0.11587309738172663,0.41940483742460216,0.05415002977249331,3.752940266810532,0.5540085962625726,scripted_hand,scripted
8,1079577930,1000,-47.68157129834709,7.6440622926351605,0.16056,0.10944160024352652,0.5362686809003562,0.14225920628017819,29.283,17.692086392534968,0.994,0.0,0.04258815430423393,0.06286969825172434,0.47950111204264173,0.19908476072147274,0.10414149009028534,0.4058410054579627,0.05789031364168115,3.78390852610207,0.5294045811304118,scripted_hand,scripted
9,3715024065,1000,-47.99722104611907,7.872611818409424,0.16156,0.11168455506398295,0.5301194333948327,0.1454914562051752,29.612,18.050409227307654,0.995,0.0,0.04003825140432669,0.0686632028603827,0.48245548361669294,0.18975079406516748,0.12782150673942488,0.4121850202900846,0.057695546315082835,3.769640287586724,0.517770983951156,scripted_hand,scripted
