step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,policy_dt_s,policy_loop_hz_inst,policy_deadline_overrun_s,policy_deadline_overrun,servo_dt_s,servo_loop_hz_inst,servo_target_age_s,servo_interpolation_phase,servo_command_sequence,servo_policy_step,servo_commanded_world_x,servo_commanded_world_y,servo_commanded_world_z,servo_target_world_x,servo_target_world_y,servo_target_world_z,servo_tracking_error_cm,servo_target_error_cm,servo_deadline_overrun_s,servo_deadline_overrun_count,servo_watchdog_stopped,servo_stop_reason,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,virtual_hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,virtual_hand_action_x,virtual_hand_action_y,virtual_hand_action_norm,virtual_hand_command_dx_cm,virtual_hand_command_dy_cm,virtual_hand_command_norm_cm,virtual_hand_delayed_dx_cm,virtual_hand_delayed_dy_cm,virtual_hand_delayed_norm_cm,virtual_hand_smoothed_dx_cm,virtual_hand_smoothed_dy_cm,virtual_hand_smoothed_norm_cm,virtual_hand_exec_dx_cm,virtual_hand_exec_dy_cm,virtual_hand_exec_norm_cm,virtual_hand_actual_dx_cm,virtual_hand_actual_dy_cm,virtual_hand_actual_norm_cm,virtual_hand_accel_clipped,virtual_hand_workspace_clipped,virtual_hand_policy_inference_ms,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1787662504.1281207,2.998858690261841e-07,,,,,2.998858690261841e-07,False,,,,0.0,0,-1,-0.22705897670423292,-0.5227709442489534,0.113,-0.22705897670423292,-0.5227709442489534,0.113,0.0031820914167909886,0.0031820914167909886,0.0,0,False,,False,,,,,False,False,False,,3.392573833465576,3.163433313369751,7.500646114349365,5.000207901000977,,,4.5,True,0.213383368,0.514324183862,0,1.0,1.0,1.4142135381698608,0.21338336169719696,0.21338336169719696,0.3017696440219879,0.21338336169719696,0.21338336169719696,0.3017696440219879,0.1097482219338417,0.1097482219338417,0.15520742535591125,0.1097482219338417,0.1097482219338417,0.15520742535591125,0.10974812507629395,0.10974812507629395,0.1552072912454605,False,False,2.2350000217556953,2.53439974039793,0.4059402346611023,-0.40322694182395935,0.5721707940101624,0.0,0.0,793.0071411132812,498.6669006347656,793.0071411132812,498.6669006347656,False,False,-0.22705897670423292,-0.5227709442489534,0.1129681790858321,False,,False,caught
1,1787662504.185201,0.057508399710059166,0.05750809982419014,17.388854840572584,0.05750809982419014,17.388854840572584,0.007508399896323681,True,0.008108499459922314,123.32738072471683,0.046214899979531765,0.9242979995906353,1,0,-0.2182781957574132,-0.5209491324385749,0.113,-0.21044430709903228,-0.5193237791852064,0.113,0.8108565652760136,1.6108943238434834,0.00359959714114666,4,False,,True,1,0.031341600231826305,,,False,False,False,,3.50232195854187,3.273181438446045,7.511565208435059,4.986362934112549,,,4.359933853149414,True,0.213383368,0.514324183862,0,1.0,0.3550335764884949,1.0611544847488403,0.21338336169719696,0.07575825601816177,0.2264327108860016,0.21338336169719696,0.07575825601816177,0.2264327108860016,0.16305023431777954,0.09226631373167038,0.18734580278396606,0.16305023431777954,0.09226631373167038,0.18734580278396606,0.16305017471313477,0.09226632118225098,0.18734575808048248,False,False,1.439899206161499,2.111099660396576,-0.253826379776001,-0.7434667348861694,0.7856020927429199,0.4059402346611023,-0.40322694182395935,753.5891723632812,475.8216247558594,753.5891723632812,475.8216247558594,False,False,-0.22623640440167495,-0.5225026992446711,0.11295328492197346,False,,False,caught
2,1787662504.2307956,0.10277369990944862,0.04526530019938946,22.09197764281011,0.04526530019938946,22.09197764281011,0.0027737002819776535,True,0.00803889986127615,124.39513083339406,0.037212700583040714,0.7442540116608143,2,1,-0.21749189463647584,-0.5126622398146108,0.113,-0.21885475568362636,-0.498756802386305,0.113,1.0722363890051732,2.3327797987324224,0.003957195207476616,10,False,,True,2,0.03341150004416704,0.027519799768924713,36.33747368791533,False,False,False,,3.665372133255005,3.365447759628296,7.5510783195495605,4.93906307220459,,,4.192252159118652,True,0.213383368,0.514324183862,0,1.0,-0.8746566772460938,1.3285421133041382,0.21338336169719696,-0.18663717806339264,0.28348878026008606,0.21338336169719696,-0.18663717806339264,0.28348878026008606,0.18893775343894958,-0.05118049308657646,0.19574707746505737,0.18893775343894958,-0.05118049681186676,0.19574707746505737,0.18893766403198242,-0.05118060111999512,0.1957470178604126,False,False,1.171099953353405,1.6847997903823853,-0.2166568636894226,-0.5684047341346741,0.6082960963249207,-0.253826379776001,-0.7434667348861694,759.9190063476562,481.87249755859375,759.9190063476562,481.87249755859375,False,False,-0.22334006489416564,-0.5216493349495758,0.11298936689855038,False,,False,caught
3,1787662504.2907143,0.16400539968162775,0.06123169977217913,16.331410098374473,0.06123169977217913,16.331410098374473,0.014005400240421295,True,0.008076200261712074,123.82060468966256,0.04887220077216625,0.977444015443325,3,2,-0.21829486156357059,-0.5030953414531468,0.113,-0.21831339122800242,-0.5028745709452844,0.113,1.3509628533080063,1.3726405387278402,0.004451492801308632,17,False,,True,3,0.032687099650502205,0.04318870045244694,23.1542044452357,False,False,False,,3.8543097972869873,3.314267158508301,7.546705722808838,4.819933891296387,,,3.9875833988189697,True,0.213383368,0.514324183862,0,1.0,1.0,1.4142135381698608,0.21338336169719696,0.21338336169719696,0.3017696440219879,0.21338336169719696,0.21338336169719696,0.3017696440219879,0.20151066780090332,0.08489104360342026,0.21866193413734436,0.20151066780090332,0.08489105105400085,0.21866193413734436,0.20151066780090332,0.08489108085632324,0.21866194903850555,False,False,1.2272000312805176,1.906299963593483,-0.11564358323812485,-0.4037013649940491,0.4199383556842804,-0.2166568636894226,-0.5684047341346741,765.6775512695312,479.74432373046875,765.6775512695312,479.74432373046875,False,False,-0.21999031888492476,-0.5164981536227498,0.11301065455869966,False,,False,caught
4,1787662504.336472,0.20981569960713387,0.045810299925506115,21.829151994772754,0.045810299925506115,21.829151994772754,0.009815700352191925,True,0.00803190004080534,124.50354149324453,0.0359738003462553,0.719476006925106,4,3,-0.21629726799319257,-0.5035076444927047,0.113,-0.2155111807089521,-0.5037544801310346,0.113,0.7773484289360649,0.7868902256539467,0.00502949021756649,23,False,,True,4,0.014188099652528763,0.061954000033438206,16.141007835818087,False,False,False,,4.055820465087891,3.399158239364624,7.493265151977539,4.720648765563965,,,3.682711362838745,True,0.213383368,0.514324183862,0,1.0,1.0,1.4142135381698608,0.21338336169719696,0.21338336169719696,0.3017696440219879,0.21338336169719696,0.21338336169719696,0.3017696440219879,0.20761707425117493,0.15097776055335999,0.2567082643508911,0.20761707425117493,0.15097776055335999,0.2567082643508911,0.20761728286743164,0.15097784996032715,0.2567084729671478,False,False,1.1587003245949745,1.7073005437850952,0.023449845612049103,-0.07049261033535004,0.0742906704545021,-0.11564358323812485,-0.4037013649940491,768.7510986328125,490.2914123535156,768.7510986328125,490.2914123535156,False,False,-0.21909235512207226,-0.5107607730313927,0.11291831560627685,False,,False,caught
5,1787662504.3821983,0.25550359953194857,0.0456878999248147,21.88763330434597,0.0456878999248147,21.88763330434597,0.005503600463271141,True,0.008085799403488636,123.67360975694596,0.03874969948083162,0.7749939896166325,5,4,-0.2171293990224444,-0.5078327285396577,0.113,-0.21750185374709124,-0.5090473506477837,0.113,0.10412145057922076,0.13258155648946657,0.005324187688529491,29,False,,False,,,,,False,False,False,,4.263437747955322,3.550136089324951,7.47487211227417,4.665632724761963,,,3.399653434753418,False,0.213383368,0.514324183862,0,1.0,1.0,1.4142135381698608,0.21338336169719696,0.21338336169719696,0.3017696440219879,0.21338336169719696,0.21338336169719696,0.3017696440219879,0.2105829119682312,0.18307450413703918,0.27903661131858826,0.2105829119682312,0.18307450413703918,0.27903661131858826,0.21058273315429688,0.1830744743347168,0.2790364623069763,False,False,1.390300691127777,2.0823003724217415,0.15406569838523865,0.1858358234167099,0.2413942664861679,0.023449845612049103,-0.07049261033535004,774.8927001953125,500.6437072753906,774.8927001953125,500.6437072753906,False,False,-0.21816628792169496,-0.5079018783527445,0.11293513582627401,False,,False,caught
6,1787662504.428341,0.3016554992645979,0.046151899732649326,21.667580441820213,0.046151899732649326,21.667580441820213,0.0016555003821849823,True,0.008034099824726582,124.46945168919808,0.03439810033887625,0.687962006777525,6,5,-0.2177905560006183,-0.512607748707108,0.113,-0.21809043607341588,-0.5147735481204031,0.113,0.48785891980131274,0.7055639336022285,0.006057485938072205,34,False,,True,5,0.024477900005877018,0.06431220006197691,15.549149291056935,False,False,False,,4.474020481109619,3.733210563659668,7.481433391571045,4.6571245193481445,,,3.146132469177246,False,0.213383368,0.514324183862,0,1.0,1.0,1.4142135381698608,0.21338336169719696,0.21338336169719696,0.3017696440219879,0.21338336169719696,0.21338336169719696,0.3017696440219879,0.21202316880226135,0.19866305589675903,0.29055261611938477,0.21202316880226135,0.19866305589675903,0.29055261611938477,0.21202325820922852,0.19866299629211426,0.29055264592170715,False,False,1.1397004127502441,1.6011996194720268,0.2612484097480774,0.3563369810581207,0.44184473156929016,0.15406569838523865,0.1858358234167099,782.1498413085938,510.47314453125,782.1498413085938,510.47314453125,False,False,-0.21766416696161772,-0.5077307976186894,0.11299745933791638,False,,False,caught
7,1787662504.4892828,0.3626384995877743,0.060983000323176384,16.398012473977168,0.060983000323176384,16.398012473977168,0.012638500891625881,True,0.008035900071263313,124.44156735796632,0.0526825999841094,1.0,7,6,-0.2179340898955121,-0.521056641432322,0.113,-0.2179340898955121,-0.521056641432322,0.113,0.9447691007443191,0.9447691007443191,0.006479183211922646,42,False,,True,6,0.024184999987483025,0.0819261996075511,12.206107506393236,False,False,False,,4.686043739318848,3.9318735599517822,7.527522087097168,4.7174201011657715,,,2.9480643272399902,False,0.213383368,0.514324183862,0,1.0,1.0,1.4142135381698608,0.21338336169719696,0.21338336169719696,0.3017696440219879,0.21338336169719696,0.21338336169719696,0.3017696440219879,0.2127227932214737,0.20623403787612915,0.29628273844718933,0.2127227932214737,0.20623403787612915,0.29628273844718933,0.2127227783203125,0.20623421669006348,0.2962828576564789,False,False,1.2333998456597328,1.6659004613757133,0.35201507806777954,0.5149699449539185,0.6237857341766357,0.2612484097480774,0.3563369810581207,792.4461059570312,526.7669677734375,792.4461059570312,526.7669677734375,False,False,-0.21769044820767733,-0.5116121382094255,0.11302937639818128,False,,False,caught
8,1787662504.5263107,0.40068529918789864,0.03804679960012436,26.28341964396741,0.03804679960012436,26.28341964396741,0.0006853006780147552,False,0.008074999786913395,123.83901255584331,0.023361600004136562,0.46723200008273125,8,7,-0.21830379444425554,-0.5253786677249614,0.113,-0.218725355366794,-0.5303069202913774,0.113,1.082717508136371,1.5770912275559834,0.006723981350660324,46,False,,False,,,,,False,False,False,,4.89876651763916,4.138107776641846,7.561360836029053,4.764159202575684,,,2.7352054119110107,False,0.213383368,0.514324183862,0,1.0,-0.25948476791381836,1.0331177711486816,0.21338336169719696,-0.05536973103880882,0.22045013308525085,0.21338336169719696,-0.05536973103880882,0.22045013308525085,0.21306252479553223,0.07168497145175934,0.2247985154390335,0.21306252479553223,0.07168497145175934,0.2247985154390335,0.21306228637695312,0.0716848373413086,0.2247982621192932,False,False,1.3948995620012283,1.8010996282100677,0.4491952657699585,0.5074428915977478,0.6776980757713318,0.35201507806777954,0.5149699449539185,801.8818969726562,531.19189453125,801.8818969726562,531.19189453125,False,False,-0.2177828095214993,-0.5145645595207538,0.1131065772041843,False,,False,caught
9,1787662504.5822752,0.45458959974348545,0.053904300555586815,18.55139552304898,0.053904300555586815,18.55139552304898,0.004589601419866085,True,0.008066600188612938,123.96796377879629,0.04273509979248047,0.8547019958496094,9,8,-0.21702699115882107,-0.5336911455595668,0.113,-0.2167882970749833,-0.5348512772769428,0.113,1.31569420028031,1.4332510368687967,0.007214078679680824,53,False,,True,7,0.05129440035670996,0.060902200639247894,16.41976791484869,False,False,False,,5.111828804016113,4.209792613983154,7.629504680633545,4.8598456382751465,,,2.6002423763275146,False,0.213383368,0.514324183862,0,1.0,1.0,1.4142135381698608,0.21338336169719696,0.21338336169719696,0.3017696440219879,0.21338336169719696,0.21338336169719696,0.3017696440219879,0.21322742104530334,0.14456380903720856,0.25761333107948303,0.21322742104530334,0.14456380903720856,0.25761333107948303,0.2132272720336914,0.1445636749267578,0.2576131224632263,False,False,2.227400429546833,1.657099463045597,0.5049737095832825,0.6397103667259216,0.8150017261505127,0.4491952657699585,0.5074428915977478,812.286865234375,549.5368041992188,812.286865234375,549.5368041992188,False,False,-0.21801488353823203,-0.5205714102970546,0.11304169116717101,False,,False,caught
