run_id,pair_id,trial_index,internal_seed,hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,policy_freq_target_hz,servo_mode,servo_freq_target_hz,servo_target_timeout_s,servo_interpolation_mode,servo_trajectory_mode,servo_lag_warning_cm,servo_lag_hard_limit_cm,order_in_pair,controller,status,rollout_dir,done_reason,caught,duration_s,duration_target_s,num_control_steps,zpd_time_s,tiz_fixed_horizon_fraction,zpd_observed_occupancy_fraction,zpd_occupancy_fraction,distance_cm_mean,distance_cm_std,distance_cm_min,distance_cm_final,too_close_fraction,too_far_fraction,min_boundary_clearance_cm,boundary_occupancy_fraction,target_clipped_fraction,target_step_limited_fraction,control_loop_rate_hz_mean,policy_loop_rate_hz_mean,servo_loop_rate_hz_mean,servo_target_age_s_mean,servo_tracking_error_cm_mean,servo_tracking_error_cm_p95,servo_target_error_cm_mean,planned_endpoint_actual_lag_cm_mean,planned_endpoint_actual_lag_cm_p95,planned_endpoint_actual_lag_cm_max,planned_endpoint_actual_lag_excess_cm_p95,planned_endpoint_actual_lag_excess_cm_max,servo_follower_lag_allowance_cm,actual_to_planned_step_projection_mean,actual_to_planned_step_projection_p50,servo_command_step_limited_count,servo_publish_rejected_count,servo_deadline_overrun_count,servo_watchdog_stop_count,policy_deadline_overrun_count,camera_update_rate_hz_mean,policy_inference_latency_ms_mean,policy_inference_latency_ms_p95,safety_stop_count,microrobot_detection_fraction,microrobot_tcp_error_cm_mean,microrobot_tcp_error_cm_p95,virtual_hand_actual_move_cm_mean,virtual_hand_actual_move_cm_p95,virtual_hand_actual_to_stride_ratio_mean,virtual_hand_accel_clipped_fraction,virtual_hand_workspace_clipped_fraction,virtual_hand_policy_latency_ms_mean,virtual_hand_policy_latency_ms_p95
trial001_league,trial001,1,1,0.202364325,0.803824171214,3,20.0,interpolated,125.0,0.15,committed_timestamped_segments_v1,committed_timestamped_segments_v1,1.5,3.0,1,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260826_145304_physical_dr40_virtual_pair\rollouts\20260826_145314_physical_dr40_trial001_league_virtual_h1_trial001,timeout,False,59.95000290032476,60.0,1200,49.40012989938259,0.8233354983230432,0.8233333333333334,0.8233333333333334,4.269584356546402,0.6602183566783714,2.7593021392822266,3.396827220916748,0.16916666666666666,0.0075,0.32244701385497976,0.056666666666666664,0.4025,0.0,20.048497296015057,20.048497296015057,124.28690804148079,0.035409946936803556,3.298467628401305,3.7224281668132253,16.592285412815343,3.365898126019553,5.579237627983092,6.2733049392700195,2.579237627983092,3.273304939270019,3.0000000000000004,0.8513840390116337,0.43614697456359863,7443.0,22.0,1.0,0,326,16.411682873652392,1.8571568295980494,2.574420068413019,0,,,,0.2516681528510526,0.28618520498275757,1.2436389311755052,0.0125,0.0975,1.376511820902427,2.0265542902052402
trial001_cv_mpc,trial001,1,1,0.202364325,0.803824171214,3,20.0,interpolated,125.0,0.15,committed_timestamped_segments_v1,committed_timestamped_segments_v1,1.5,3.0,2,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260826_145304_physical_dr40_virtual_pair\rollouts\20260826_145431_physical_dr40_trial001_cv_mpc_virtual_h1_trial001,caught,True,15.501492099836469,60.0,311,11.152003502473235,0.1858667250412206,0.7170418006430869,0.7170418006430869,4.024746205262432,0.7168280734209161,1.3728820085525513,1.3728820085525513,0.2733118971061093,0.00964630225080386,0.4107143402099602,0.00964630225080386,0.3215434083601286,0.0,20.041616218893036,20.041616218893036,124.18631750901113,0.03441306106279038,3.216262905900276,3.7063393258415838,15.347864359262577,3.128053960890488,5.229802846908569,6.158006191253662,2.229802846908569,3.1580061912536617,3.0000000000000004,2.3143272747522974,0.33214429020881653,1901.0,2.0,1.0,0,81,16.66121268029899,1.0550541532856803,1.6767448745667943,0,,,,0.2502389948935278,0.28617883026599883,1.236576629272614,0.012903225806451613,0.0064516129032258064,1.8101751744266479,2.512754825875163
trial002_cv_mpc,trial002,2,2,0.152322427,0.558178210011,0,20.0,interpolated,125.0,0.15,committed_timestamped_segments_v1,committed_timestamped_segments_v1,1.5,3.0,1,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260826_145304_physical_dr40_virtual_pair\rollouts\20260826_145503_physical_dr40_trial002_cv_mpc_virtual_h1_trial002,caught,True,11.550002500414848,60.0,232,6.551838498562574,0.10919730830937624,0.5646551724137931,0.5646551724137931,3.7219500140897157,0.9704403820158013,1.3702974319458008,1.3702974319458008,0.4267241379310345,0.008620689655172414,0.381226730346679,0.021551724137931036,0.2801724137931034,0.0,20.04611498164938,20.04611498164938,124.21764025426646,0.0317831551656127,2.9979771467678926,3.6845531070826163,12.590923141801305,2.5428907575425974,5.379576563835144,6.252859592437744,2.3795765638351436,3.2528595924377437,3.0000000000000004,0.21231792917102088,0.2872980237007141,1376.0,2.0,1.0,0,62,16.69839178411171,1.0376934695876006,1.5305504202842712,0,,,,0.1847837906959769,0.2153720036149025,1.2131095488386412,0.0,0.0,1.8099605738794133,2.4072499945759773
trial002_league,trial002,2,2,0.152322427,0.558178210011,0,20.0,interpolated,125.0,0.15,committed_timestamped_segments_v1,committed_timestamped_segments_v1,1.5,3.0,2,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260826_145304_physical_dr40_virtual_pair\rollouts\20260826_145532_physical_dr40_trial002_league_virtual_h1_trial002,timeout,False,59.95000099949539,60.0,1200,45.445890901610255,0.7574315150268376,0.7575,0.7575,4.369760072429975,0.7617895351976595,2.614706516265869,3.512807607650757,0.18166666666666667,0.060833333333333336,0.42001361846923757,0.015833333333333335,0.4,0.0,20.047833238013133,20.047833238013133,124.15464023984782,0.035823813986498865,3.295468978127388,3.719202936860348,15.379327122318058,3.135051085608599,5.609288072586059,6.261847019195557,2.6092880725860588,3.261847019195556,3.0000000000000004,0.4783287060739015,0.4699169993400574,7445.0,22.0,3.0,0,324,16.46412197042209,1.85705208297198,2.5208348408341403,0,,,,0.18897618051618337,0.21534833461046218,1.2406326779193413,0.0,0.008333333333333333,1.3762970982740323,2.0219545811414714
trial003_league,trial003,3,3,0.117129833,0.837225530542,1,20.0,interpolated,125.0,0.15,committed_timestamped_segments_v1,committed_timestamped_segments_v1,1.5,3.0,1,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260826_145304_physical_dr40_virtual_pair\rollouts\20260826_145649_physical_dr40_trial003_league_virtual_h1_trial003,timeout,False,59.950002300553024,60.0,1200,48.64466920122504,0.810744486687084,0.8108333333333333,0.8108333333333333,4.558998328447342,0.734632229255868,2.884521245956421,5.043707847595215,0.08166666666666667,0.1075,0.3983175277709954,0.019166666666666665,0.4375,0.0,20.04618509458366,20.04618509458366,124.31956432070255,0.035748356076267855,3.2913596272066226,3.728294770057223,14.30609979574327,2.8947712186411323,5.575570392608642,6.241945266723633,2.575570392608642,3.2419452667236324,3.0000000000000004,0.5552324483432176,0.4993179440498352,7253.0,20.0,1.0,0,320,16.619045981285716,1.850116152005891,2.5016448460519314,0,,,,0.15116765218010794,0.16564655303955078,1.2905990583979399,0.020833333333333332,0.0,1.3595004891976714,1.9514801912009716
trial003_cv_mpc,trial003,3,3,0.117129833,0.837225530542,1,20.0,interpolated,125.0,0.15,committed_timestamped_segments_v1,committed_timestamped_segments_v1,1.5,3.0,2,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260826_145304_physical_dr40_virtual_pair\rollouts\20260826_151825_physical_dr40_trial003_cv_mpc_virtual_h1_trial003,caught,True,8.900002899579704,60.0,179,6.948509800247848,0.11580849667079747,0.776536312849162,0.776536312849162,4.067768487850381,0.7842529803522046,1.467834711074829,1.467834711074829,0.22346368715083798,0.0,0.44130916595458913,0.0111731843575419,0.21787709497206703,0.0,20.046494467844774,20.046494467844774,124.36179506144632,0.03230700169965708,2.915584855587871,3.659570718350728,10.100727925098937,2.0738912355270194,3.9698340415954587,6.032961368560791,0.9698340415954584,3.0329613685607906,3.0000000000000004,0.14385242439046678,0.20138846337795258,1067.0,1.0,1.0,0,46,17.0483471182372,1.0324354607904895,1.6284253913909197,0,,,,0.14498405480820142,0.16564655303955078,1.237806381984694,0.02247191011235955,0.0,1.7491303007589298,2.3610050324350595
trial004_cv_mpc,trial004,4,4,0.288611221,0.554899431908,2,20.0,interpolated,125.0,0.15,committed_timestamped_segments_v1,committed_timestamped_segments_v1,1.5,3.0,1,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260826_145304_physical_dr40_virtual_pair\rollouts\20260826_151851_physical_dr40_trial004_cv_mpc_virtual_h1_trial004,caught,True,5.653962999582291,60.0,114,1.8000026997178793,0.03000004499529799,0.3157894736842105,0.3157894736842105,2.988959804961556,0.77193675387689,1.4725056886672974,1.4725056886672974,0.6842105263157895,0.0,0.39855940341949464,0.02631578947368421,0.4824561403508772,0.0,20.033690329000997,20.033690329000997,124.17362286284224,0.03005363502980847,3.0879753008796653,3.7211610506076944,16.96740032667997,3.3854422882571256,5.8044407844543455,6.212733268737793,2.804440784454345,3.2127332687377925,3.0000000000000004,4.442983979686223,0.28026996552944183,684.0,3.0,1.0,0,33,16.902280657435952,1.0774955400719053,1.6888199374079702,0,,,,0.3296939648555971,0.40330778956413266,1.1423463152723266,0.0,0.0,1.7846452022812007,2.3747401311993594
trial004_league,trial004,4,4,0.288611221,0.554899431908,2,20.0,interpolated,125.0,0.15,committed_timestamped_segments_v1,committed_timestamped_segments_v1,1.5,3.0,2,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260826_145304_physical_dr40_virtual_pair\rollouts\20260826_151913_physical_dr40_trial004_league_virtual_h1_trial004,caught,True,3.5509530007839203,60.0,72,0.3500030003488064,0.005833383339146773,0.09722222222222222,0.09722222222222222,2.8772719552119574,0.6477660990853424,1.4786739349365234,1.4786739349365234,0.9027777777777778,0.0,0.66599942445755,0.0,0.375,0.0,20.042240943035818,20.042240943035818,124.18435441580004,0.03445256672178706,3.0492035448427313,3.5229880584877695,14.8453142424706,3.1527676342541073,5.651239466667176,6.392297267913818,2.6512394666671755,3.392297267913818,3.0000000000000004,0.3098458450917593,0.34693025052547455,441.0,2.0,1.0,0,19,16.50890269116643,1.9596830062883002,2.505649346858263,0,,,,0.33338123066744335,0.4073069542646408,1.1551222073498084,0.0,0.0,1.3843704880753034,1.910849940031767
trial005_league,trial005,5,5,0.261000585,0.730207180583,0,20.0,interpolated,125.0,0.15,committed_timestamped_segments_v1,committed_timestamped_segments_v1,1.5,3.0,1,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260826_145304_physical_dr40_virtual_pair\rollouts\20260826_151933_physical_dr40_trial005_league_virtual_h1_trial005,caught,True,1.4000030001625419,60.0,29,0.20000139996409416,0.003333356666068236,0.13793103448275862,0.13793103448275862,3.1484974746046395,0.6334556898603387,1.025404691696167,1.025404691696167,0.8620689655172413,0.0,0.7585927963256829,0.0,0.3793103448275862,0.0,20.047857528872704,20.047857528872704,124.22825433640828,0.02918290684063887,2.987866750516513,3.760284771882404,11.420723665206182,2.580915285842413,4.949130249023438,4.961185455322266,1.949130249023437,1.9611854553222652,3.0000000000000004,-0.48326682417907496,0.266770102083683,164.0,0.0,1.0,0,8,19.9239451683455,1.8973893685532468,2.5345046538859606,0,,,,0.3459313969526972,0.36907372921705245,1.325404680425131,0.0,0.0,1.3999142684042454,2.033300371840596
trial005_cv_mpc,trial005,5,5,0.261000585,0.730207180583,0,20.0,interpolated,125.0,0.15,committed_timestamped_segments_v1,committed_timestamped_segments_v1,1.5,3.0,2,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260826_145304_physical_dr40_virtual_pair\rollouts\20260826_151951_physical_dr40_trial005_cv_mpc_virtual_h1_trial005,caught,True,1.6000013006851077,60.0,33,1.2525506000965834,0.020875843334943057,0.7575757575757576,0.7575757575757576,3.3958685795466104,0.6673265934510565,1.3584887981414795,1.3584887981414795,0.24242424242424243,0.0,0.3364124417304993,0.12121212121212122,0.48484848484848486,0.0,20.03369753128528,20.03369753128528,124.23024126982489,0.03560940616510131,2.997526920682413,3.481027771766114,12.052037375475688,2.6991275311659346,4.793395328521728,5.019357204437256,1.793395328521728,2.0193572044372554,3.0000000000000004,0.37630115555865423,0.34265443682670593,192.0,0.0,1.0,0,8,19.297141498391262,1.0032376158051193,1.4606552198529241,0,,,,0.3341453606262803,0.36907660514116286,1.2802475543350995,0.0,0.0,1.7893531476147473,2.574995346367359
